"My Reward Points","نقاط مكافآتي"
"Checkout now and earn <b>%1</b> for this order.","الخروج الآن واكسب <b>%1</b> لهذا الطلب."
"Applies only to registered customers, may vary when logged in.","ينطبق فقط على العملاء المسجلين ، قد يختلف عند تسجيل الدخول."
"Possible discount %1 %2","الخصم المحتمل %1 %2"
"Earn %1 %2","اربح %1 %2"
Grid,شبكة
List,قائمة
All,الكل
"Referral %1","الإحالة %1"
"Something went wrong while saving your subscription.","حدث خطأ ما أثناء حفظ اشتراكك."
"We removed your subscription on expiring points notification.","لقد أزلنا اشتراكك على إشعار النقاط المنتهي الصلاحية."
"Cannot apply points.","لا يمكن تطبيق النقاط."
"You've earned %1 for Facebook Like!","لقد ربحت %1 على Facebook!"
"You've earned %1 for Facebook Share!","لقد ربحت %1 لمشاركة Facebook!"
"Facebook Like Points has been canceled","تم إلغاء Facebook Like Points"
"You've earned %1 for Google+!","لقد ربحت %1 لـ + Google!"
"G+1 Points has been canceled","تم إلغاء G+1 Points"
"You've earned %1 for Pin!","لقد ربحت %1 من أجل Pin!"
"Invalid form key. Try again","مفتاح النموذج غير صالح. حاول ثانية"
"Customer with email %1 has been already invited to our store","تمت دعوة العملاء الذين لديهم بريد إلكتروني %1 إلى متجرنا بالفعل"
"Your invitations were sent. Thanks!","تم إرسال دعواتك. شكر!"
"You've earned %1 for Tweet!","لقد ربحت  %1 للتغريد!"
"You received %1 for signing up","لقد تلقيت %1 للاشتراك"
"You received %1 for sending this product","لقد تلقيت %1 لإرسال هذا المنتج"
"You received %1 for sign up for newsletter","لقد تلقيت %1 للاشتراك في النشرة الإخبارية"
"You received %1 for sign up for push notifications","لقد تلقيت %1 للاشتراك في إشعارات الدفع"
"You will receive %1 after approving of this tag","ستتلقى %1 بعد الموافقة على هذه العلامة"
"You will receive %1 after approving of this review","ستتلقى %1 بعد الموافقة على هذا التعليق"
"You received %1 for sign up of referral customer.","لقد تلقيت %1 للاشتراك في عميل الإحالة."
"You received %1 for order of referral customer.","لقد تلقيت %1 لأمر عميل الإحالة."
"Happy birthday! You received %1.","عيد مولد سعيد! لقد تلقيت %1."
"You received %1 for joining the affiliate program.","لقد تلقيت %1 للانضمام إلى برنامج الشركاء التابعين."
"%1 was applied.","%1 تم تطبيقه."
"Minimum number is %1.","الحد الأدنى للرقم هو %1."
"Maximum number is %1.","الحد الأقصى للرقم هو %1."
"%1 was canceled.","%1 تم إلغاؤه."
"Cannot apply %1.","لا يمكن تطبيق %1."
"You can use the following variables:","يمكنك استخدام المتغيرات التالية:"
Pattern,نمط
"Attribute Value","قيمة السمة"
Default,افتراضي
Integer,"عدد صحيح"
Price,السعر
"Strip Tags","قطاع العلامات"
"Primary Attributes","السمات الأساسية"
"Stock Attributes","سمات الأسهم"
"Prices & Taxes","الأسعار والضرائب"
Images,صور
"Custom Attributes","سمات مخصصة"
Mapping,"رسم الخرائط"
Category,الفئة
"Amasty Meta Tags","اميستا ميتا العلامات"
"Others Attributes","سمات أخرى"
Flexible,مرن
Fixed,ثابت
"Customer signs up in store","إشارات العملاء في المتجر"
"Customer places order","ترتيب أماكن العملاء"
"Customer refer a friend","العميل يحيل صديق"
"Customer adds tag to a product","يضيف العميل علامة إلى منتج"
"Customer writes a product review","يكتب العميل مراجعة المنتج"
"Customer has a birthday","العميل لديه عيد ميلاد"
"Customer is inactive for long time","العميل غير نشط لفترة طويلة"
"Newsletter sign up","الاشتراك في الرسائل الإخبارية"
"Facebook Share","مشاركة فايسبوك"
"Facebook Like","أحب الفيس بوك"
"Twitter Tweet","التغريد تويتر"
"Google+ Like","جوجل مثل"
"Pinterest Pin","بينتيريست دبوس"
"Customer joins the affiliate program","ينضم العميل إلى برنامج الشركاء التابعين"
"Push Notifications sign up","دفع الإخطارات الاشتراك"
"Referred customer signs up in store","إشارات العملاء المشار إليها في المتجر"
"Order from referred customer","طلب من العميل المشار إليه"
"Points to Currency","يشير إلى العملة"
"Currency to Points","العملة إلى النقاط"
"Customer Account > My Reward Points","حساب العملاء&gt; نقاط مكافآتي"
"Customer Account > My Referrals","حساب العميل&gt; إحالاتي"
"Cart Page","صفحة العربة"
"Message Sent","تم الارسال"
"Signed Up",اشترك
"Made Order","أمر مصنوع"
"Visited by Referral Link","زار بواسطة رابط الإحالة"
"Subtotal + Tax","Subtotal + الضريبة"
"Subtotal + Tax + Shipping","Subtotal + Tax + Shipping"
"Product Rule","سيادة المنتج"
"Cart Rule","قاعدة العربة"
"Behavior Rule","قواعد السلوك"
"Transaction #%1 is expired","انتهت صلاحية المعاملة #%1"
"Update the Product","تحديث المنتج"
"Is Rewards Points used","هي نقاط المكافآت المستخدمة"
"Coupon Used","الكوبون مستعملة"
"Coupon Code","كود القسيمة"
No,لا
Yes,"نعم فعلا"
"Conditions Combination","شروط مزيج"
"Product attribute combination","مجموعة سمات المنتج"
"Products subselection","اختيار المنتجات الفرعية"
"Conditions combination","مجموعة الشروط"
"Cart Attribute","سمة سلة التسوق"
Customer,زبون
"Last 7-days Clicks","آخر 7 أيام من النقرات"
"Last 7-days Orders","آخر 7 أيام أوامر"
"Last 7-days Revenue","آخر 7 أيام إيرادات"
"Is Referee","هو الحكم"
"Is Referral","هو الإحالة"
Email,"البريد الإلكتروني"
Group,مجموعة
"Lifetime Sales","مبيعات مدى الحياة"
