"My Reward Points","Моите наградни точки"
"Checkout now and earn <b>%1</b> for this order.","<b>Платете</b> сега и спечелете <b>%1</b> за тази поръчка."
"Applies only to registered customers, may vary when logged in.","Отнася се само за регистрирани клиенти, може да се различава при влизане в системата."
"Possible discount %1 %2","Възможна отстъпка %1 %2"
"Earn %1 %2","Спечелете %1 %2"
Grid,Решетка
List,Списък
All,Всичко
"Referral %1","Препращане %1"
"Something went wrong while saving your subscription.","Нещо се обърка, докато запазвате абонамента си."
"We removed your subscription on expiring points notification.","Премахнахме абонамента ви при известие за изтичащи точки."
"Cannot apply points.","Не могат да се прилагат точки."
"You've earned %1 for Facebook Like!","Спечелили сте %1 за Facebook Like!"
"You've earned %1 for Facebook Share!","Спечелил си %1 за Facebook Сподели!"
"Facebook Like Points has been canceled","Facebook Like Points е отменена"
"You've earned %1 for Google+!","Спечелили сте %1 за Google+!"
"G+1 Points has been canceled","G + 1 точките са анулирани"
"You've earned %1 for Pin!","Спечелил си %1 за Pin!"
"Invalid form key. Try again","Невалиден ключ на формуляра. Опитай пак"
"Customer with email %1 has been already invited to our store","Клиентът с имейл %1 вече е поканен в нашия магазин"
"Your invitations were sent. Thanks!","Вашите покани бяха изпратени. Благодаря!"
"You've earned %1 for Tweet!","Спечелихте %1 за Tweet!"
"You received %1 for signing up","Получихте %1 за регистрация"
"You received %1 for sending this product","Получихте %1 за изпращане на този продукт"
"You received %1 for sign up for newsletter","Получихте %1 за да се регистрирате за бюлетин"
"You received %1 for sign up for push notifications","Получихте %1 за регистрация за известия за натискане"
"You will receive %1 after approving of this tag","Ще получите %1 след одобряването на този маркер"
"You will receive %1 after approving of this review","Ще получите %1 след одобряването на този преглед"
"You received %1 for sign up of referral customer.","Получихте %1 за подписване на клиент за препращане."
"You received %1 for order of referral customer.","Получихте %1 за поръчка на клиент за препращане."
"Happy birthday! You received %1.","Честит Рожден ден! Получихте %1."
"You received %1 for joining the affiliate program.","Получихте %1 за присъединяване към партньорската програма."
"%1 were applied.",%1.
"Minimum number is %1.","Минималният брой е %1."
"Maximum number is %1.","Максималният брой е %1."
"%1 was canceled.","%1 бе анулирана."
"Cannot apply %1.","Не може да се приложи %1."
"You can use the following variables:","Можете да използвате следните променливи:"
Pattern,Модел
"Attribute Value","Стойност на атрибута"
Default,"По подразбиране"
Integer,"Цяло число"
Price,Цена
"Strip Tags","Етикети на лентата"
"Primary Attributes","Основни атрибути"
"Stock Attributes","Атрибути на запасите"
"Prices & Taxes","Цени и данъци"
Images,Снимки
"Custom Attributes","Персонализирани атрибути"
Mapping,Картография
Category,Категория
"Amasty Meta Tags","Амасти Мета Тагове"
"Others Attributes","Други атрибути"
Flexible,Гъвкав
Fixed,Определен
"Customer signs up in store","Клиентът се регистрира в магазина"
"Customer places order","Поръчка на клиентски места"
"Customer refer a friend","Клиентът се свързва с приятел"
"Customer adds tag to a product","Клиентът добавя маркер към продукт"
"Customer writes a product review","Клиентът пише преглед на продукта"
"Customer has a birthday","Клиентът има рожден ден"
"Customer is inactive for long time","Клиентът е неактивен за дълго време"
"Newsletter sign up","Абониране за регулярни новини"
"Facebook Share","Фейсбук споделяне"
"Facebook Like","Facebook харесва"
"Twitter Tweet","Twitter Чуруликане"
"Google+ Like","Google+ харесва"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Клиентът се присъединява към филиалната програма"
"Push Notifications sign up","Push Notifications sign up"
"Referred customer signs up in store","Посочените клиентски знаци се съхраняват в магазина"
