"My Reward Points","Els meus punts de recompensa"
"Checkout now and earn <b>%1</b> for this order.","<b>Feu la</b> compra ara i guanyeu <b>%1</b> per a aquesta comanda."
"Applies only to registered customers, may vary when logged in.","S&#39;aplica només als clients registrats, pot variar quan hàgiu iniciat la sessió."
"Possible discount %1 %2","Descompte possible %1 %2"
"Earn %1 %2","Guanya %1 %2"
Grid,Graella
List,Llista
All,Tots
"Referral %1","Referència %1"
"Something went wrong while saving your subscription.","S&#39;ha produït un error en desar la vostra subscripció."
"We removed your subscription on expiring points notification.","Vam retirar la vostra subscripció a la notificació de punts caducats."
"Cannot apply points.","No es poden aplicar els punts."
"You've earned %1 for Facebook Like!","Has guanyat %1 per a Facebook."
"You've earned %1 for Facebook Share!","Has guanyat %1 per compartir en Facebook."
"Facebook Like Points has been canceled","S&#39;ha cancel·lat Facebook Like Points"
"You've earned %1 for Google+!","Has guanyat %1 per a Google+."
"G+1 Points has been canceled","S&#39;han cancel·lat els punts de G + 1"
"You've earned %1 for Pin!","Has guanyat %1 per Pin!"
"Invalid form key. Try again","Clau de formulari no vàlida. Torna-ho a provar"
"Customer with email %1 has been already invited to our store","El client amb correu electrònic %1 ja ha estat convidat a la nostra botiga"
"Your invitations were sent. Thanks!","S&#39;han enviat les invitacions. Gràcies"
"You've earned %1 for Tweet!","Heu obtingut %1 per a Tweet!"
"You received %1 for signing up","Has rebut %1 per registrar-te"
"You received %1 for sending this product","Heu rebut %1 per enviar aquest producte"
"You received %1 for sign up for newsletter","Has rebut %1 per inscriure&#39;t al butlletí"
"You received %1 for sign up for push notifications","Heu rebut %1 per registrar-vos per rebre notificacions push"
"You will receive %1 after approving of this tag","Rebreu %1 després d&#39;aprovar aquesta etiqueta"
"You will receive %1 after approving of this review","Rebreu %1 després d&#39;aprovar aquesta revisió"
"You received %1 for sign up of referral customer.","Heu rebut %1 per inscriure&#39;s al client de referència."
"You received %1 for order of referral customer.","Heu rebut %1 per l&#39;ordre del client de referència."
"Happy birthday! You received %1.","Per molts anys! Has rebut %1."
