"My Reward Points","Moje odměny"
"Checkout now and earn <b>%1</b> for this order.","<b>Objednejte</b> nyní a získejte <b>%1</b> pro tuto objednávku."
"Applies only to registered customers, may vary when logged in.","Platí pouze pro registrované zákazníky, může se lišit při přihlášení."
"Possible discount %1 %2","Možná sleva %1 %2"
"Earn %1 %2","Získejte %1 %2"
Grid,Mřížka
List,Seznam
All,Všechno
"Referral %1","Doporučení %1"
"Something went wrong while saving your subscription.","Při ukládání předplatného se něco pokazilo."
"We removed your subscription on expiring points notification.","Váš odběr byl odebrán při oznámení o vypršení platnosti."
"Cannot apply points.","Nelze použít body."
"You've earned %1 for Facebook Like!","Získali jste %1 pro Facebook Líbí!"
"You've earned %1 for Facebook Share!","Vydělali jste %1 pro Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points byl zrušen"
"You've earned %1 for Google+!","Získali jste %1 pro Google+!"
"G+1 Points has been canceled","Body G + 1 byly zrušeny"
"You've earned %1 for Pin!","Získali jste %1 pro Pin!"
"Invalid form key. Try again","Neplatný klíč formuláře. Zkus to znovu"
"Customer with email %1 has been already invited to our store","Zákazník s e-mailem %1 byl již pozván do našeho obchodu"
"Your invitations were sent. Thanks!","Vaše pozvánky byly odeslány. Dík!"
"You've earned %1 for Tweet!","Získali jste %1 pro Tweet!"
"You received %1 for signing up","Při registraci jste obdrželi %1"
"You received %1 for sending this product","Odeslali jste tento produkt %1"
"You received %1 for sign up for newsletter","Dostali jste %1 pro registraci do informačního bulletinu"
"You received %1 for sign up for push notifications","Dostali jste %1 k registraci pro push oznámení"
"You will receive %1 after approving of this tag","Po schválení této značky obdržíte %1"
"You will receive %1 after approving of this review","Po schválení této kontroly obdržíte %1"
"You received %1 for sign up of referral customer.","Dostali jste %1 pro registraci zákazníka."
"You received %1 for order of referral customer.","Obdrželi jste %1 pro objednávku zákazníka."
"Happy birthday! You received %1.","Všechno nejlepší k narozeninám! Dostali jste %1."
"You received %1 for joining the affiliate program.","Získali jste %1 pro vstup do affiliate programu."
