"My Reward Points","Meine Prämienpunkte"
"Checkout now and earn <b>%1</b> for this order.","Checkout jetzt und verdienen Sie <b>%1</b> für diese Bestellung."
"Applies only to registered customers, may vary when logged in.","Gilt nur für registrierte Kunden, kann variieren, wenn Sie eingeloggt sind."
"Possible discount %1 %2","Möglicher Rabatt %1 %2"
"Earn %1 %2","Verdiene %1 %2"
Grid,Gitter
List,Liste
All,Alle
"Referral %1","Empfehlung %1"
"Something went wrong while saving your subscription.","Beim Speichern des Abonnements ist ein Fehler aufgetreten."
"We removed your subscription on expiring points notification.","Wir haben Ihr Abonnement für die Benachrichtigung über abgelaufene Punkte entfernt."
"Cannot apply points.","Kann keine Punkte anwenden."
"You've earned %1 for Facebook Like!","Sie haben %1 für Facebook Like verdient!"
"You've earned %1 for Facebook Share!","Du hast %1 für Facebook Share verdient!"
"Facebook Like Points has been canceled","Facebook Like Points wurde abgebrochen"
"You've earned %1 for Google+!","Sie haben %1 für Google+ verdient!"
"G+1 Points has been canceled","G + 1 Punkte wurde storniert"
"You've earned %1 for Pin!","Du hast %1 für Pin verdient!"
"Invalid form key. Try again","Ungültiger Formularschlüssel Versuch es noch einmal"
"Customer with email %1 has been already invited to our store","Kunde mit E-Mail %1 wurde bereits zu unserem Geschäft eingeladen"
"Your invitations were sent. Thanks!","Ihre Einladungen wurden gesendet. Vielen Dank!"
"You've earned %1 for Tweet!","Du hast %1 für Tweet verdient!"
"You received %1 for signing up","Sie haben %1 zur Anmeldung erhalten"
"You received %1 for sending this product","Sie haben %1 erhalten, um dieses Produkt zu senden"
"You received %1 for sign up for newsletter","Sie haben %1 erhalten, um sich für den Newsletter anzumelden"
"You received %1 for sign up for push notifications","Du hast %1 erhalten, um dich für Push-Benachrichtigungen anzumelden"
"You will receive %1 after approving of this tag","Sie erhalten %1 nach der Genehmigung dieses Tags"
"You will receive %1 after approving of this review","Sie erhalten %1 nach Genehmigung dieser Überprüfung"
"You received %1 for sign up of referral customer.","Sie haben %1 für die Anmeldung eines Kunden erhalten."
"You received %1 for order of referral customer.","Sie haben %1 für die Bestellung des Kunden erhalten."
"Happy birthday! You received %1.","Alles Gute zum Geburtstag! Du hast %1 erhalten."
"You received %1 for joining the affiliate program.","Sie haben %1 für den Beitritt zum Partnerprogramm erhalten."
"%1 were applied.","%1 wurde angewendet."
"Minimum number is %1.","Die Mindestanzahl ist %1."
"Maximum number is %1.","Die maximale Anzahl ist %1."
"%1 was canceled.","%1 wurde abgebrochen."
"Cannot apply %1.","Kann nicht angewendet werden %1."
"You can use the following variables:","Sie können die folgenden Variablen verwenden:"
Pattern,Muster
"Attribute Value",Attributwert
Default,Standard
Integer,"Ganze Zahl"
Price,Preis
"Strip Tags",Streifen-Tags
"Primary Attributes","Primäre Attribute"
"Stock Attributes",Aktienattribute
"Prices & Taxes","Preise und Steuern"
Images,Bilder
"Custom Attributes","Benutzerdefinierte Attribute"
Mapping,Kartierung
Category,Kategorie
"Amasty Meta Tags","Amasty Meta Tags"
"Others Attributes","Andere Attribute"
Flexible,Flexibel
Fixed,Fest
"Customer signs up in store","Kunde meldet sich im Geschäft an"
"Customer places order","Kunde erteilt Bestellung"
"Customer refer a friend","Kunde verweist einen Freund"
"Customer adds tag to a product","Der Kunde fügt einem Produkt Tags hinzu"
"Customer writes a product review","Kunde schreibt eine Produktbewertung"
"Customer has a birthday","Kunde hat Geburtstag"
"Customer is inactive for long time","Kunde ist für lange Zeit inaktiv"
"Newsletter sign up","Newsletter abonnieren"
"Facebook Share","Facebook teilen"
"Facebook Like","Gefällt mir&quot; bei Facebook"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ Gefällt mir"
"Pinterest Pin",Pintereststift
"Customer joins the affiliate program","Der Kunde tritt dem Partnerprogramm bei"
"Push Notifications sign up","Push-Benachrichtigungen melden sich an"
"Referred customer signs up in store","Geworbener Kunde meldet sich im Geschäft an"
"Order from referred customer","Bestellung vom angegebenen Kunden"
"Points to Currency","Punkte auf Währung"
"Currency to Points","Währung zu Punkten"
"Customer Account > My Reward Points","Kundenkonto&gt; Meine Prämienpunkte"
"Customer Account > My Referrals","Kundenkonto&gt; Meine Empfehlungen"
"Cart Page","Warenkorb Seite"
"Message Sent","Nachricht gesendet"
"Signed Up",Angemeldet
"Made Order","Bestellung gemacht"
"Visited by Referral Link","Besucht von Referral Link"
"Subtotal + Tax","Zwischensumme + Steuern"
"Subtotal + Tax + Shipping","Zwischensumme + Steuern + Versand"
"Product Rule",Produktregel
"Cart Rule",Einkaufswagenregel
"Behavior Rule",Verhaltensregel
"Transaction #%1 is expired","Die Transaktion #%1 ist abgelaufen"
"Update the Product","Aktualisieren Sie das Produkt"
"Is Rewards Points used","Werden Prämienpunkte verwendet?"
"Coupon Used","Gutschein verwendet"
"Coupon Code",Gutscheincode
No,Nein
Yes,Ja
"Conditions Combination","Bedingungen Kombination"
"Product attribute combination",Produktattribut-Kombination
"Products subselection",Produktunterauswahl
"Conditions combination","Bedingungen Kombination"
"Cart Attribute",Einkaufswagenattribut
Customer,Kunde
"Last 7-days Clicks","Letzte 7-Tage-Klicks"
"Last 7-days Orders","Letzte 7 Tage Bestellungen"
"Last 7-days Revenue","Letzter 7-Tage-Umsatz"
"Is Referee","Ist Schiedsrichter"
"Is Referral","Ist Empfehlung"
Email,Email
Group,Gruppe
"Lifetime Sales","Lebenslange Verkäufe"
"Lifetime Spent Points","Lifetime verbrachte Punkte"
"Number of Orders","Anzahl der Bestellungen"
"Is subscriber of newsletter","Ist Abonnent des Newsletters"
"Number of reviews","Anzahl der Bewertungen"
"Number of referred friends signups","Anzahl der übermittelten Freundschaftsanmeldungen"
"Number of referred friends orders","Anzahl der befragten Freunde Bestellungen"
"Sum of referred friends orders","Summe der befragten Freunde Bestellungen"
"Number of referrals who ordered at least once","Anzahl der Verweise, die mindestens einmal bestellt haben"
"Not registered","Nicht registriert"
"Attribute Set","Attribut festgelegt"
Quantity,Menge
"Product Type",Produktart
"Base Image",Basisbild
Thumbnail,Miniaturansicht
"Small Image","Kleines Bild"
"Base Image Size (bytes)","Basisbildgröße (Bytes)"
"Thumbnail Size (bytes)","Miniaturbildgröße (Bytes)"
"Small Image Size (bytes)","Kleine Bildgröße (Bytes)"
"PHP Condition",PHP-Bedingung
