"My Reward Points","Πόντους ανταμοιβής μου"
"Checkout now and earn <b>%1</b> for this order.","<b>Τελείωσε</b> τώρα και κερδίστε <b>%1</b> για αυτήν την παραγγελία."
"Applies only to registered customers, may vary when logged in.","Ισχύει μόνο για εγγεγραμμένους πελάτες, μπορεί να διαφέρει όταν συνδεθείτε."
"Possible discount %1 %2","Πιθανή έκπτωση %1 %2"
"Earn %1 %2","Κερδίστε %1 %2"
Grid,Πλέγμα
List,Λίστα
All,Ολα
"Referral %1","Παραπομπή %1"
"Something went wrong while saving your subscription.","Κάτι πήγε στραβά κατά την αποθήκευση της συνδρομής σας."
"We removed your subscription on expiring points notification.","Καταργήσαμε τη συνδρομή σας με την ειδοποίηση των σημείων λήξης."
"Cannot apply points.","Δεν είναι δυνατή η εφαρμογή σημείων."
"You've earned %1 for Facebook Like!","Έχετε κερδίσει %1 για το Facebook σαν!"
"You've earned %1 for Facebook Share!","Έχετε κερδίσει %1 για το Facebook Share!"
"Facebook Like Points has been canceled","Το Facebook Like Points ακυρώθηκε"
"You've earned %1 for Google+!","Έχετε κερδίσει %1 για το Google+!"
"G+1 Points has been canceled","G + 1 πόντοι έχει ακυρωθεί"
"You've earned %1 for Pin!","Έχετε κερδίσει %1 για Pin!"
"Invalid form key. Try again","Μη έγκυρο κλειδί φόρμας. Προσπάθησε ξανά"
"Customer with email %1 has been already invited to our store","Ο πελάτης με email %1 έχει ήδη προσκληθεί στο κατάστημά μας"
"Your invitations were sent. Thanks!","Οι προσκλήσεις σας στάλθηκαν. Ευχαριστώ!"
"You've earned %1 for Tweet!","Έχετε κερδίσει %1 για το Tweet!"
"You received %1 for signing up","Έχετε λάβει %1 για εγγραφή"
"You received %1 for sending this product","Λάβατε %1 για την αποστολή αυτού του προϊόντος"
"You received %1 for sign up for newsletter","Έχετε λάβει %1 για εγγραφή στο ενημερωτικό δελτίο"
"You received %1 for sign up for push notifications","Έχετε λάβει %1 για εγγραφή για ειδοποιήσεις push"
"You will receive %1 after approving of this tag","Θα λάβετε %1 μετά την έγκριση αυτής της ετικέτας"
"You will receive %1 after approving of this review","Θα λάβετε %1 μετά την έγκριση αυτής της αναθεώρησης"
"You received %1 for sign up of referral customer.","Έχετε λάβει %1 για την εγγραφή πελάτη παραπομπής."
"You received %1 for order of referral customer.","Λάβατε %1 για παραγγελία πελάτη παραπομπής."
"Happy birthday! You received %1.","Χαρούμενα γενέθλια! Έχετε λάβει %1."
"You received %1 for joining the affiliate program.","Έχετε λάβει %1 για να συμμετάσχετε στο πρόγραμμα θυγατρικών."
"%1 were applied.","%1 εφαρμόστηκε."
"Minimum number is %1.","Ο ελάχιστος αριθμός είναι %1."
"Maximum number is %1.","Ο μέγιστος αριθμός είναι %1."
"%1 was canceled.","%1 ακυρώθηκε."
"Cannot apply %1.","Δεν είναι δυνατή η εφαρμογή %1."
"You can use the following variables:","Μπορείτε να χρησιμοποιήσετε τις ακόλουθες μεταβλητές:"
Pattern,Πρότυπο
"Attribute Value","Αξία Χαρακτήρων"
Default,Προκαθορισμένο
Integer,"Ακέραιος αριθμός"
Price,Τιμή
"Strip Tags","Ετικέτες λωρίδας"
"Primary Attributes","Κύρια χαρακτηριστικά"
"Stock Attributes","Χαρακτηριστικά αποθέματος"
"Prices & Taxes","Τιμές &amp; Φόροι"
Images,Εικόνες
"Custom Attributes","Προσαρμοσμένα χαρακτηριστικά"
Mapping,Χαρτογράφηση
Category,Κατηγορία
"Amasty Meta Tags","Ετικέτες Mast Amasty"
"Others Attributes","Άλλα Χαρακτηριστικά"
Flexible,Εύκαμπτος
Fixed,Σταθερός
"Customer signs up in store","Ο πελάτης υπογράφει στο κατάστημα"
"Customer places order","Η παραγγελία πελατών τοποθετεί"
"Customer refer a friend","Ο πελάτης παραπέμπει σε έναν φίλο"
"Customer adds tag to a product","Ο πελάτης προσθέτει ετικέτα σε ένα προϊόν"
"Customer writes a product review","Ο πελάτης γράφει μια επισκόπηση προϊόντος"
"Customer has a birthday","Ο πελάτης έχει γενέθλια"
"Customer is inactive for long time","Ο πελάτης είναι ανενεργός για μεγάλο χρονικό διάστημα"
"Newsletter sign up","Εγγραφή στις ενημερώσεις"
"Facebook Share","Κοινή χρήση Facebook"
"Facebook Like","Facebook σαν"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Το Google+ μοιάζει"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Ο πελάτης συμμετέχει στο πρόγραμμα θυγατρικών"
"Push Notifications sign up","Οι ειδοποιήσεις Push sign up"
"Referred customer signs up in store","Τα αναφερόμενα σήματα πελατών εμφανίζονται στο κατάστημα"
"Order from referred customer","Παραγγελία από τον αναφερόμενο πελάτη"
"Points to Currency","Σημειώνει στο νόμισμα"
"Currency to Points","Νόμισμα σε σημεία"
"Customer Account > My Reward Points","Λογαριασμός Πελατών&gt; Οι Πόντοι ανταμοιβής μου"
"Customer Account > My Referrals","Λογαριασμός πελάτη&gt; Οι παραπομπές μου"
"Cart Page","Σελίδα καλαθιού"
"Message Sent","Το μήνυμα στάλθηκε"
"Signed Up",Υπογράψει
"Made Order",Παραγγελία
"Visited by Referral Link","Επισκεφτήκατε με σύνδεσμο παραπομπής"
"Subtotal + Tax","Υποσύνολο + Φόρος"
"Subtotal + Tax + Shipping","Υποσύνολο + Φόρος + Ναυτιλία"
"Product Rule","Κανόνας προϊόντος"
"Cart Rule","Κανονισμός καλαθιού"
"Behavior Rule","Κανόνας Συμπεριφοράς"
"Transaction #%1 is expired","Η συναλλαγή #%1 έχει λήξει"
"Update the Product","Ενημερώστε το προϊόν"
"Is Rewards Points used","Χρησιμοποιούνται οι Πόντοι ανταμοιβής"
"Coupon Used","Κουπόνι που χρησιμοποιείται"
"Coupon Code","Κωδικός κουπονιού"
No,Οχι
Yes,Ναί
"Conditions Combination","Συνθήκες Συνδυασμός"
"Product attribute combination","Συνδυασμός χαρακτηριστικών προϊόντος"
"Products subselection","Υποεπιλογή προϊόντων"
"Conditions combination","Συνθήκες συνδυασμού"
"Cart Attribute","Χαρακτηριστικό καλάθι"
Customer,Πελάτης
"Last 7-days Clicks","Τα τελευταία 7 ημερήσια κλικ"
"Last 7-days Orders","Τελευταίες Παραγγελίες 7 ημερών"
"Last 7-days Revenue","Τελευταία έσοδα 7 ημερών"
"Is Referee","Είναι ο Διαιτητής"
"Is Referral","Είναι παραπομπή"
Email,"ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΕΥΘΥΝΣΗ"
Group,Ομάδα
"Lifetime Sales","Πωλήσεις κατά τη διάρκεια της ζωής"
"Lifetime Spent Points","Εξοικονόμηση χρόνου ζωής"
"Number of Orders","Αριθμός παραγγελιών"
"Is subscriber of newsletter","Είναι συνδρομητής ενημερωτικού δελτίου"
"Number of reviews","Αριθμός κριτικών"
"Number of referred friends signups","Αριθμός καταχωρημένων φίλων"
"Number of referred friends orders","Αριθμός παραγγελιών παρατιθέμενων φίλων"
"Sum of referred friends orders","Σύνολο παραγγελιών παρατιθέμενων φίλων"
"Number of referrals who ordered at least once","Αριθμός παραπομπών που διέταξαν τουλάχιστον μία φορά"
"Not registered","Δεν έχει καταχωρηθεί"
"Attribute Set","Ρύθμιση χαρακτηριστικών"
Quantity,Ποσότητα
"Product Type","Τύπος Προϊόντος"
"Base Image","Βασική εικόνα"
Thumbnail,"Ονυξ του αντίχειρος"
"Small Image","Μικρή εικόνα"
"Base Image Size (bytes)","Μέγεθος εικόνας βάσης (byte)"
"Thumbnail Size (bytes)","Μέγεθος μικρογραφίας (byte)"
"Small Image Size (bytes)","Μικρό μέγεθος εικόνας (bytes)"
"PHP Condition","PHP Condition"
"Base Price","Βασική τιμή"
"Final Price","Τελική τιμή"
"Special Price","Ειδική τιμή"
"Open Chooser","Ανοίξτε το Chooser"
"Referred: Group","Αναφέρεται: Ομάδα"
"Referred: Lifetime Sales","Αναφέρεται: Πωλήσεις σε όλη τη διάρκεια ζωής"
"Referred: Number of Orders","Αναφέρεται: Αριθμός παραγγελιών"
"Referred: Is subscriber of newsletter","Αναφέρεται: Είναι συνδρομητής ενημερωτικού δελτίου"
"Referred: Number of reviews","Αναφέρεται: Αριθμός κριτικών"
"Please specify a website.","Προσδιορίστε έναν ιστότοπο."
"Please specify a customer email.","Προσδιορίστε ένα μήνυμα ηλεκτρονικού ταχυδρομείου πελάτη."
"We found an invalid value in a website column.","Βρήκαμε μια μη έγκυρη τιμή σε μια στήλη ιστότοπου."
"Please enter a valid email.","Παρακαλώ εισάγετε μια έγκυρη διεύθυνση email."
"Please make sure attribute ""%1"" is not empty.","Βεβαιωθείτε ότι το χαρακτηριστικό &quot;%1&quot; δεν είναι άδειο."
"We can't find a customer who matches this email and website code.","Δεν μπορούμε να βρούμε έναν πελάτη που να ταιριάζει με αυτό το μήνυμα ηλεκτρονικού ταχυδρομείου και κώδικα ιστότοπου"
"-- Please Select --","-- Παρακαλώ επιλέξτε --"
"Discount Used","Έκπτωση που χρησιμοποιείται"
"Custom Product Attributes","Χαρακτηριστικά προσαρμοσμένων προϊόντων"
"- Disable these emails -","- Απενεργοποιήστε αυτά τα μηνύματα ηλεκτρονικού ταχυδρομείου -"
"Give X points to customer","Δώστε X πόντους στον πελάτη"
"Give X points for every spent Y","Δώστε X πόντους για κάθε δαπάνη Y"
"Give X points for every Z quantity","Δώστε X πόντους για κάθε ποσότητα Z"
"For every Y, give X points","Για κάθε Y, δώστε X πόντους"
Pending,Εκκρεμής
Approved,Εγκρίθηκε
Discarded,Απορρίπτεται
"You do not have permissions to create transactions. Please contact your site administrator.","Δεν έχετε δικαιώματα για τη δημιουργία συναλλαγών. Επικοινωνήστε με τον διαχειριστή του ιστότοπού σας."
"%1 has been added.","%1 έχει προστεθεί."
"%1 has been deducted.","%1 έχει αφαιρεθεί."
"You earned %1 and spent %2 for this order.","Κερδίσατε %1 και δαπανήσατε %2 για αυτήν την παραγγελία."
"You spent %1 for this order.","Περάσατε %1 για αυτήν την παραγγελία."
"You earned %1 for this order.","Έχετε κερδίσει %1 για αυτήν την παραγγελία."
"Earned points will be enrolled to your account after we finish processing your order.","Τα κερδισμένα σημεία θα εγγραφούν στο λογαριασμό σας αφού ολοκληρώσουμε την επεξεργασία της παραγγελίας σας."
"Rewards error occurred on the server. Please try to place the order again.","Στον διακομιστή προέκυψε σφάλμα ανταμοιβής. Δοκιμάστε να τοποθετήσετε ξανά την παραγγελία."
"Earn at least %1 %2","Κερδίστε τουλάχιστον %1 %2"
"Reward Points","Πόντοι επιβράβευσης"
Edit,Επεξεργασία
Back,Πίσω
Delete,Διαγράφω
