"My Reward Points","Mis puntos de recompensa"
"Checkout now and earn <b>%1</b> for this order.","<b>Pague</b> ahora y gane <b>%1</b> por este pedido."
"Applies only to registered customers, may vary when logged in.","Se aplica solo a clientes registrados, puede variar cuando se inicia sesión."
"Possible discount %1 %2","Posible descuento %1 %2"
"Earn %1 %2","Gana %1 %2"
Grid,Cuadrícula
List,Lista
All,Todas
"Referral %1","Referencia %1"
"Something went wrong while saving your subscription.","Algo salió mal al guardar su suscripción."
"We removed your subscription on expiring points notification.","Eliminamos su suscripción al momento de la notificación de los puntos."
"Cannot apply points.","No se pueden aplicar puntos"
"You've earned %1 for Facebook Like!","¡Has ganado %1 por Facebook Like!"
"You've earned %1 for Facebook Share!","¡Has ganado %1 por Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points ha sido cancelado"
"You've earned %1 for Google+!","¡Has ganado %1 para Google+!"
"G+1 Points has been canceled","G + 1 Puntos ha sido cancelado"
"You've earned %1 for Pin!","¡Has ganado %1 por Pin!"
"Invalid form key. Try again","Clave de formulario inválida Inténtalo de nuevo"
"Customer with email %1 has been already invited to our store","El cliente con correo electrónico %1 ya ha sido invitado a nuestra tienda"
"Your invitations were sent. Thanks!","Tus invitaciones fueron enviadas ¡Gracias!"
"You've earned %1 for Tweet!","¡Has ganado %1 por Tweet!"
"You received %1 for signing up","Has recibido %1 por registrarte"
"You received %1 for sending this product","Recibió %1 por enviar este producto"
"You received %1 for sign up for newsletter","Recibió %1 para registrarse en el boletín"
"You received %1 for sign up for push notifications","Has recibido %1 para registrarte para recibir notificaciones push"
"You will receive %1 after approving of this tag","Recibirá %1 después de aprobar esta etiqueta"
"You will receive %1 after approving of this review","Recibirá %1 después de aprobar esta revisión"
"You received %1 for sign up of referral customer.","Recibió %1 para inscribirse en el cliente de referencia."
"You received %1 for order of referral customer.","Recibió %1 por el pedido del cliente de referencia."
"Happy birthday! You received %1.","¡Feliz cumpleaños! Usted recibió %1."
"You received %1 for joining the affiliate program.","Usted recibió %1 por unirse al programa de afiliados."
"%1 were applied.","%1 se aplicó."
"Minimum number is %1.","El número mínimo es %1."
"Maximum number is %1.","El número máximo es %1."
"%1 was canceled.","%1 fue cancelado."
"Cannot apply %1.","No se puede aplicar %1."
"You can use the following variables:","Puedes usar las siguientes variables:"
Pattern,Patrón
"Attribute Value","Valor de atributo"
Default,Defecto
Integer,Entero
Price,Precio
"Strip Tags","Etiquetas de tira"
"Primary Attributes","Atributos principales"
"Stock Attributes","Atributos de stock"
"Prices & Taxes","Precios e Impuestos"
Images,Imágenes
"Custom Attributes","Atributos personalizados"
Mapping,Cartografía
Category,Categoría
"Amasty Meta Tags","Amasty Meta Tags"
"Others Attributes","Otros atributos"
Flexible,Flexible
Fixed,Fijo
"Customer signs up in store","El cliente se registra en la tienda"
"Customer places order","El cliente pone orden"
"Customer refer a friend","El cliente se refiere a un amigo"
"Customer adds tag to a product","El cliente agrega la etiqueta a un producto"
