"My Reward Points","Minu reward Points"
"Checkout now and earn <b>%1</b> for this order.","<b>Saate</b> checkout nüüd ja teeni <b>%1</b> selle tellimuse eest."
"Applies only to registered customers, may vary when logged in.","Kehtib ainult registreeritud klientidele, võib sisselogimisel varieeruda."
"Possible discount %1 %2","Võimalikud soodustused %1 %2"
"Earn %1 %2","Teeni %1 %2"
Grid,Võrk
List,Nimekiri
All,Kõik
"Referral %1","Viide %1"
"Something went wrong while saving your subscription.","Tellimuse salvestamisel läks midagi valesti."
"We removed your subscription on expiring points notification.","Me eemaldasime teie tellimise katkestatud punktide märguande."
"Cannot apply points.","Punkte ei saa rakendada."
"You've earned %1 for Facebook Like!","Sa oled teeninud %1 jaoks Facebookile meeldib!"
"You've earned %1 for Facebook Share!","Sa oled teeninud %1 Facebook Share jaoks!"
"Facebook Like Points has been canceled","Facebook Like Points on tühistatud"
"You've earned %1 for Google+!","Olete teeninud Google+ %1 eest!"
"G+1 Points has been canceled","G + 1 punktid on tühistatud"
"You've earned %1 for Pin!","Te olete teeninud %1 eest Pin&#39;ile!"
"Invalid form key. Try again","Kehtetu vormi võti. Proovi uuesti"
"Customer with email %1 has been already invited to our store","Kliendi meiliaadress %1 on juba meie poest kutsutud"
"Your invitations were sent. Thanks!","Teie kutsed saadeti. Aitäh"
"You've earned %1 for Tweet!","Sa oled teeninud %1 eest!"
"You received %1 for signing up","Sa said %1 registreerimiseks"
"You received %1 for sending this product","Saatsid selle toote saatmiseks %1"
"You received %1 for sign up for newsletter","Sa said %1-le registreerumiseks uudiskirja saamiseks"
"You received %1 for sign up for push notifications","Saatsite %1-le registreeritud push-teavituste saamiseks"
"You will receive %1 after approving of this tag","Te saate %1 pärast selle märgendi kinnitamist"
"You will receive %1 after approving of this review","Pärast läbivaatamist kinnitatakse teile %1"
"You received %1 for sign up of referral customer.","Teile saadeti %1 registreerimistaotluse klient."
"You received %1 for order of referral customer.","Sa saite %1-le referential kliendi tellimuse kohta."
"Happy birthday! You received %1.","Palju õnne sünnipäevaks! Sa said %1."
"You received %1 for joining the affiliate program.","Sa said %1 liitumisprogrammi liitumiseks."
"%1 were applied.","%1 rakendati."
"Minimum number is %1.","Minimaalne arv on %1."
"Maximum number is %1.","Maksimaalne arv on %1."
"%1 was canceled.","%1 tühistati."
"Cannot apply %1.","Ei saa rakendada %1."
"You can use the following variables:","Võite kasutada järgmisi muutujaid:"
Pattern,Muster
"Attribute Value","Atribuudi väärtus"
Default,Vaikimisi
Integer,Täisarv
Price,Hind
"Strip Tags","Stripsi sildid"
"Primary Attributes","Peamised atribuudid"
"Stock Attributes","Varude omadused"
