"My Reward Points","امتیازات پاداش من"
"Checkout now and earn <b>%1</b> for this order.","اکنون پرداخت کنید و برای این سفارش <b>%1</b> کسب کنید."
"Applies only to registered customers, may vary when logged in.","فقط در مورد مشتری های ثبت شده کاربرد دارد، ممکن است هنگام ورود به سیستم متفاوت باشد."
"Possible discount %1 %2","تخفیف احتمالی %1 %2"
"Earn %1 %2","کسب %1 %2"
Grid,توری
List,فهرست
All,همه
"Referral %1","ارجاع %1"
"Something went wrong while saving your subscription.","هنگام صرفه جویی در اشتراک خود، اشتباهی رخ داد."
"We removed your subscription on expiring points notification.","اشتراک شما را در تأیید نقاط متوقف کردیم."
"Cannot apply points.","نمی توان نقاط را اعمال کرد"
"You've earned %1 for Facebook Like!","شما %1 برای فیس بوک به دست آورده اید!"
"You've earned %1 for Facebook Share!","شما %1 برای Facebook Share به دست آورده اید!"
"Facebook Like Points has been canceled","فیس بوک مانند امتیاز لغو شده است"
"You've earned %1 for Google+!","شما %1 را برای Google+ به دست آورده اید"
"G+1 Points has been canceled","G + 1 امتیاز لغو شد"
"You've earned %1 for Pin!","شما %1 برای پین به دست آورده اید"
"Invalid form key. Try again","کلید فرم نامعتبر است دوباره امتحان کنید"
"Customer with email %1 has been already invited to our store","مشتری با ایمیل %1 در حال حاضر به فروشگاه ما دعوت شده است"
"Your invitations were sent. Thanks!","دعوت نامه های شما ارسال شد با تشکر!"
"You've earned %1 for Tweet!","شما %1 برای توییتر به دست آورده اید"
"You received %1 for signing up","شما %1 را برای ثبت نام دریافت کرده اید"
"You received %1 for sending this product","شما برای دریافت این محصول %1 دریافت کردید"
"You received %1 for sign up for newsletter","شما %1 برای ثبت نام برای خبرنامه دریافت کردید"
"You received %1 for sign up for push notifications","شما %1 برای ثبت نام برای اطلاعیه های فشار دریافت کردید"
"You will receive %1 after approving of this tag","شما پس از تایید این برچسب %1 دریافت خواهید کرد"
"You will receive %1 after approving of this review","شما پس از تایید این بررسی %1 دریافت خواهید کرد"
"You received %1 for sign up of referral customer.","شما %1 برای ثبت نام مشتری ارجاع دریافت کردید"
"You received %1 for order of referral customer.","%1 برای سفارش مشتری ارجاع دریافت کردید"
"Happy birthday! You received %1.","تولدت مبارک! شما %1 دریافت کردید"
"You received %1 for joining the affiliate program.","شما %1 برای پیوستن به برنامه وابسته دریافت کردید"
"%1 were applied.","%1 اعمال شد"
"Minimum number is %1.","حداقل تعداد %1 است."
"Maximum number is %1.","حداکثر تعداد %1 است."
"%1 was canceled.","%1 لغو شد"
"Cannot apply %1.","%1 اعمال نمی شود"
"You can use the following variables:","شما می توانید از متغیرهای زیر استفاده کنید:"
Pattern,الگو
"Attribute Value","مقدار مشخصه"
Default,"پیش فرض"
Integer,"عدد صحیح"
Price,قیمت
"Strip Tags","تگ نوار"
"Primary Attributes","ویژگی های اولیه"
"Stock Attributes","ویژگی های سهام"
"Prices & Taxes","قیمت ها و مالیات"
Images,تصاویر
"Custom Attributes","ویژگی های سفارشی"
Mapping,"نقشه برداری"
Category,"دسته بندی"
"Amasty Meta Tags","برچسب ها Amastey Meta"
"Others Attributes","دیگر ویژگی ها"
Flexible,"قابل انعطاف"
Fixed,"درست شد"
"Customer signs up in store","ثبت نام مشتری در فروشگاه"
"Customer places order","مشتری مکان سفارش"
"Customer refer a friend","مشتری یک دوست را ارجاع می دهد"
"Customer adds tag to a product","مشتری برچسب را به یک محصول اضافه می کند"
"Customer writes a product review","مشتری یک نظر محصول می نویسد"
"Customer has a birthday","مشتری روز تولد دارد"
"Customer is inactive for long time","مشتری برای مدت زمان طولانی غیرفعال است"
"Newsletter sign up","خبرنامه ثبت نام کنید"
"Facebook Share","اشتراک فیس بوک"
"Facebook Like","فیس بوک مانند"
"Twitter Tweet","توییتر توییتر"
"Google+ Like","مانند Google+"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","مشتری به برنامه وابسته پیوست"
"Push Notifications sign up","اعلان های فشار به ثبت نام"
"Referred customer signs up in store","مشتری ثبت نام در فروشگاه"
"Order from referred customer","سفارش از مشتری ارجاع شده"
"Points to Currency","امتیاز به ارز"
"Currency to Points","ارز به نقاط"
"Customer Account > My Reward Points","حساب مشتری&gt; نقاط پاداش من"
"Customer Account > My Referrals","حساب مشتری&gt; مراجعه من"
"Cart Page","صفحه سبد خرید"
"Message Sent","پیغام فرستاده شد"
"Signed Up","امضا شده"
"Made Order","سفارش داده شده"
"Visited by Referral Link","بازدید شده توسط لینک ارجاع"
"Subtotal + Tax","کل مبلغ + مالیات"
"Subtotal + Tax + Shipping","زیرمجموعه + مالیات + حمل و نقل"
"Product Rule","قوانین محصول"
"Cart Rule","قوانین سبد خرید"
"Behavior Rule","رفتار رفتار"
"Transaction #%1 is expired","تراکنش #%1 منقضی شده است"
"Update the Product","به روز رسانی محصول"
"Is Rewards Points used","آیا پاداش امتیاز استفاده می شود"
"Coupon Used","کوپن مورد استفاده"
"Coupon Code","کوپن کد"
No,نه
Yes,بله
"Conditions Combination","شرایط ترکیب"
"Product attribute combination","ترکیبی از ویژگی محصول"
"Products subselection","محصولات انتخابی"
"Conditions combination","ترکیب شرایط"
"Cart Attribute","مشخصه کارت"
Customer,مشتری
"Last 7-days Clicks","آخرین کلیک های 7 روزه"
"Last 7-days Orders","آخرین سفارشات 7 روزه"
"Last 7-days Revenue","آخرین درآمد 7 روزه"
"Is Referee","داور است"
"Is Referral","ارجاع دارد"
Email,"پست الکترونیک"
Group,گروه
"Lifetime Sales","فروش طول عمر"
"Lifetime Spent Points","امتیازات ماندگاری"
"Number of Orders","تعداد سفارشات"
"Is subscriber of newsletter","مشترک خبرنامه است"
"Number of reviews","تعداد نظرات"
"Number of referred friends signups","تعداد ثبت نام های مراجعه کننده"
"Number of referred friends orders","تعداد سفارشات مراجعه کننده"
"Sum of referred friends orders","مجموع سفارشات مراجعه شده به دوستان"
"Number of referrals who ordered at least once","تعداد ارجاعات که حداقل یک بار سفارش دادند"
"Not registered","ثبت نشده است"
"Attribute Set","مشخصه مجموعه"
Quantity,مقدار
"Product Type","نوع محصول"
"Base Image","تصویر پایه"
Thumbnail,"بند انگشتی"
"Small Image","تصویر کوچک"
"Base Image Size (bytes)","اندازه تصویر پایه (بایت)"
"Thumbnail Size (bytes)","اندازه تصویر بند انگشتی (بایت)"
"Small Image Size (bytes)","اندازه تصویر کوچک (بایت)"
"PHP Condition","وضعیت PHP"
"Base Price","قیمت پایه"
"Final Price","قیمت نهایی"
"Special Price","قیمت ویژه"
"Open Chooser","باز انتخاب"
"Referred: Group","ذکر شده: گروه"
"Referred: Lifetime Sales","ذکر شده: فروش طول عمر"
"Referred: Number of Orders","اظهارنامه: تعداد سفارشات"
"Referred: Is subscriber of newsletter","ذکر شده: آیا مشترک خبرنامه است"
"Referred: Number of reviews","ارجاع: تعداد نظرات"
"Please specify a website.","لطفا یک وب سایت را مشخص کنید"
"Please specify a customer email.","لطفا ایمیل مشتری را مشخص کنید"
"We found an invalid value in a website column.","یک مقدار نامعتبر در یک ستون وب یافتیم"
"Please enter a valid email.","لطفا یک ایمیل معتبر وارد کنید."
"Please make sure attribute ""%1"" is not empty.","لطفا مطمئن شوید که صفت &quot;%1&quot; خالی نیست"
"We can't find a customer who matches this email and website code.","ما نمیتوانیم یک مشتری پیدا کنیم که این ایمیل و کد وبسایت را رعایت کند."
"-- Please Select --","-- لطفا انتخاب کنید --"
"Discount Used","تخفیف مورد استفاده"
"Custom Product Attributes","مشخصات محصول سفارشی"
"- Disable these emails -","- این ایمیل ها را غیرفعال کنید -"
"Give X points to customer","امتیاز X را به مشتری بدهید"
"Give X points for every spent Y","امتیازات X برای هر صرف Y را بدهید"
"Give X points for every Z quantity","امتیاز X برای هر مقدار Z را بدهید"
"For every Y, give X points","برای هر Y، امتیاز X را بدهید"
Pending,"در انتظار"
Approved,"تایید شده"
Discarded,"رد شد"
"You do not have permissions to create transactions. Please contact your site administrator.","شما برای ایجاد معاملات مجوز ندارید لطفا با سرپرست سایت خود تماس بگیرید"
"%1 has been added.","%1 اضافه شده است"
"%1 has been deducted.","%1 کسر شده است"
"You earned %1 and spent %2 for this order.","شما %1 و %2 برای این منظور صرف کردید."
"You spent %1 for this order.","شما برای این منظور %1 صرف کردید."
