"My Reward Points","Omat korotuspisteet"
"Checkout now and earn <b>%1</b> for this order.","<b>Tarkista</b> nyt ja ansaitse <b>%1</b> tilauksesta."
"Applies only to registered customers, may vary when logged in.","Koskee vain rekisteröityneitä asiakkaita, saattaa vaihdella kirjautuneena."
"Possible discount %1 %2","Mahdollinen alennus %1 %2"
"Earn %1 %2","Ansaita %1 %2"
Grid,Ruudukko
List,Lista
All,Kaikki
"Referral %1","Viittaus %1"
"Something went wrong while saving your subscription.","Jotain meni pieleen tallentamassa tilaustasi."
"We removed your subscription on expiring points notification.","Poistimme tilauksesi vanhentumispisteiden ilmoituksessa."
"Cannot apply points.","Ei voi käyttää pisteitä."
"You've earned %1 for Facebook Like!","Olet ansainnut %1 Facebookille!"
"You've earned %1 for Facebook Share!","Olet ansainnut %1 Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points on peruutettu"
"You've earned %1 for Google+!","Olet ansainnut %1 Google+ -palvelulle!"
"G+1 Points has been canceled","G + 1 pistettä on peruutettu"
"You've earned %1 for Pin!","Olet ansainnut %1 Pinille!"
"Invalid form key. Try again","Virheellinen lomaketta. Yritä uudelleen"
"Customer with email %1 has been already invited to our store","Asiakas sähköpostilla %1 on jo kutsuttu kauppaan"
"Your invitations were sent. Thanks!","Kutsuasi lähetettiin. Kiitos!"
"You've earned %1 for Tweet!","Olet ansainnut %1: n Tweet!"
"You received %1 for signing up","Sait %1 rekisteröitymistä varten"
"You received %1 for sending this product","Olet saanut %1 tämän tuotteen lähettämiseen"
"You received %1 for sign up for newsletter","Sait %1 ilmoittautumiseen uutiskirjeeksi"
"You received %1 for sign up for push notifications","Sait %1 ilmoittaaksesi push-ilmoitukset"
"You will receive %1 after approving of this tag","Saat %1 tämän tunnuksen hyväksymisen jälkeen"
"You will receive %1 after approving of this review","Saat %1 tämän tarkistuksen hyväksymisen jälkeen"
"You received %1 for sign up of referral customer.","Sait %1 vastaanottomiehen rekisteröimiseksi."
"You received %1 for order of referral customer.","Sait %1 vastaanottajan tilaukselle."
"Happy birthday! You received %1.","Hyvää syntymäpäivää! Sait %1."
