"My Reward Points","Mes points de récompense"
"Checkout now and earn <b>%1</b> for this order.","Commandez maintenant et gagnez <b>%1</b> pour cette commande."
"Applies only to registered customers, may vary when logged in.","S&#39;applique uniquement aux clients enregistrés, peut varier une fois connecté."
"Possible discount %1 %2","Remise possible %1 %2"
"Earn %1 %2","Gagner %1 %2"
Grid,"La grille"
List,Liste
All,Tout
"Referral %1","Référence %1"
"Something went wrong while saving your subscription.","Une erreur s&#39;est produite lors de la sauvegarde de votre abonnement."
"We removed your subscription on expiring points notification.","Nous avons supprimé votre abonnement à la notification des points d&#39;expiration."
"Cannot apply points.","Impossible d&#39;appliquer des points."
"You've earned %1 for Facebook Like!","Vous avez gagné %1 pour Facebook Like!"
"You've earned %1 for Facebook Share!","Vous avez gagné %1 pour Facebook Partager!"
"Facebook Like Points has been canceled","Facebook Like Points a été annulé"
"You've earned %1 for Google+!","Vous avez gagné %1 pour Google+!"
"G+1 Points has been canceled","G + 1 Points a été annulé"
"You've earned %1 for Pin!","Vous avez gagné %1 pour Pin!"
"Invalid form key. Try again","Clé de formulaire non valide Réessayer"
"Customer with email %1 has been already invited to our store","Le client avec email %1 a déjà été invité dans notre magasin"
"Your invitations were sent. Thanks!","Vos invitations ont été envoyées. Merci!"
"You've earned %1 for Tweet!","Vous avez gagné %1 pour Tweet!"
"You received %1 for signing up","Vous avez reçu %1 pour vous inscrire"
"You received %1 for sending this product","Vous avez reçu %1 pour l&#39;envoi de ce produit"
"You received %1 for sign up for newsletter","Vous avez reçu %1 pour vous inscrire à la newsletter"
"You received %1 for sign up for push notifications","Vous avez reçu %1 pour l&#39;inscription aux notifications push"
"You will receive %1 after approving of this tag","Vous recevrez %1 après l&#39;approbation de cette étiquette"
"You will receive %1 after approving of this review","Vous recevrez %1 après l&#39;approbation de cet avis"
"You received %1 for sign up of referral customer.","Vous avez reçu %1 pour l&#39;inscription du client de référence."
"You received %1 for order of referral customer.","Vous avez reçu %1 pour l&#39;ordre du client de référence."
"Happy birthday! You received %1.","Bon anniversaire! Vous avez reçu %1."
"You received %1 for joining the affiliate program.","Vous avez reçu %1 pour avoir rejoint le programme d&#39;affiliation."
"%1 were applied.","%1 a été appliqué."
"Minimum number is %1.","Le nombre minimum est %1."
"Maximum number is %1.","Le nombre maximum est %1."
"%1 was canceled.","%1 a été annulé."
"Cannot apply %1.","Impossible d&#39;appliquer %1."
"You can use the following variables:","Vous pouvez utiliser les variables suivantes:"
Pattern,Modèle
"Attribute Value","Valeur de l&#39;attribut"
Default,Défaut
Integer,Entier
Price,Prix
"Strip Tags","Balises de bande"
"Primary Attributes","Attributs primaires"
"Stock Attributes","Attributs de stock"
"Prices & Taxes","Prix ​​et taxes"
Images,Images
"Custom Attributes","Attributs personnalisés"
Mapping,Cartographie
Category,Catégorie
"Amasty Meta Tags","Étiquettes Meta Amasty"
"Others Attributes","Autres attributs"
Flexible,Flexible
Fixed,Fixé
"Customer signs up in store","Le client s&#39;inscrit en magasin"
"Customer places order","Le client passe commande"
"Customer refer a friend","Client référer un ami"
"Customer adds tag to a product","Le client ajoute un tag à un produit"
"Customer writes a product review","Le client écrit une revue de produit"
"Customer has a birthday","Le client a un anniversaire"
"Customer is inactive for long time","Le client est inactif depuis longtemps"
"Newsletter sign up","Inscription à la newsletter"
"Facebook Share","Partage facebook"
"Facebook Like","Facebook J&#39;aime"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ J&#39;aime"
"Pinterest Pin","Pin de Pinterest"
"Customer joins the affiliate program","Le client se joint au programme d&#39;affiliation"
"Push Notifications sign up","Notifications Push"
"Referred customer signs up in store","Le client référé s&#39;inscrit en magasin"
"Order from referred customer","Commande du client référé"
"Points to Currency","Points à la monnaie"
"Currency to Points","Devise aux points"
"Customer Account > My Reward Points","Compte client&gt; Mes points de récompense"
"Customer Account > My Referrals","Compte client&gt; Mes références"
"Cart Page","Page de panier"
"Message Sent","Message envoyé"
"Signed Up",Signé
"Made Order","Fait une commande"
"Visited by Referral Link","Visité par le lien de référence"
"Subtotal + Tax","Sous-total + taxe"
"Subtotal + Tax + Shipping","Sous-total + Taxe + Expédition"
"Product Rule","Règle du produit"
"Cart Rule","Règle du panier"
"Behavior Rule","Règle de comportement"
"Transaction #%1 is expired","La transaction #%1 a expiré"
"Update the Product","Mettre à jour le produit"
"Is Rewards Points used","Les points Rewards sont-ils utilisés"
"Coupon Used","Coupon utilisé"
"Coupon Code","Code de coupon"
No,Non
Yes,Oui
"Conditions Combination","Combinaison de conditions"
"Product attribute combination","Combinaison d&#39;attributs de produit"
"Products subselection","Sous-sélection de produits"
"Conditions combination","Combinaison de conditions"
"Cart Attribute","Attribut du panier"
Customer,Client
"Last 7-days Clicks","Derniers clics de 7 jours"
"Last 7-days Orders","Les 7 derniers jours"
"Last 7-days Revenue","Revenu des 7 derniers jours"
"Is Referee","Est arbitre"
"Is Referral","Est-ce que le renvoi"
Email,Email
Group,Groupe
"Lifetime Sales","Ventes à vie"
"Lifetime Spent Points","Points de vie dépensés"
"Number of Orders","Nombre de commandes"
"Is subscriber of newsletter","Est abonné à la newsletter"
"Number of reviews","Nombre d&#39;avis"
"Number of referred friends signups","Nombre d&#39;inscriptions d&#39;amis référencés"
"Number of referred friends orders","Nombre d&#39;ordres d&#39;amis référés"
"Sum of referred friends orders","Somme des ordres d&#39;amis référés"
"Number of referrals who ordered at least once","Nombre de références ayant commandé au moins une fois"
"Not registered","Non enregistré"
"Attribute Set","Attribute Set"
Quantity,Quantité
"Product Type","Type de produit"
"Base Image","Image de base"
Thumbnail,"La vignette"
"Small Image","Petite image"
"Base Image Size (bytes)","Taille de l&#39;image de base (octets)"
"Thumbnail Size (bytes)","Taille de la vignette (octets)"
"Small Image Size (bytes)","Petite taille d&#39;image (octets)"
