"My Reward Points","נקודות התגמול שלי"
"Checkout now and earn <b>%1</b> for this order.","<b>צא</b> כעת <b>והרוויח %1</b> עבור הזמנה זו."
"Applies only to registered customers, may vary when logged in.","חל רק על לקוחות רשומים, עשוי להשתנות כאשר אתה מחובר."
"Possible discount %1 %2","הנחה אפשרית %1 %2"
"Earn %1 %2","להרוויח %1 %2"
Grid,רֶשֶׁת
List,רשימה
All,"את כל"
"Referral %1","הפניה %1"
"Something went wrong while saving your subscription.","משהו השתבש בעת שמירת המינוי שלך."
"We removed your subscription on expiring points notification.","הסרנו את המנוי שלך בהודעה שפג תוקפם."
"Cannot apply points.","לא ניתן להחיל נקודות."
"You've earned %1 for Facebook Like!","הרווחת את %1 עבור Facebook כמו!"
"You've earned %1 for Facebook Share!","זכית ב- %1 עבור Facebook Share!"
"Facebook Like Points has been canceled","נקודות פייסבוק של Facebook בוטלו"
"You've earned %1 for Google+!","הרווחת את %1 עבור Google+!"
"G+1 Points has been canceled","נקודות G + 1 בוטלו"
"You've earned %1 for Pin!","זכית ב- %1 עבור Pin!"
"Invalid form key. Try again","מפתח טופס לא חוקי. נסה שוב"
"Customer with email %1 has been already invited to our store","הלקוח עם הדוא&quot;ל %1 כבר הוזמן לחנות שלנו"
"Your invitations were sent. Thanks!","ההזמנות שלך נשלחו. תודה!"
"You've earned %1 for Tweet!","הרווחת %1 עבור ציוץ!"
"You received %1 for signing up","קיבלת %1 להרשמה"
"You received %1 for sending this product","קיבלת %1 לשליחת מוצר זה"
"You received %1 for sign up for newsletter","קיבלת %1 להרשמה לניוזלטר"
"You received %1 for sign up for push notifications","קיבלת %1 כדי להירשם לקבלת הודעות דחיפה"
"You will receive %1 after approving of this tag","תקבל את %1 לאחר אישור תג זה"
"You will receive %1 after approving of this review","תקבל את %1 לאחר אישור הביקורת"
"You received %1 for sign up of referral customer.","קיבלת %1 להרשמה של לקוח הפניה."
"You received %1 for order of referral customer.","קיבלת את %1 להזמנה של לקוח הפניה."
"Happy birthday! You received %1.","יום הולדת שמח! קיבלת %1."
"You received %1 for joining the affiliate program.","קיבלת %1 להצטרפות לתוכנית השותפים."
"%1 were applied.","%1 הוחל."
"Minimum number is %1.","המספר המינימלי הוא %1."
"Maximum number is %1.","המספר המקסימלי הוא %1."
"%1 was canceled.","%1 בוטלה."
"Cannot apply %1.","לא ניתן להחיל %1."
"You can use the following variables:","ניתן להשתמש במשתנים הבאים:"
Pattern,תַבְנִית
"Attribute Value","ערך תכונה"
Default,"בְּרִירַת מֶחדָל"
Integer,"מספר שלם"
Price,מחיר
"Strip Tags","רצועת תגיות"
"Primary Attributes","תכונות עיקריות"
"Stock Attributes","תכונות מלאי"
"Prices & Taxes","מחירים &amp; מסים"
Images,תמונות
"Custom Attributes","תכונות מותאמות אישית"
Mapping,מיפוי
Category,קטגוריה
"Amasty Meta Tags","תגיות מטא Amast"
"Others Attributes","תכונות אחרות"
Flexible,גָמִישׁ
Fixed,תוקן
"Customer signs up in store","הלקוח נרשם בחנות"
"Customer places order","הזמנת מקומות הלקוח"
"Customer refer a friend","הלקוח הפנה חבר"
"Customer adds tag to a product","הלקוח מוסיף תג למוצר"
"Customer writes a product review","הלקוח כותב ביקורת מוצר"
"Customer has a birthday","ללקוח יש יום הולדת"
"Customer is inactive for long time","הלקוח אינו פעיל במשך זמן רב"
"Newsletter sign up","הרשמה לניוזלטר"
"Facebook Share","שיתוף בפייסבוק"
"Facebook Like","פייסבוק כמו"
"Twitter Tweet","טוויטר Tweet"
"Google+ Like","כמו Google+"
"Pinterest Pin",פינטרסט
"Customer joins the affiliate program","הלקוח מצטרף לתוכנית השותפים"
"Push Notifications sign up","הודעות Push נרשמות"
"Referred customer signs up in store","הפניה שלטי לקוחות בחנות"
"Order from referred customer","הזמנה מלקוח שהופנה"
"Points to Currency","נקודות למטבע"
"Currency to Points","מטבע נקודות"
"Customer Account > My Reward Points","חשבון לקוח&gt; נקודות התגמול שלי"
"Customer Account > My Referrals","חשבון לקוח&gt; הפניות שלי"
"Cart Page","דף סל"
"Message Sent","הודעה נשלחה"
"Signed Up",נרשם
"Made Order",הזמנה
"Visited by Referral Link","ביקר על ידי קישור הפנייה"
"Subtotal + Tax","סיכום ביניים + מס"
"Subtotal + Tax + Shipping","סיכום ביניים + מס + משלוח"
"Product Rule","חוק מוצר"
"Cart Rule","כלל העגלה"
"Behavior Rule","כללי התנהגות"
"Transaction #%1 is expired","העסקה מס &#39;1___ פג"
"Update the Product","עדכן את המוצר"
"Is Rewards Points used","האם נקודות Rewards משמש"
"Coupon Used","קופון משומש"
"Coupon Code","קוד קופון"
No,לא
Yes,כן
"Conditions Combination","תנאים שילוב"
"Product attribute combination","שילוב של תכונות מוצר"
"Products subselection","מוצרים subselection"
"Conditions combination","שילוב תנאים"
"Cart Attribute","תכונת העגלה"
Customer,צרכן
"Last 7-days Clicks","אחרון 7 ימים קליקים"
"Last 7-days Orders","7 הימים האחרונים"
"Last 7-days Revenue","אחרון 7 ימים הכנסות"
"Is Referee","הוא שופט"
"Is Referral","האם הפניה"
Email,אֶלֶקטרוֹנִי
Group,קְבוּצָה
"Lifetime Sales","מכירות לכל החיים"
"Lifetime Spent Points","Lifetime מבלה נקודות"
"Number of Orders","מספר ההזמנות"
"Is subscriber of newsletter","האם מנוי של עלון"
"Number of reviews","מספר ביקורות"
"Number of referred friends signups","מספר ההרשמות של חברים שהוזכרו"
"Number of referred friends orders","מספר ההזמנות של חברים שהוזכרו"
"Sum of referred friends orders","סכום ההזמנות של חברים שהוזכרו"
"Number of referrals who ordered at least once","מספר הפניות שהזמינו לפחות פעם אחת"
"Not registered","לא רשום"
"Attribute Set","הגדרת תכונות"
Quantity,כַּמוּת
"Product Type","סוג המוצר"
"Base Image","תמונה בסיסית"
Thumbnail,"תמונה ממוזערת"
"Small Image","תמונה קטנה"
"Base Image Size (bytes)","גודל תמונה בסיסית (בתים)"
"Thumbnail Size (bytes)","גודל תמונה ממוזערת (בתים)"
"Small Image Size (bytes)","גודל תמונה קטן (בתים)"
"PHP Condition","תנאי PHP"
"Base Price","מחיר בסיסי"
"Final Price","מחיר אחרון"
"Special Price","מחיר מיוחד"
"Open Chooser","פתח את Chooser"
"Referred: Group","הפניה: קבוצה"
"Referred: Lifetime Sales","הפניה: Lifetime מכירות"
"Referred: Number of Orders","הפניה: מספר הזמנות"
"Referred: Is subscriber of newsletter","הפניה: האם מנוי של עלון"
"Referred: Number of reviews","הפניות: מספר ביקורות"
"Please specify a website.","אנא ציין אתר."
"Please specify a customer email.","ציין דוא&quot;ל לקוח."
"We found an invalid value in a website column.","מצאנו ערך לא חוקי בעמודת אתר."
"Please enter a valid email.","הזן כתובת דוא&quot;ל חוקית."
"Please make sure attribute ""%1"" is not empty.","אנא ודא שהתכונה &quot;%1&quot; אינה ריקה."
"We can't find a customer who matches this email and website code.","איננו יכולים למצוא לקוח שמתאים לדוא&quot;ל ולקוד אתר זה."
"-- Please Select --","-- בבקשה תבחר --"
"Discount Used","דיסקונט משמש"
"Custom Product Attributes","תכונות מוצר מותאמות אישית"
"- Disable these emails -","- השבת הודעות דוא&quot;ל אלה -"
"Give X points to customer","תן X נקודות ללקוח"
"Give X points for every spent Y","תן X נקודות עבור כל Y בילה"
"Give X points for every Z quantity","תן X נקודות עבור כל כמות Z"
"For every Y, give X points","עבור כל Y, לתת X נקודות"
Pending,"ממתין ל"
Approved,אושר
Discarded,מוּשׁלָך
"You do not have permissions to create transactions. Please contact your site administrator.","אין לך הרשאות ליצור עסקאות. צור קשר עם מנהל האתר שלך."
"%1 has been added.","%1 נוסף."
"%1 has been deducted.","%1 נוכה."
"You earned %1 and spent %2 for this order.","הרווחת את %1 והוצאת ________ עבור הזמנה זו."
"You spent %1 for this order.","בילית את %1 עבור הזמנה זו."
"You earned %1 for this order.","הרווחת %1 עבור הזמנה זו."
"Earned points will be enrolled to your account after we finish processing your order.","נקודות שנצברו יירשמו לחשבון שלך לאחר שנסיים לעבד את ההזמנה שלך."
"Rewards error occurred on the server. Please try to place the order again.","אירעה שגיאת Rewards בשרת. נסה שוב לבצע את ההזמנה."
"Earn at least %1 %2","להרוויח לפחות %1 %2"
"Reward Points","נקודות תגמול"
Edit,לַעֲרוֹך
Back,חזור
Delete,לִמְחוֹק
"Are you sure you want to do this?","האם אתה בטוח שברצונך לעשות זאת?"
Reset,אִתחוּל
"Save and Continue Edit","שמור והמשך עריכה"
Save,להציל
"Delete the record with ID ""${ $.$data.transaction_id }""","מחק את הרשומה במזהה &quot;$ {$. $ Data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","האם אתה בטוח שלא תמחק את הרשומה במזהה &quot;$ {$. $ Data.transaction_id}&quot;?"
"Points Summary","סיכום נקודות"
"To unsubscribe from points expiring notification click %1","כדי לבטל את הרישום לנקודות שפג תוקפן לחץ על %1"
"You have <b>%1</b> in your account.","יש לך <b>%1</b> בחשבון שלך."
"Transactions History","היסטוריית עסקאות"
ID,"תְעוּדַת זֶהוּת"
Comment,תגובה
Points,נקודות
Created,נוצר
Expires,יפוג
"There are no Transactions.","אין עסקאות."
"Pending Transactions","העברות בהמתנה"
Order,להזמין
Status,סטָטוּס
"Your points balance will expire in %1 days.","יתרת הנקודות שלך תפוג בעוד %1 ימים."
"Visit My Reward Points Section","בקר שלי נקודות תגמול סעיף"
"Login to earn %1 for sharing!","היכנס כדי להרוויח %1 לשיתוף!"
"Earn %1 for sharing!","להרוויח %1 לשיתוף!"
"Like this page and earn %1","כמו דף זה ולהרוויח %1"
Share,לַחֲלוֹק
"Share this page and earn %1","שתף דף זה ותרוויח %1"
"Plus this page and earn %1","בנוסף לדף זה ולהרוויח %1"
"Pin this page and earn %1","הצמד דף זה והרוויח %1"
"Refer Friends","הפנה חברים"
"Refer friend and earn %1. More friends more points!","הפנה חבר והרוויח %1. עוד חברים עוד נקודות!"
Tweet,צִיוּץ
"Tweet this page and earn %1","Tweet דף זה ולהרוויח %1"
"Check this out!","בדוק את זה!"
"You have <b>%1</b> available.","יש לך <b>%1</b> זמין."
"Enter amount of points to spend:","הזן כמות נקודות להוצאה:"
"Use maximum %1","השתמש ב- %1"
"Apply Points","החל נקודות"
Apply,"להגיש מועמדות"
"Cancel Points","נקודות ביטול"
Cancel,לְבַטֵל
"Use %1","השתמש ב- %1"
"You Earn","אתה מרוויח"
"You Spend","אתה מבלה"
"Discount amount","כמות ההנחה"
"Use Reward Points","השתמש נקודות תגמול"
"This is a required field","זהו שדה חובה"
"Subscription to Points Expiration Notification","מנוי להודעה על תפוגת נקודות"
"Earning %1","צובר %1"
"Buy to earn %1","קנה כדי להרוויח %1"
"You'll earn %1 for this item","תרוויח %1 עבור פריט זה"
"Share with Friends","לשתף עם חברים"
"Share the referral link in the social media and get points!","שתף את הקישור הפניה בתקשורת החברתית ולקבל נקודות!"
"Tweet on Twitter","ציוץ בטוויטר"
"Your referral link:","קישור ההפניה שלך:"
"Send Invitations","לשלוח הזמנות"
"Enter contacts of your friends to invite them.","הזן אנשי קשר של החברים שלך כדי להזמין אותם."
Name,שֵׁם
Message,הוֹדָעָה
Referrals,הפניות
"Referred by link","הופנה על ידי הקישור"
"There are no Referrals","אין הפניות"
"You have","יש לך"
available.,זמין.
"Use maximum","השתמש מקסימום"
"Enter amount of points to spend","הזן סכום של נקודות להוציא"
Use,להשתמש
"Notification Rules' messages","הודעות של הודעות הודעה"
Template,תבנית
"Notification Rule Template","תבנית כלל הודעות"
"My Referrals","הפניות שלי"
"Referrals List","רשימת הפניות"
today,היום
ago,לִפנֵי
"Cannot delete transaction with id %1","לא ניתן למחוק עסקה עם מזהה %1"
"Expires in","פג תוקף ב"
"How to earn","איך להרוויח"
"Spend points and receive discounts","לבלות נקודות ולקבל הנחות"
"Total number of referred friends: %1","סך כל החברים שהוזכרו: %1"
"Or you may send this link in your messages to anyone","לחלופין, באפשרותך לשלוח קישור זה להודעות שלך לכל אחד"
"Your Transactions","העסקאות שלך"
"My Points","הנקודות שלי"
"Share & Save","שתף ושמור"
History,הִיסטוֹרִיָה
"in %1 %2","ב- %1 %2"
"in %1 days","ב- %1 ימים"
"in %1 day",
"%1 %2 ago","%1 %2 לפני"
"%1 days ago","%1 לפני ימים"
"%1 day ago","%1 לפני יום"
"How to earn points","כיצד להרוויח נקודות"
"You have invited %1 friends","הזמנת את %1 חברים"
"Share the referral link in the social media","שתף את הקישור הפניה בתקשורת החברתית"
"You may send this link in your messages to anyone","באפשרותך לשלוח קישור זה להודעותיך לכל אחד"
"Page not found.","הדף לא נמצא."
"Customer tier up","הלקוח שכבת למעלה"
"Customer tier down","שכבת הלקוח למטה"
"sum of earned points","סכום הנקודות שנצברו"
"sum of spent %1","סכום השקיע %1"
"Customer does not assign to website","הלקוח אינו מקצה לאתר"
"Payment Method","אמצעי תשלום"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","שכבה זו מוקצית ל - %1 לקוחות (ים). אנא הקצה מחדש את הלקוח לשכבה אחרת."
"You Spend Points","אתה מבלה נקודות"
"Spend Amount","סכום ההוצאה"
"Spend Minimum Points","לבלות נקודות מינימום"
"Spend Maximum Points","לבלות נקודות מקסימליות"
"Cannot delete tier with id %1","לא ניתן למחוק את הרובד עם id %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","לא ניתן למצוא את השכבה עבור הלקוח &quot;%1&quot;. בדוק את תצורת הרובד."
"Customer Earning Style","סגנון הרווחים של הלקוח"
"Number of Points (X)","מספר הנקודות (X)"
"Step (Y)","שלב (Y)"
"In base currency","במטבע הבסיס"
"Quantity Step (Z)","שלב כמות (Z)"
