"My Reward Points","मेरा पुरस्कार अंक"
"Checkout now and earn <b>%1</b> for this order.","अब चेकआउट करें और इस आदेश के लिए <b>%1 कमाएं</b> ।"
"Applies only to registered customers, may vary when logged in.","केवल पंजीकृत ग्राहकों पर लागू होता है, लॉग इन होने पर भिन्न हो सकता है।"
"Possible discount %1 %2","संभावित छूट %1 %2"
"Earn %1 %2","%1 %2 कमाएं"
Grid,ग्रिड
List,सूची
All,सब
"Referral %1","रेफ़रल %1"
"Something went wrong while saving your subscription.","आपकी सदस्यता सहेजते समय कुछ गड़बड़ हुई।"
"We removed your subscription on expiring points notification.","हमने समाप्ति बिंदु अधिसूचना पर आपकी सदस्यता हटा दी है।"
"Cannot apply points.","अंक लागू नहीं कर सकते हैं।"
"You've earned %1 for Facebook Like!","आपने फेसबुक के लिए %1 अर्जित किया है!"
"You've earned %1 for Facebook Share!","आपने फेसबुक शेयर के लिए %1 अर्जित किया है!"
"Facebook Like Points has been canceled","फेसबुक की तरह अंक रद्द कर दिया गया है"
"You've earned %1 for Google+!","आपने Google+ के लिए %1 अर्जित किया है!"
"G+1 Points has been canceled","जी + 1 अंक रद्द कर दिए गए हैं"
"You've earned %1 for Pin!","आपने पिन के लिए %1 अर्जित किया है!"
"Invalid form key. Try again","अमान्य फॉर्म कुंजी पुनः प्रयास करें"
"Customer with email %1 has been already invited to our store","ईमेल %1 वाला ग्राहक पहले से ही हमारे स्टोर में आमंत्रित किया गया है"
"Your invitations were sent. Thanks!","आपके निमंत्रण भेजे गए थे। धन्यवाद!"
"You've earned %1 for Tweet!","आपने ट्वीट के लिए %1 अर्जित किया है!"
"You received %1 for signing up","साइन अप करने के लिए आपको %1 प्राप्त हुआ"
"You received %1 for sending this product","इस उत्पाद को भेजने के लिए आपको %1 प्राप्त हुआ"
"You received %1 for sign up for newsletter","न्यूजलेटर के लिए साइन अप के लिए आपको %1 प्राप्त हुआ"
"You received %1 for sign up for push notifications","पुश अधिसूचनाओं के लिए साइन अप के लिए आपको %1 प्राप्त हुआ"
"You will receive %1 after approving of this tag","इस टैग को मंजूरी मिलने के बाद आपको %1 प्राप्त होगा"
"You will receive %1 after approving of this review","इस समीक्षा को मंजूरी मिलने के बाद आपको %1 प्राप्त होगा"
"You received %1 for sign up of referral customer.","आपको रेफ़रल ग्राहक के साइन अप के लिए %1 प्राप्त हुआ।"
"You received %1 for order of referral customer.","रेफ़रल ग्राहक के आदेश के लिए आपको %1 प्राप्त हुआ।"
"Happy birthday! You received %1.","जन्मदिन की शुभकामनाएं! आपको %1 प्राप्त हुआ।"
"You received %1 for joining the affiliate program.","संबद्ध प्रोग्राम में शामिल होने के लिए आपको %1 प्राप्त हुआ।"
"%1 was applied.","%1 लागू किया गया था।"
"Minimum number is %1.","न्यूनतम संख्या %1 है।"
"Maximum number is %1.","अधिकतम संख्या %1 है।"
"%1 was canceled.","%1 रद्द कर दिया गया था।"
"Cannot apply %1.","%1 लागू नहीं कर सकता"
"You can use the following variables:","आप निम्न चर का उपयोग कर सकते हैं:"
Pattern,पैटर्न
"Attribute Value","मान बताइए"
Default,चूक
Integer,पूर्णांक
Price,मूल्य
"Strip Tags","पट्टी टैग"
"Primary Attributes","प्राथमिक गुण"
"Stock Attributes","स्टॉक गुण"
"Prices & Taxes","कीमतें और कर"
Images,इमेजिस
