"My Reward Points","Moje nagradne bodove"
"Checkout now and earn <b>%1</b> for this order.","Blagajni odmah i zaradite <b>%1</b> za ovu narudžbu."
"Applies only to registered customers, may vary when logged in.","Primjenjuje se samo na registrirane korisnike, mogu se razlikovati kada se prijavite."
"Possible discount %1 %2","Mogući popust %1 %2"
"Earn %1 %2","Zaradite %1 %2"
Grid,Rešetka
List,Popis
All,Svi
"Referral %1","Upućivanje %1"
"Something went wrong while saving your subscription.","Nešto je pošlo po zlu tijekom spremanja vaše pretplate."
"We removed your subscription on expiring points notification.","Uklonili smo vašu pretplatu na obavijest o istječivanju."
"Cannot apply points.","Nije moguće primijeniti bodove."
"You've earned %1 for Facebook Like!","Zaradili ste %1 za Facebook Like!"
"You've earned %1 for Facebook Share!","Zaradili ste %1 za Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points je otkazan"
"You've earned %1 for Google+!","Zaradili ste %1 za Google+!"
"G+1 Points has been canceled","G + 1 bodova je otkazana"
"You've earned %1 for Pin!","Zaradili ste %1 za Pin!"
"Invalid form key. Try again","Nevažeći ključ obrazaca. Pokušajte ponovo"
"Customer with email %1 has been already invited to our store","Korisnik s e-poštom %1 već je pozvan u našu trgovinu"
"Your invitations were sent. Thanks!","Vaše su pozivnice poslane. Hvala!"
"You've earned %1 for Tweet!","Zarađeni ste %1 za Tweet!"
"You received %1 for signing up","Primili ste %1 za prijavu"
"You received %1 for sending this product","Primili ste %1 za slanje ovog proizvoda"
"You received %1 for sign up for newsletter","Primili ste %1 za prijavu za newsletter"
"You received %1 for sign up for push notifications","Primili ste %1 da biste se prijavili za push obavijesti"
"You will receive %1 after approving of this tag","Dobit ćete %1 nakon odobrenja ove oznake"
"You will receive %1 after approving of this review","Dobit ćete %1 nakon odobrenja ove recenzije"
"You received %1 for sign up of referral customer.","Primili ste %1 za prijavu korisnika preporuke."
"You received %1 for order of referral customer.","Primili ste %1 po narudžbi klijenta za upućivanje."
"Happy birthday! You received %1.","Sretan rođendan! Primili ste %1."
"You received %1 for joining the affiliate program.","Primili ste %1 za pridruživanje affiliate programu."
"%1 were applied.","Primijenjen je %1."
"Minimum number is %1.","Minimalni broj je %1."
"Maximum number is %1.","Maksimalni broj je %1."
"%1 was canceled.","%1 je otkazan."
"Cannot apply %1.","Nije moguće primijeniti %1."
"You can use the following variables:","Možete koristiti sljedeće varijable:"
Pattern,Uzorak
"Attribute Value","Vrijednost atributa"
Default,Zadano
Integer,Integer
Price,Cijena
"Strip Tags","Oznake traka"
"Primary Attributes","Primarni atributi"
"Stock Attributes","Stock atributi"
"Prices & Taxes","Cijene i porezi"
Images,Slike
"Custom Attributes","Prilagođeni atributi"
Mapping,Kartografija
Category,Kategorija
"Amasty Meta Tags","Amasty Meta tagovi"
"Others Attributes","Ostali atributi"
Flexible,Fleksibilno
Fixed,Fiksni
"Customer signs up in store","Korisnik se prijavi u trgovini"
"Customer places order","Naručitelj kupuje mjesta"
"Customer refer a friend","Korisnik upućuje prijatelja"
"Customer adds tag to a product","Korisnik dodaje oznaku na proizvod"
"Customer writes a product review","Korisnik piše pregled proizvoda"
"Customer has a birthday","Klijent ima rođendan"
"Customer is inactive for long time","Klijent je dugo neaktivan"
"Newsletter sign up","Registrirajte se"
"Facebook Share","Facebook Dijeli"
"Facebook Like","Facebook kao"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ sviđa"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Korisnik se pridružuje partnerskom programu"
"Push Notifications sign up","Prijavite se za obavijesti o pushu"
"Referred customer signs up in store","Poznati kupci se upisuju u trgovinu"
"Order from referred customer","Narudžba od upućene kupca"
"Points to Currency","Ukazuje na valutu"
"Currency to Points","Valuta za bodove"
"Customer Account > My Reward Points","Račun klijenta&gt; Moji nagradni bodovi"
"Customer Account > My Referrals","Račun klijenta&gt; Moje preporuke"
"Cart Page",Košarica
"Message Sent","Poruka je poslana"
"Signed Up",Prijavljen
"Made Order","Made Order"
"Visited by Referral Link","Posjećeno je referalnom vezom"
"Subtotal + Tax","Subtotal + Tax"
"Subtotal + Tax + Shipping","Ukupna + Porez + Dostava"
"Product Rule","Pravilo proizvoda"
"Cart Rule","Pravilo košarice"
"Behavior Rule","Pravilo ponašanja"
"Transaction #%1 is expired","Transakcija #%1 istječe"
"Update the Product","Ažurirajte Proizvod"
"Is Rewards Points used","Koristi se Rewards Points"
"Coupon Used","Kupon koji se koristi"
"Coupon Code","Kôd kupona"
No,Ne
Yes,Da
"Conditions Combination","Uvjeti Kombinacija"
"Product attribute combination","Kombinacija atributa proizvoda"
"Products subselection","Pododjeljak proizvoda"
"Conditions combination","Kombinacija uvjeta"
"Cart Attribute","Atribut košarice"
Customer,Kupac
"Last 7-days Clicks","Posljednjih 7 dana klikova"
"Last 7-days Orders","Zadnja 7-dnevna narudžba"
"Last 7-days Revenue","Zadnjih 7 dana prihoda"
"Is Referee","Je sudac"
"Is Referral","Je preporuka"
Email,E-mail
Group,Skupina
"Lifetime Sales","Produljenje životnog vijeka"
"Lifetime Spent Points","Trajno istrošene bodove"
"Number of Orders","Broj narudžbi"
"Is subscriber of newsletter","Je pretplatnik na newsletter"
"Number of reviews","Broj recenzija"
"Number of referred friends signups","Broj prijavljenih prijatelja"
"Number of referred friends orders","Broj upućenih narudžbi prijatelja"
"Sum of referred friends orders","Zbroj upućenih narudžbi prijatelja"
"Number of referrals who ordered at least once","Broj preporuka koji su naredili barem jednom"
"Not registered","Nije registrirano"
"Attribute Set","Skup svojstava"
Quantity,Količina
"Product Type","Vrsta proizvoda"
"Base Image","Osnovna slika"
Thumbnail,Thumbnail
"Small Image","Mala slika"
"Base Image Size (bytes)","Veličina bazne slike (bajtova)"
"Thumbnail Size (bytes)","Veličina minijatura (bajtova)"
"Small Image Size (bytes)","Mala veličina slike (bajtova)"
"PHP Condition","PHP uvjet"
"Base Price","Osnovna cijena"
"Final Price","Konačna cijena"
"Special Price","Posebna cijena"
"Open Chooser","Otvori Birač"
"Referred: Group","Navedeno: Grupa"
"Referred: Lifetime Sales","Navedeno: produljenje životne dobi"
"Referred: Number of Orders","Navedeni: Broj naloga"
"Referred: Is subscriber of newsletter","Navedeni: Je li pretplatnik na newsletter"
"Referred: Number of reviews","Broj upita: Broj recenzija"
"Please specify a website.","Navedite web stranicu."
"Please specify a customer email.","Navedite e-adresu klijenta."
"We found an invalid value in a website column.","Pronašli smo nevažeću vrijednost u stupcu web mjesta."
"Please enter a valid email.","Unesite važeću e-poštu."
"Please make sure attribute ""%1"" is not empty.","Provjerite nije li atribut &quot;%1&quot; prazan."
"We can't find a customer who matches this email and website code.","Ne možemo pronaći klijenta koji odgovara ovom kodu e-pošte i web mjesta."
"-- Please Select --","-- Molimo izaberite --"
"Discount Used","Popust korišten"
"Custom Product Attributes","Atributi prilagođenih proizvoda"
"- Disable these emails -","- Onemogućite ove poruke e-pošte -"
"Give X points to customer","Dajte X bodova kupcu"
"Give X points for every spent Y","Dajte X bodova za svaki potrošeni Y"
"Give X points for every Z quantity","Dajte X bodova za svaku količinu Z"
"For every Y, give X points","Za svaki Y, dati X bodova"
Pending,"U tijeku"
Approved,Odobren
Discarded,Odbačena
"You do not have permissions to create transactions. Please contact your site administrator.","Nemate dopuštenja za stvaranje transakcija. Obratite se svom administratoru web sučelja."
"%1 has been added.","Dodan je %1."
"%1 has been deducted.","%1 je odbijen."
"You earned %1 and spent %2 for this order.","Zarađeni ste %1 i potrošili %2 za ovu narudžbu."
"You spent %1 for this order.","Proveli ste %1 za ovu narudžbu."
"You earned %1 for this order.","Dobili ste %1 za ovu narudžbu."
"Earned points will be enrolled to your account after we finish processing your order.","Zaradeni bodovi bit će upisani na vaš račun nakon što završimo obradu vaše narudžbe."
"Rewards error occurred on the server. Please try to place the order again.","Na poslužitelju je došlo do pogreške u nagradama. Pokušajte ponovo poslati narudžbu."
"Earn at least %1 %2","Zaradite najmanje %1 %2"
"Reward Points","Nagradni bodovi"
Edit,Uredi
Back,Leđa
Delete,Izbrisati
"Are you sure you want to do this?","Jeste li sigurni da želite to učiniti?"
Reset,Reset
"Save and Continue Edit","Spremite i nastavite uređivati"
Save,Uštedjeti
"Delete the record with ID ""${ $.$data.transaction_id }""","Brisanje zapisa s ID-om &quot;$ {$. $ Data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Jeste li sigurni da nećete izbrisati zapis s ID-om &quot;$ {$. $ Data.transaction_id}&quot;?"
"Points Summary","Sažetak bodova"
"To unsubscribe from points expiring notification click %1","Da biste otkazali pretplatu na obavijesti istekle točke kliknite %1"
"You have <b>%1</b> in your account.","Imate <b>%1</b> na svom računu."
"Transactions History","Povijest transakcija"
ID,Iskaznica
Comment,Komentar
Points,Točke
Created,Stvoren
Expires,Istječe
"There are no Transactions.","Nema transakcija."
"Pending Transactions","Transakcije na čekanju"
Order,Narudžba
Status,Status
"Your points balance will expire in %1 days.","Vaša bilanca bodova istječe za %1 dana."
"Visit My Reward Points Section","Posjetite odjeljak Moji nagradni bodovi"
"Login to earn %1 for sharing!","Prijavite se da biste ostvarili %1 za dijeljenje!"
"Earn %1 for sharing!","Zaradite %1 za dijeljenje!"
"Like this page and earn %1","Poput ove stranice i zaradite %1"
Share,Udio
"Share this page and earn %1","Dijelite ovu stranicu i zaradite %1"
"Plus this page and earn %1","Plus ovu stranicu i zaradite %1"
"Pin this page and earn %1","Prikvačite ovu stranicu i zaradite %1"
"Refer Friends","Upoznajte prijatelje"
"Refer friend and earn %1. More friends more points!","Pozovite prijatelja i zaradite %1. Više prijatelja više bodova!"
