"My Reward Points","Poin Hadiah Saya"
"Checkout now and earn <b>%1</b> for this order.","Checkout sekarang dan dapatkan <b>%1</b> untuk pesanan ini."
"Applies only to registered customers, may vary when logged in.","Hanya berlaku untuk pelanggan terdaftar, dapat bervariasi saat masuk."
"Possible discount %1 %2","Kemungkinan diskon %1 %2"
"Earn %1 %2","Hasilkan %1 %2"
Grid,Grid
List,Daftar
All,Semua
"Referral %1","Referral %1"
"Something went wrong while saving your subscription.","Terjadi kesalahan saat menyimpan langganan Anda."
"We removed your subscription on expiring points notification.","Kami menghapus langganan Anda saat pemberitahuan poin kedaluwarsa."
"Cannot apply points.","Tidak dapat menerapkan poin."
"You've earned %1 for Facebook Like!","Anda memperoleh %1 untuk Facebook Like!"
"You've earned %1 for Facebook Share!","Anda memperoleh %1 untuk Berbagi Facebook!"
"Facebook Like Points has been canceled","Facebook Like Points telah dibatalkan"
"You've earned %1 for Google+!","Anda memperoleh %1 untuk Google+!"
"G+1 Points has been canceled","Poin G + 1 telah dibatalkan"
"You've earned %1 for Pin!","Anda memperoleh %1 untuk Pin!"
"Invalid form key. Try again","Kunci formulir tidak valid. Coba lagi"
"Customer with email %1 has been already invited to our store","Pelanggan dengan email %1 telah diundang ke toko kami"
"Your invitations were sent. Thanks!","Undangan Anda telah dikirim. Terima kasih!"
"You've earned %1 for Tweet!","Anda memperoleh %1 untuk Tweet!"
"You received %1 for signing up","Anda menerima %1 untuk mendaftar"
"You received %1 for sending this product","Anda menerima %1 untuk mengirim produk ini"
"You received %1 for sign up for newsletter","Anda menerima %1 untuk mendaftar buletin"
"You received %1 for sign up for push notifications","Anda menerima %1 untuk mendaftar untuk notifikasi push"
"You will receive %1 after approving of this tag","Anda akan menerima %1 setelah menyetujui tag ini"
"You will receive %1 after approving of this review","Anda akan menerima %1 setelah menyetujui ulasan ini"
"You received %1 for sign up of referral customer.","Anda menerima %1 untuk mendaftar pelanggan rujukan."
"You received %1 for order of referral customer.","Anda menerima %1 untuk pesanan pelanggan rujukan."
"Happy birthday! You received %1.","Selamat ulang tahun! Anda menerima %1."
"You received %1 for joining the affiliate program.","Anda menerima %1 untuk bergabung dengan program afiliasi."
"%1 were applied.","%1 telah diterapkan."
"Minimum number is %1.","Jumlah minimum adalah %1."
"Maximum number is %1.","Jumlah maksimum adalah %1."
"%1 was canceled.","%1 dibatalkan."
"Cannot apply %1.","Tidak dapat menerapkan %1."
"You can use the following variables:","Anda dapat menggunakan variabel berikut:"
Pattern,Pola
"Attribute Value","Nilai Atribut"
Default,Default
Integer,"Bilangan bulat"
Price,Harga
"Strip Tags","Strip Tag"
"Primary Attributes","Atribut Utama"
"Stock Attributes","Atribut Stock"
"Prices & Taxes","Harga &amp; Pajak"
Images,Gambar
"Custom Attributes","Atribut Khusus"
Mapping,Pemetaan
Category,Kategori
"Amasty Meta Tags","Tag Meta Amat"
"Others Attributes","Atribut Lainnya"
Flexible,Fleksibel
Fixed,Tetap
"Customer signs up in store","Pelanggan mendaftar di toko"
"Customer places order","Pesanan tempat pelanggan"
"Customer refer a friend","Pelanggan merujuk seorang teman"
"Customer adds tag to a product","Pelanggan menambahkan tag ke suatu produk"
"Customer writes a product review","Pelanggan menulis ulasan produk"
"Customer has a birthday","Pelanggan berulang tahun"
"Customer is inactive for long time","Pelanggan tidak aktif untuk waktu lama"
"Newsletter sign up","Pendaftaran buletin"
"Facebook Share","Facebook Share"
"Facebook Like","Facebook suka"
"Twitter Tweet","Tweet Twitter"
"Google+ Like","Suka Google"
"Pinterest Pin","Pin Pinterest"
"Customer joins the affiliate program","Pelanggan bergabung dengan program afiliasi"
"Push Notifications sign up","Dorong Pemberitahuan mendaftar"
"Referred customer signs up in store","Pelanggan yang dirujuk mendaftar di toko"
"Order from referred customer","Pesan dari pelanggan yang dirujuk"
"Points to Currency","Poin ke Mata Uang"
