"My Reward Points","Verðlaunapunktur minn"
"Checkout now and earn <b>%1</b> for this order.","<b>Kassa</b> núna og fáðu <b>%1</b> fyrir þessa pöntun."
"Applies only to registered customers, may vary when logged in.","Gildir aðeins til skráða viðskiptavina, getur verið breytileg þegar innskráður er."
"Possible discount %1 %2","Möguleg afsláttur %1 %2"
"Earn %1 %2","Aflaðu %1 %2"
Grid,Rist
List,Listi
All,Allt
"Referral %1","Tilvísun %1"
"Something went wrong while saving your subscription.","Eitthvað fór úrskeiðis meðan áskriftin var vistuð."
"We removed your subscription on expiring points notification.","Við fjarlægðum áskriftina þína þegar tilkynningin lýkur."
"Cannot apply points.","Ekki er hægt að sækja um stig."
"You've earned %1 for Facebook Like!","Þú hefur unnið %1 fyrir Facebook Eins!"
"You've earned %1 for Facebook Share!","Þú hefur unnið %1 fyrir Facebook Share!"
"Facebook Like Points has been canceled","Facebook Eins og stig hefur verið lokað"
"You've earned %1 for Google+!","Þú hefur unnið %1 fyrir Google+!"
"G+1 Points has been canceled","G + 1 stig hefur verið lokað"
"You've earned %1 for Pin!","Þú hefur unnið %1 fyrir pinna!"
"Invalid form key. Try again","Ógild formakóði. Reyndu aftur"
"Customer with email %1 has been already invited to our store","Viðskiptavinur með tölvupósti %1 hefur þegar verið boðið í verslun okkar"
"Your invitations were sent. Thanks!","Boðin þín voru send. Takk!"
"You've earned %1 for Tweet!","Þú hefur unnið %1 fyrir Tweet!"
"You received %1 for signing up","Þú fékkst %1 til að skrá þig"
"You received %1 for sending this product","Þú fékkst %1 til að senda þessa vöru"
"You received %1 for sign up for newsletter","Þú fékkst %1 til að skrá þig fyrir fréttabréf"
"You received %1 for sign up for push notifications","Þú fékkst %1 til að skrá þig fyrir tilkynningar um ýta"
"You will receive %1 after approving of this tag","Þú færð %1 eftir að hafa samþykkt þetta merki"
"You will receive %1 after approving of this review","Þú færð %1 eftir samþykki þessa endurskoðunar"
"You received %1 for sign up of referral customer.","Þú fékkst %1 til að skrá þig á tilvísun viðskiptavinar."
"You received %1 for order of referral customer.","Þú fékkst %1 fyrir pöntun tilvísunar viðskiptavinar."
"Happy birthday! You received %1.","Til hamingju með afmælið! Þú fékkst %1."
"You received %1 for joining the affiliate program.","Þú fékkst %1 til að taka þátt í samstarfsverkefninu."
"%1 were applied.","%1 var beitt."
"Minimum number is %1.","Lágmarksnúmer er %1."
"Maximum number is %1.","Hámarksfjöldi er %1."
"%1 was canceled.","%1 var lokað."
"Cannot apply %1.","Get ekki sótt %1."
"You can use the following variables:","Þú getur notað eftirfarandi breytur:"
Pattern,Mynstur
"Attribute Value","Attribute Value"
Default,Sjálfgefið
Integer,Heiltala
Price,Verð
"Strip Tags","Strip Tags"
"Primary Attributes","Helstu eiginleikar"
"Stock Attributes",Hlutabréf
"Prices & Taxes","Verð og skattar"
Images,Myndir
"Custom Attributes","Sérsniðin eiginleiki"
Mapping,Kortlagning
Category,Flokkur
"Amasty Meta Tags","Amasty Meta Tags"
"Others Attributes","Aðrir eiginleikar"
Flexible,Sveigjanlegur
Fixed,Fastur
"Customer signs up in store","Viðskiptavinur skilar sér í verslun"
"Customer places order","Viðskiptavinur leggur til pöntun"
"Customer refer a friend","Viðskiptavinur vísar til vinar"
"Customer adds tag to a product","Viðskiptavinur bætir merkjum við vöru"
"Customer writes a product review","Viðskiptavinur skrifar vöruúrval"
"Customer has a birthday","Viðskiptavinur hefur afmæli"
"Customer is inactive for long time","Viðskiptavinur er óvirkt í langan tíma"
"Newsletter sign up","Fréttabréf Skráðu þig inn"
"Facebook Share","Facebook Share"
"Facebook Like","Facebook Eins"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ Eins"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Viðskiptavinur tengir samstarfsverkefnið"
"Push Notifications sign up","Þrýstu tilkynningar um skráningu"
"Referred customer signs up in store","Tilvísun viðskiptavina skilti í verslun"
"Order from referred customer","Pöntun frá vísað viðskiptavini"
"Points to Currency","Bendir á gjaldmiðil"
"Currency to Points","Gjaldmiðill til punkta"
"Customer Account > My Reward Points","Viðskiptavinur reikningur&gt; verðlaunapunktur minn"
"Customer Account > My Referrals","Viðskiptavinur reikningur&gt; Tilvísanir mínar"
"Cart Page",Körfubolti
"Message Sent","Skilaboð send"
"Signed Up",Skráður
"Made Order","Made Order"
"Visited by Referral Link","Heimsótt með tilvísun hlekkur"
"Subtotal + Tax","Hlutfall + Skattur"
"Subtotal + Tax + Shipping","Heildarkostnaður + Skattur + Shipping"
"Product Rule","Vara regla"
"Cart Rule","Cart Regla"
"Behavior Rule",Hegðunarregla
"Transaction #%1 is expired","Viðskipti #%1 er liðinn"
"Update the Product","Uppfæra vöruna"
"Is Rewards Points used","Er verðlaunapunktur notaður"
"Coupon Used","Afsláttarmiða notað"
"Coupon Code",Afsláttarkóði
No,Nr
Yes,Já
"Conditions Combination","Skilyrði Samsetning"
"Product attribute combination","Vara eiginleiki samsetning"
"Products subselection","Vörur undirval"
"Conditions combination","Skilyrði samsetning"
"Cart Attribute","Körfu eiginleiki"
