"My Reward Points","I miei punti premio"
"Checkout now and earn <b>%1</b> for this order.","Acquista ora e guadagna <b>%1</b> per questo ordine."
"Applies only to registered customers, may vary when logged in.","Si applica solo ai clienti registrati, può variare in base al login."
"Possible discount %1 %2","Possibile sconto %1 %2"
"Earn %1 %2","Guadagna %1 %2"
Grid,Griglia
List,Elenco
All,Tutti
"Referral %1","Referral %1"
"Something went wrong while saving your subscription.","Qualcosa è andato storto durante il salvataggio dell&#39;abbonamento."
"We removed your subscription on expiring points notification.","Abbiamo rimosso la tua iscrizione alla notifica dei punti in scadenza."
"Cannot apply points.","Non è possibile applicare punti."
"You've earned %1 for Facebook Like!","Ti sei guadagnato %1 per Facebook Mi piace!"
"You've earned %1 for Facebook Share!","Hai guadagnato %1 per la condivisione di Facebook!"
"Facebook Like Points has been canceled","Facebook Like Points è stato cancellato"
"You've earned %1 for Google+!","Hai guadagnato %1 per Google+!"
"G+1 Points has been canceled","G + 1 punti è stato annullato"
"You've earned %1 for Pin!","Hai guadagnato %1 per Pin!"
"Invalid form key. Try again","Chiave del modulo non valida. Riprova"
"Customer with email %1 has been already invited to our store","Il cliente con email %1 è già stato invitato nel nostro negozio"
"Your invitations were sent. Thanks!","I tuoi inviti sono stati inviati. Grazie!"
"You've earned %1 for Tweet!","Hai guadagnato %1 per Tweet!"
"You received %1 for signing up","Hai ricevuto %1 per la registrazione"
"You received %1 for sending this product","Hai ricevuto %1 per aver inviato questo prodotto"
"You received %1 for sign up for newsletter","Hai ricevuto %1 per iscriverti alla newsletter"
"You received %1 for sign up for push notifications","Hai ricevuto %1 per iscriverti alle notifiche push"
"You will receive %1 after approving of this tag","Riceverai %1 dopo l&#39;approvazione di questo tag"
"You will receive %1 after approving of this review","Riceverai %1 dopo aver approvato questa recensione"
"You received %1 for sign up of referral customer.","Hai ricevuto %1 per la registrazione del cliente referral."
"You received %1 for order of referral customer.","Hai ricevuto %1 per ordine del cliente referente."
"Happy birthday! You received %1.","Buon compleanno! Hai ricevuto %1."
"You received %1 for joining the affiliate program.","Hai ricevuto %1 per aver aderito al programma di affiliazione."
"%1 were applied.","%1 è stato applicato."
"Minimum number is %1.","Il numero minimo è %1."
"Maximum number is %1.","Il numero massimo è %1."
"%1 was canceled.","%1 è stato annullato."
"Cannot apply %1.","Impossibile applicare %1."
"You can use the following variables:","È possibile utilizzare le seguenti variabili:"
Pattern,Modello
"Attribute Value","Valore attributo"
Default,Predefinito
Integer,"Numero intero"
Price,Prezzo
"Strip Tags","Tag delle strisce"
"Primary Attributes","Attributi primari"
"Stock Attributes","Attributi azionari"
"Prices & Taxes","Prezzi e tasse"
Images,Immagini
"Custom Attributes","Attributi personalizzati"
Mapping,Mappatura
Category,Categoria
"Amasty Meta Tags","Meta tag Amasty"
"Others Attributes","Altri attributi"
Flexible,Flessibile
Fixed,Fisso
"Customer signs up in store","Il cliente si iscrive nel negozio"
"Customer places order","Il cliente effettua l&#39;ordine"
"Customer refer a friend","Il cliente invia un amico"
"Customer adds tag to a product","Il cliente aggiunge un tag a un prodotto"
"Customer writes a product review","Il cliente scrive una recensione del prodotto"
