"My Reward Points",私の報酬ポイント
"Checkout now and earn <b>%1</b> for this order.","今すぐチェックアウトし、この注文に対して<b>%1</b>を獲得して<b>ください</b> 。"
"Applies only to registered customers, may vary when logged in.",登録済みのお客様のみに適用され、ログイン時に変更される場合があります。
"Possible discount %1 %2","可能な割引%1 %2"
"Earn %1 %2","%1 %2を獲得してください"
Grid,グリッド
List,リスト
All,すべて
"Referral %1",紹介%1
"Something went wrong while saving your subscription.",定期購入の保存中に問題が発生しました。
"We removed your subscription on expiring points notification.",有効期限が切れた時点で登録が解除されました。
"Cannot apply points.",ポイントを適用できません。
"You've earned %1 for Facebook Like!","あなたはFacebook Likeのために%1を獲得しました！"
"You've earned %1 for Facebook Share!","あなたはFacebook Shareのために%1を獲得しました！"
"Facebook Like Points has been canceled","Facebook Like Pointsがキャンセルされました"
"You've earned %1 for Google+!",Google+で%1を獲得しました。
"G+1 Points has been canceled","G + 1点がキャンセルされました"
"You've earned %1 for Pin!",ピンのために%1を獲得しました！
"Invalid form key. Try again",フォームキーが無効です。再試行する
"Customer with email %1 has been already invited to our store",電子メール%1のお客様は、すでに当店に招待されています
"Your invitations were sent. Thanks!",あなたの招待状が送られました。ありがとう！
"You've earned %1 for Tweet!",あなたはTweetのために%1を獲得しました！
"You received %1 for signing up",あなたはサインアップのために%1を受け取りました
"You received %1 for sending this product",この製品を送るために%1を受け取った
"You received %1 for sign up for newsletter",ニュースレターのサインアップのために%1を受け取った
"You received %1 for sign up for push notifications",プッシュ通知にサインアップするために%1を受け取った
"You will receive %1 after approving of this tag",このタグを承認した後、%1が届きます
"You will receive %1 after approving of this review",あなたはこのレビューを承認した後に%1を受け取ります
"You received %1 for sign up of referral customer.",紹介顧客のサインアップのために%1を受け取りました。
"You received %1 for order of referral customer.",紹介顧客の注文には%1を受け取りました。
"Happy birthday! You received %1.",お誕生日おめでとうございます！あなたは%1を受け取りました。
"You received %1 for joining the affiliate program.",あなたはアフィリエイトプログラムに参加するために%1を受け取りました。
"%1 was applied.",%1が適用されました。
"Minimum number is %1.",最小数は%1です。
"Maximum number is %1.",最大数は%1です。
"%1 was canceled.",%1はキャンセルされました。
"Cannot apply %1.",%1は適用できません。
"You can use the following variables:",次の変数を使用できます。
Pattern,パターン
"Attribute Value",属性値
Default,デフォルト
Integer,整数
Price,価格
"Strip Tags",ストリップタグ
"Primary Attributes",主属性
"Stock Attributes",在庫属性
"Prices & Taxes",価格と税金
Images,イメージ
"Custom Attributes",カスタム属性
Mapping,マッピング
Category,カテゴリー
"Amasty Meta Tags",アマチュアメタタグ
"Others Attributes",その他の属性
Flexible,フレキシブル
Fixed,一定
"Customer signs up in store",顧客は店頭にサインアップする
"Customer places order",顧客の注文
"Customer refer a friend",顧客が友人を紹介する
"Customer adds tag to a product",顧客が製品にタグを追加する
"Customer writes a product review",顧客が製品レビューを書く
"Customer has a birthday",お客様に誕生日があります
"Customer is inactive for long time",顧客は長い間不活性である
"Newsletter sign up",ニュースレターの登録
"Facebook Share",Facebookでシェア
"Facebook Like",Facebookのような
"Twitter Tweet","Twitter Tweet"
"Google+ Like",Google+のような
"Pinterest Pin",ピンピン
"Customer joins the affiliate program",顧客がアフィリエイトプログラムに参加する
"Push Notifications sign up",プッシュ通知がサインアップする
"Referred customer signs up in store",紹介された顧客は店頭にサインアップする
"Order from referred customer",紹介された顧客からの注文
"Points to Currency",通貨へのポイント
"Currency to Points",ポイントへの通貨
"Customer Account > My Reward Points",カスタマーアカウント&gt;私の報酬ポイント
"Customer Account > My Referrals",顧客アカウント&gt;私の紹介
"Cart Page",カートページ
"Message Sent",メッセージが送信されました
"Signed Up",サインアップ
"Made Order",注文
"Visited by Referral Link",紹介リンクにアクセスしました
"Subtotal + Tax",小計+税
"Subtotal + Tax + Shipping",小計+税+送料
"Product Rule",プロダクトルール
"Cart Rule",カートルール
"Behavior Rule",行動規則
"Transaction #%1 is expired",トランザクション＃%1は期限切れです
"Update the Product",製品のアップデート
"Is Rewards Points used",リワードポイントは使用されていますか？
"Coupon Used",使用されたクーポン
"Coupon Code",クーポンコード
No,いいえ
Yes,はい
"Conditions Combination",条件の組み合わせ
"Product attribute combination",商品属性の組み合わせ
"Products subselection",製品の副選択
"Conditions combination",条件の組み合わせ
"Cart Attribute",カートの属性
Customer,顧客
"Last 7-days Clicks",過去7日間のクリック数
"Last 7-days Orders",過去7日間の注文
"Last 7-days Revenue",過去7日間の収入
"Is Referee",審判です
"Is Referral",紹介
Email,Eメール
Group,グループ
"Lifetime Sales",生涯販売
"Lifetime Spent Points",有効期限
"Number of Orders",注文数
"Is subscriber of newsletter",ニュースレターの購読者です
"Number of reviews",レビュー数
"Number of referred friends signups",参照された友人の登録数
"Number of referred friends orders",参照された友人の注文数
"Sum of referred friends orders",参照された友人の注文の合計
"Number of referrals who ordered at least once",1回以上注文した紹介者の数
"Not registered",未登録
"Attribute Set",属性セット
Quantity,量
"Product Type",製品の種類
"Base Image",ベースイメージ
Thumbnail,サムネイル
"Small Image",小さな画像
"Base Image Size (bytes)",基本イメージサイズ（バイト）
"Thumbnail Size (bytes)",サムネイルサイズ（バイト）
"Small Image Size (bytes)",小さい画像サイズ（バイト）
"PHP Condition",PHPの条件
"Base Price",本体価格
"Final Price",最終価格
"Special Price",特別価格
"Open Chooser",オープンセレクタ
"Referred: Group",参照先：グループ
"Referred: Lifetime Sales",紹介：生涯販売
"Referred: Number of Orders",紹介：注文数
"Referred: Is subscriber of newsletter",紹介：ニュースレターの購読者です
"Referred: Number of reviews",紹介：レビュー数
"Please specify a website.",ウェブサイトを指定してください。
"Please specify a customer email.",顧客のメールアドレスを指定してください。
"We found an invalid value in a website column.",ウェブサイトの列に無効な値が見つかりました。
"Please enter a valid email.",正しいメールアドレスを入力してください。
"Please make sure attribute ""%1"" is not empty.","属性 &quot;%1&quot;が空でないことを確認してください。"
"We can't find a customer who matches this email and website code.",このメールとウェブサイトのコードに一致する顧客は見つかりません。
"-- Please Select --","-  選んでください  -"
"Discount Used",割引使用
