"My Reward Points","ჩემი საჩუქრების ქულები"
"Checkout now and earn <b>%1</b> for this order.","ახლა <b>შეამოწმეთ</b> და <b>შეავსოთ %1</b> ამ მიზნით."
"Applies only to registered customers, may vary when logged in.","ვრცელდება მხოლოდ დარეგისტრირებულ მომხმარებელს, შეიძლება შეიცვალოს შესვლისას."
"Possible discount %1 %2","შესაძლო ფასდაკლება %1 %2"
"Earn %1 %2","იშოვე %1 %2"
Grid,ბადე
List,სია
All,ყველა
"Referral %1","რეფერალური %1"
"Something went wrong while saving your subscription.","თქვენი გამოწერის შენახვისას რაღაც შეცდომა მოხდა."
"We removed your subscription on expiring points notification.","ჩვენ გათიშეთ ქულების გაფრთხილების შესახებ თქვენი გამოწერა."
"Cannot apply points.","ვერ გამოიყენებს ქულას."
"You've earned %1 for Facebook Like!","Facebook- ისთვის ______"
"You've earned %1 for Facebook Share!","თქვენ Facebook- ის გაზიარებისთვის %1"
"Facebook Like Points has been canceled","Facebook Like პუნქტები გაუქმდა"
"You've earned %1 for Google+!","Google+- ისთვის _____"
"G+1 Points has been canceled","G + 1 ქულა გაუქმდა"
"You've earned %1 for Pin!","თქვენ დააგროვეთ %1- ისთვის Pin!"
"Invalid form key. Try again","არასწორი ფორმა გასაღები. კიდევ სცადე"
"Customer with email %1 has been already invited to our store","მომხმარებელმა ელ-ფოსტით ______ უკვე მოიწვია ჩვენი მაღაზია"
"Your invitations were sent. Thanks!","თქვენი მოსაწვევები გაიგზავნა. მადლობა!"
"You've earned %1 for Tweet!","თქვენ მიიღეთ %1- ისთვის Tweet!"
"You received %1 for signing up","ხელმოწერისთვის _____"
"You received %1 for sending this product","ამ პროდუქტის გაგზავნისთვის _____ მიიღეთ"
"You received %1 for sign up for newsletter","საინფორმაციო ბიულეტენისთვის დარეგისტრირდით %1"
"You received %1 for sign up for push notifications","თქვენ მიიღებთ ღილაკს Push შეტყობინებების რეგისტრაციისთვის %1"
"You will receive %1 after approving of this tag","ამ ტეგის დამტკიცების შემდეგ თქვენ მიიღებთ %1"
"You will receive %1 after approving of this review","ამ მიმოხილვის დამტკიცების შემდეგ თქვენ მიიღებთ %1"
"You received %1 for sign up of referral customer.","თქვენ მიიღეთ რეფერალური აბონენტის რეგისტრაციისთვის %1."
"You received %1 for order of referral customer.","თქვენ მივიღეთ %1 რეფერალური მომხმარებლისთვის."
"Happy birthday! You received %1.","გილოცავ დაბადების დღეს! თქვენ მიიღეთ %1."
"You received %1 for joining the affiliate program.","თქვენ მიიღეთ %1 შვილობილი პროგრამის გაწევრიანებისათვის."
"%1 was applied.","%1 გამოყენებული იქნა."
"Minimum number is %1.","მინიმალური რიცხვი %1."
"Maximum number is %1.","მაქსიმალური რაოდენობა _____."
"%1 was canceled.","%1 გაუქმდა."
"Cannot apply %1.","_____ არ გამოიყენება."
"You can use the following variables:","თქვენ შეგიძლიათ გამოიყენოთ შემდეგი ცვლადები:"
Pattern,ნიმუში
"Attribute Value","ატრიბუტის ღირებულება"
Default,ნაგულისხმები
Integer,რიცხვი
Price,ფასი
"Strip Tags","Strip Tags"
"Primary Attributes","პირველადი ატრიბუტები"
"Stock Attributes","საფონდო ატრიბუტები"
"Prices & Taxes","ფასები და გადასახადები"
Images,სურათები
"Custom Attributes","საბაჟო ატრიბუტები"
Mapping,"რუკების შედგენა"
Category,კატეგორია
"Amasty Meta Tags","Amasty Meta Tags"
"Others Attributes","სხვა ატრიბუტები"
Flexible,მოქნილი
Fixed,ფიქსირებული
"Customer signs up in store","კლიენტი ხელს აწერს მაღაზიაში"
"Customer places order","დამკვეთი შეკვეთა"
"Customer refer a friend","დამსაქმებელი ეხება მეგობარს"
"Customer adds tag to a product","მომხმარებელმა დასამატებელი პროდუქტი"
"Customer writes a product review","მომხმარებელს წერს პროდუქტის მიმოხილვა"
"Customer has a birthday","მომხმარებელს აქვს დაბადების დღე"
"Customer is inactive for long time","კლიენტი უმოქმედოა"
"Newsletter sign up","ახალი ამბების გამოსაწერი რეგისტრაცია"
"Facebook Share","Facebook გაზიარება"
"Facebook Like","Facebook Like"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ მსგავსად"
"Pinterest Pin","Pinterest Pin"
