"My Reward Points","나의 보상 포인트"
"Checkout now and earn <b>%1</b> for this order.","지금 주문하고이 주문에 대해 <b>%1을 (</b> 를) 얻으 <b>십시오</b> ."
"Applies only to registered customers, may vary when logged in.","등록 고객에만 적용되며, 로그인시 다를 수 있습니다."
"Possible discount %1 %2","가능한 할인 %1 %2"
"Earn %1 %2","%1 %2을 (를) 얻으십시오."
Grid,그리드
List,명부
All,모든
"Referral %1","추천 %1"
"Something went wrong while saving your subscription.","구독을 저장하는 동안 문제가 발생했습니다."
"We removed your subscription on expiring points notification.","유효 기간 만료 알림 메시지가 삭제되었습니다."
"Cannot apply points.","포인트를 적용 할 수 없습니다."
"You've earned %1 for Facebook Like!","페이스 북처럼 %1을 (를) 얻었습니다!"
"You've earned %1 for Facebook Share!","페이스 북 공유를 위해 %1을 (를) 얻었습니다!"
"Facebook Like Points has been canceled","Facebook Like Points가 취소되었습니다."
"You've earned %1 for Google+!","Google+에 %1을 (를) 얻었습니다."
"G+1 Points has been canceled","G + 1 포인트가 취소되었습니다."
"You've earned %1 for Pin!","Pin에 %1을 (를) 얻었습니다!"
"Invalid form key. Try again","양식 키가 잘못되었습니다. 다시 시도하십시오."
"Customer with email %1 has been already invited to our store","%1 이메일을 소지 한 고객은 이미 Google 스토어에 초대되었습니다."
"Your invitations were sent. Thanks!","초대장이 발송되었습니다. 감사!"
"You've earned %1 for Tweet!","Tweet에 %1을 (를) 얻었습니다!"
"You received %1 for signing up","가입을 위해 %1을 (를) 받았습니다."
"You received %1 for sending this product","이 제품을 발송하기 위해 %1을 받았습니다."
"You received %1 for sign up for newsletter","뉴스 레터 가입을 위해 %1을 (를) 받으 셨습니다."
"You received %1 for sign up for push notifications","푸시 알림 신청에 %1을 (를) 받았습니다."
"You will receive %1 after approving of this tag","이 태그를 승인 한 후 %1을 (를) 받게됩니다."
"You will receive %1 after approving of this review","이 리뷰를 승인 한 후 %1을 (를) 받게됩니다."
"You received %1 for sign up of referral customer.","추천 고객 가입을 위해 %1을 (를) 받으 셨습니다."
"You received %1 for order of referral customer.","추천 고객의 주문에 대해 %1을 (를) 받았습니다."
"Happy birthday! You received %1.","생일 축하! 당신은 %1을 받았습니다."
"You received %1 for joining the affiliate program.","제휴 프로그램 가입을 위해 %1을 (를) 받았습니다."
"%1 were applied.","%1이 적용되었습니다."
"Minimum number is %1.","최소 번호는 %1입니다."
"Maximum number is %1.","최대 수는 %1입니다."
"%1 was canceled.","%1이 취소되었습니다."
"Cannot apply %1.","%1을 (를) 적용 할 수 없습니다."
"You can use the following variables:","다음 변수를 사용할 수 있습니다."
Pattern,무늬
"Attribute Value","속성 값"
Default,태만
Integer,정수
Price,가격
"Strip Tags","스트립 태그"
"Primary Attributes","주요 속성"
"Stock Attributes","재고 속성"
"Prices & Taxes","가격 및 세금"
Images,이미지
"Custom Attributes","사용자 지정 특성"
Mapping,매핑
Category,범주
"Amasty Meta Tags","Amasty Meta Tags"
"Others Attributes","기타 속성"
Flexible,"융통성 있는"
Fixed,결정된
"Customer signs up in store","고객이 상점에 등록합니다."
"Customer places order","고객 주문"
"Customer refer a friend","고객이 친구를 추천합니다."
"Customer adds tag to a product","고객이 제품에 태그 추가"
"Customer writes a product review","고객이 제품 리뷰를 씁니다."
"Customer has a birthday","고객이 생일을 맞았습니다."
"Customer is inactive for long time","고객이 오랫동안 사용하지 않음"
"Newsletter sign up","뉴스 레터 가입"
"Facebook Share","페이스 북에 공유"
"Facebook Like","페이스 북처럼"
"Twitter Tweet","트위터 트위터"
"Google+ Like",Google+처럼
"Pinterest Pin","핀 핀"
"Customer joins the affiliate program","고객이 제휴 프로그램에 참여합니다."
"Push Notifications sign up","푸시 알림 가입"
"Referred customer signs up in store","추천 고객이 상점에 등록"
"Order from referred customer","추천 고객의 주문"
"Points to Currency","통화 포인트"
"Currency to Points","포인트와 통화"
"Customer Account > My Reward Points","고객 계정&gt; 나의 보상 포인트"
"Customer Account > My Referrals","고객 계정&gt; 내 추천"
"Cart Page","장바구니 페이지"
"Message Sent","메시지 전송 됨"
"Signed Up",가입
"Made Order","주문 제작"
"Visited by Referral Link","추천 링크 방문"
"Subtotal + Tax","소계 + 세금"
"Subtotal + Tax + Shipping","소계 + 세금 + 배송"
"Product Rule","제품 규칙"
"Cart Rule","장바구니 규칙"
"Behavior Rule","행동 규칙"
"Transaction #%1 is expired","거래 # %1이 (가) 만료되었습니다."
"Update the Product","제품 업데이트"
"Is Rewards Points used","리워드 포인트 사용"
"Coupon Used","사용 된 쿠폰"
"Coupon Code","쿠폰 코드"
No,아니
Yes,예
"Conditions Combination","조건 조합"
"Product attribute combination","제품 속성 조합"
"Products subselection","제품 세부 선택"
"Conditions combination","조건 조합"
"Cart Attribute","장바구니 속성"
Customer,고객
"Last 7-days Clicks","지난 7 일간의 클릭 수"
"Last 7-days Orders","지난 7 일 주문"
"Last 7-days Revenue","최근 7 일 수익"
"Is Referee",심판은
"Is Referral",추천
Email,이메일
Group,그룹
"Lifetime Sales","평생 판매"
"Lifetime Spent Points","평생 소비 포인트"
"Number of Orders","주문 수"
"Is subscriber of newsletter","뉴스 레터 가입자"
"Number of reviews","리뷰 수"
"Number of referred friends signups","추천 된 친구 신청 수"
"Number of referred friends orders","추천 된 친구 주문 수"
"Sum of referred friends orders","추천 된 친구 주문 수의 합계"
"Number of referrals who ordered at least once","한 번 이상 주문한 추천 수"
"Not registered","등록되지 않은"
"Attribute Set","속성 집합"
Quantity,수량
"Product Type","상품 유형"
"Base Image","기본 이미지"
Thumbnail,"미리보기 이미지"
"Small Image","작은 이미지"
"Base Image Size (bytes)","기본 이미지 크기 (바이트)"
"Thumbnail Size (bytes)","미리보기 이미지 크기 (바이트)"
"Small Image Size (bytes)","작은 이미지 크기 (바이트)"
"PHP Condition","PHP 조건"
"Base Price","기본 가격"
"Final Price","최종 가격"
"Special Price",특별가
"Open Chooser","열린 선택자"
"Referred: Group","추천 그룹 : 그룹"
"Referred: Lifetime Sales","추천 됨 : 평생 판매"
"Referred: Number of Orders","추천 항목 : 주문 수"
"Referred: Is subscriber of newsletter","추천 : 뉴스 레터 가입자"
"Referred: Number of reviews","추천 됨 : 리뷰 수"
"Please specify a website.","웹 사이트를 지정하십시오."
"Please specify a customer email.","고객 이메일을 지정하십시오."
"We found an invalid value in a website column.","웹 사이트 열에 잘못된 값을 발견했습니다."
"Please enter a valid email.","올바른 이메일을 입력하십시오."
"Please make sure attribute ""%1"" is not empty.","&quot;%1&quot;속성이 비어 있지 않은지 확인하십시오."
"We can't find a customer who matches this email and website code.","이 이메일 및 웹 사이트 코드와 일치하는 고객을 찾을 수 없습니다."
"-- Please Select --","-- 선택 해주세요 --"
"Discount Used","사용 할인"
"Custom Product Attributes","맞춤 제품 속성"
"- Disable these emails -","-이 이메일을 사용 중지합니다."
"Give X points to customer","고객에게 X 포인트를 준다."
"Give X points for every spent Y","소비 된 모든 Y에 대해 X 포인트를줍니다."
"Give X points for every Z quantity","모든 Z 수량에 대해 X 점 제공"
"For every Y, give X points","모든 Y에 대해 X 포인트를 준다."
Pending,대기중인
Approved,"승인 됨"
Discarded,버려진
"You do not have permissions to create transactions. Please contact your site administrator.","트랜잭션을 만들 권한이 없습니다. 사이트 관리자에게 문의하십시오."
"%1 has been added.","%1이 (가) 추가되었습니다."
"%1 has been deducted.","%1이 (가) 공제되었습니다."
"You earned %1 and spent %2 for this order.","이 주문에 대해 %1을 (를) 얻었고 %2을 (를) 보냈습니다."
"You spent %1 for this order.","이 주문에 %1을 보냈습니다."
"You earned %1 for this order.","이 주문에 대해 %1을 (를) 얻었습니다."
"Earned points will be enrolled to your account after we finish processing your order.","주문 처리가 끝나면 적립 된 포인트가 귀하의 계정에 등록됩니다."
"Rewards error occurred on the server. Please try to place the order again.","리워드 오류가 서버에서 발생했습니다. 주문을 다시 시도하십시오."
"Earn at least %1 %2","적어도 %1 %2 번 적립"
"Reward Points","보상 점수"
Edit,편집하다
Back,뒤로
Delete,지우다
"Are you sure you want to do this?","이 작업을 수행 하시겠습니까?"
Reset,"다시 놓기"
"Save and Continue Edit","저장하고 계속하기 편집"
Save,구하다
"Delete the record with ID ""${ $.$data.transaction_id }""","ID가 &quot;$ {$. $ data.transaction_id}&quot;인 레코드 삭제"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","ID가 &quot;$ {$. $ data.transaction_id}&quot;인 레코드를 삭제하지 않으시겠습니까?"
"Points Summary","포인트 요약"
