"My Reward Points","Mano apdovanojimo taškai"
"Checkout now and earn <b>%1</b> for this order.","Atsiskaityk dabar ir uždirbk <b>%1</b> už šį užsakymą."
"Applies only to registered customers, may vary when logged in.","Taikoma tik registruotiems klientams. Prisijunkite, gali skirtis."
"Possible discount %1 %2","Galima nuolaida %1 %2"
"Earn %1 %2","Uždirbk %1 %2"
Grid,Tinklelis
List,Sąrašas
All,Visi
"Referral %1","Persiuntimas %1"
"Something went wrong while saving your subscription.","Kaupant prenumeratą įvyko klaida."
"We removed your subscription on expiring points notification.","Pašalinome jūsų prenumeratą pasibaigus pranešimo apie taškus."
"Cannot apply points.","Negalima taikyti taškų."
"You've earned %1 for Facebook Like!","Jūs uždirbo %1 &quot;Facebook&quot; kaip!"
"You've earned %1 for Facebook Share!","Jūs uždirbo %1 &quot;Facebook&quot; bendrai!"
"Facebook Like Points has been canceled","&quot;Facebook&quot; taškai buvo atšaukti"
"You've earned %1 for Google+!","Jūs uždirbo %1 &quot;Google+&quot;!"
"G+1 Points has been canceled","G + 1 taškai buvo atšaukti"
"You've earned %1 for Pin!","Už pinigai uždirbo %1!"
"Invalid form key. Try again","Neteisingas formos raktas. Bandyk iš naujo"
"Customer with email %1 has been already invited to our store","Klientas elektroniniu paštu %1 jau buvo pakviestas į mūsų parduotuvę"
"Your invitations were sent. Thanks!","Jūsų kvietimai buvo išsiųsti. Dėkoju!"
"You've earned %1 for Tweet!","Jūs uždirbo %1 už &quot;Twitter&quot;!"
"You received %1 for signing up","Jūs gavote %1, kad galėtumėte užsiregistruoti"
"You received %1 for sending this product","Jūs gavote %1, norėdami siųsti šį produktą"
"You received %1 for sign up for newsletter","Jūs gavote %1, kad galėtumėte užsiprenumeruoti naujienlaiškį"
"You received %1 for sign up for push notifications","Jūs gavote %1, kad galėtumėte prisiregistruoti prie &quot;push&quot; pranešimų"
"You will receive %1 after approving of this tag","Po patvirtinimo šios žymos gausite %1"
"You will receive %1 after approving of this review","Jūs gausite %1 po patvirtinimo šios peržiūros"
"You received %1 for sign up of referral customer.","Jūs gavote %1, norėdami užsiregistruoti persiuntimo klientui."
"You received %1 for order of referral customer.","Jūs gavote %1 per referencinio kliento užsakymą."
"Happy birthday! You received %1.","Su gimtadieniu! Jūs gavote %1."
"You received %1 for joining the affiliate program.","Jūs gavote %1 prisijungti prie partnerių programos."
"%1 were applied.","%1 buvo taikomas."
"Minimum number is %1.","Minimalus skaičius yra %1."
"Maximum number is %1.","Maksimalus skaičius yra %1."
