"My Reward Points","Mani apbalvošanas punkti"
"Checkout now and earn <b>%1</b> for this order.","Izrakstīties tūlīt un nopelnīt <b>%1</b> par šo pasūtījumu."
"Applies only to registered customers, may vary when logged in.","Attiecas tikai uz reģistrētiem klientiem, var būt atšķirīgi, kad piesakāties."
"Possible discount %1 %2","Iespējamā atlaide %1 %2"
"Earn %1 %2","Nopelnīt %1 %2"
Grid,Režģis
List,Saraksts
All,Viss
"Referral %1","Referents %1"
"Something went wrong while saving your subscription.","Kaut kas neizdevās, saglabājot abonementu."
"We removed your subscription on expiring points notification.","Mēs izdzēsām jūsu abonementu pēc paziņojumu par beigu punktiem."
"Cannot apply points.","Nevar piemērot punktus."
"You've earned %1 for Facebook Like!","Jūs esat nopelnījis %1 par Facebook Like!"
"You've earned %1 for Facebook Share!","Jūs esat nopelnījis %1 par Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points ir atcelts"
"You've earned %1 for Google+!","Jūs esat nopelnījis %1 par Google+!"
"G+1 Points has been canceled","G + 1 punkti ir atcelti"
"You've earned %1 for Pin!","Jūs esat nopelnījis %1 par Pin!"
"Invalid form key. Try again","Nederīga veidlapas atslēga. Mēģini vēlreiz"
"Customer with email %1 has been already invited to our store","Klients ar e-pasta adresi %1 jau ir uzaicināts mūsu veikalā"
"Your invitations were sent. Thanks!","Jūsu uzaicinājumi tika nosūtīti. Paldies!"
"You've earned %1 for Tweet!","Jūs esat nopelnījis %1 par čivināt!"
"You received %1 for signing up","Jūs reģistrējaties %1"
"You received %1 for sending this product","Jūs saņēmāt %1 par šī produkta nosūtīšanu"
"You received %1 for sign up for newsletter","Jūs saņēmāt %1, lai reģistrētos jaunumiem"
"You received %1 for sign up for push notifications","Jūs saņēmāt %1, lai reģistrētos push paziņojumiem"
"You will receive %1 after approving of this tag","Pēc šī taga saņemšanas jūs saņemsiet %1"
"You will receive %1 after approving of this review","Pēc šī pārskatījuma apstiprināšanas jūs saņemsiet %1"
"You received %1 for sign up of referral customer.","Jūs saņēmāt %1, lai reģistrētu klientu."
"You received %1 for order of referral customer.","Jūs saņēmāt %1 reitings klientam."
"Happy birthday! You received %1.","Daudz laimes dzimšanas dienā! Jūs saņēmāt %1."
"You received %1 for joining the affiliate program.","Jūs saņēmāt %1, lai pievienotos saistītajai programmai."
"%1 were applied.","%1 tika piemērots."
"Minimum number is %1.","Minimālais numurs ir %1."
"Maximum number is %1.","Maksimālais skaits ir %1."
"%1 was canceled.","%1 tika atcelts."
"Cannot apply %1.","Nevar piemērot %1."
"You can use the following variables:","Jūs varat izmantot šādus mainīgos:"
Pattern,Paraugs
"Attribute Value","Atribūtu vērtība"
Default,Noklusējums
Integer,"Vesels skaitlis"
Price,Cena
"Strip Tags","Strip Tagi"
"Primary Attributes","Galvenie atribūti"
"Stock Attributes","Krājuma īpašības"
"Prices & Taxes","Cenas un nodokļi"
Images,Attēli
"Custom Attributes","Pielāgotie atribūti"
Mapping,Kartēšana
Category,Kategorija
"Amasty Meta Tags","Amasty Meta Tags"
"Others Attributes","Citi atribūti"
Flexible,Elastīga
Fixed,Fiksēts
"Customer signs up in store","Klients pierakstās veikalā"
"Customer places order","Pasūtītājs pasūtījumu"
"Customer refer a friend","Klients iesaka draugu"
"Customer adds tag to a product","Klients pievieno tagu produktam"
"Customer writes a product review","Klients raksta produktu pārskatīšanu"
"Customer has a birthday","Klientam ir dzimšanas diena"
"Customer is inactive for long time","Klients ilgstoši nav aktīvs"
"Newsletter sign up","Pieteikties jaunumiem"
"Facebook Share","Facebook koplietošana"
"Facebook Like","Facebook kā"
"Twitter Tweet","Twitter čivināt"
"Google+ Like","Google+, piemēram"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Klients pievienojas saistītajai programmai"
"Push Notifications sign up","Push Notifications reģistrēties"
"Referred customer signs up in store","Norādītais klients pierakstās veikalā"
"Order from referred customer","Pasūtījums no norādītā klienta"
"Points to Currency","Norāda valūtu"
"Currency to Points","Valūta punktos"
"Customer Account > My Reward Points","Klienta konts&gt; Mani atlīdzības punkti"
"Customer Account > My Referrals","Klienta konts&gt; Mani referāti"
"Cart Page","Grozs lapa"
"Message Sent","Ziņa nosūtīta"
"Signed Up",Pierakstījies
"Made Order","Izgatavots pasūtījums"
"Visited by Referral Link","Apmeklējusi novirzīšanas saite"
"Subtotal + Tax","Starpsumma + nodoklis"
"Subtotal + Tax + Shipping","Starpsumma + nodoklis + piegāde"
"Product Rule","Produkta noteikums"
"Cart Rule","Grozu statuss"
"Behavior Rule","Uzvedības noteikums"
"Transaction #%1 is expired","Darījums #%1 ir beidzies"
"Update the Product","Atjauniniet produktu"
"Is Rewards Points used","Ir izmantoti balvu punkti"
"Coupon Used","Izmantots kupons"
"Coupon Code","Kupona Kods"
No,Nē
Yes,Jā
"Conditions Combination","Nosacījumi kombinācija"
"Product attribute combination","Produkta atribūtu kombinācija"
"Products subselection","Produkti subselection"
"Conditions combination","Nosacījumu kombinācija"
"Cart Attribute","Kartes atribūts"
Customer,Klients
"Last 7-days Clicks","Pēdējie 7 dienu klikšķi"
"Last 7-days Orders","Pēdējie 7 dienu pasūtījumi"
"Last 7-days Revenue","Pēdējās 7 dienu ieņēmumi"
"Is Referee","Ir tiesnesis"
"Is Referral","Ir nodošana"
Email,E-pasts
Group,Grupa
"Lifetime Sales","Mūža pārdošana"
"Lifetime Spent Points","Dzīves laikā iztērētie punkti"
"Number of Orders","Rīkojumu skaits"
"Is subscriber of newsletter","Ir abonēšanas biļetens"
"Number of reviews","Atsauksmju skaits"
"Number of referred friends signups","Nodoto draugu reģistrēto numuru skaits"
"Number of referred friends orders","Nodoto draugu pasūtījumu skaits"
"Sum of referred friends orders","Minēto draugu pasūtījumu summa"
"Number of referrals who ordered at least once","Referralu skaits, kas pasūtījis vismaz vienu reizi"
"Not registered","Nav reģistrēts"
"Attribute Set","Atribūtu kopums"
Quantity,Daudzums
"Product Type","Produkta veids"
"Base Image","Bāzes attēls"
Thumbnail,Sīktēls
"Small Image","Mazs attēls"
"Base Image Size (bytes)","Bāzes attēla lielums (baiti)"
"Thumbnail Size (bytes)","Sīktēlu izmērs (baiti)"
"Small Image Size (bytes)","Maza attēla lielums (baiti)"
"PHP Condition","PHP nosacījums"
"Base Price","Bāzes cena"
"Final Price","Beigu cena"
"Special Price","Īpaša cena"
"Open Chooser","Atvērt izvēli"
"Referred: Group","Pieminēts: grupa"
"Referred: Lifetime Sales","Iepriekš minētais: mūža pārdošana"
"Referred: Number of Orders","Sniegtais: Rīkojumu skaits"
"Referred: Is subscriber of newsletter","Sniegts: ir abonējis biļetenu"
"Referred: Number of reviews","Sniegtais: Atsauksmju skaits"
"Please specify a website.","Lūdzu, norādiet vietni."
"Please specify a customer email.","Lūdzu, norādiet klienta e-pastu."
"We found an invalid value in a website column.","Tīmekļa vietnes kolonnā mēs atradām nederīgu vērtību."
"Please enter a valid email.","Lūdzu, ievadiet derīgu e-pastu."
