"My Reward Points","Моите награди за награди"
"Checkout now and earn <b>%1</b> for this order.","Сега <b>проверете</b> и заработи <b>%1</b> за оваа нарачка."
"Applies only to registered customers, may vary when logged in.","Се однесува само на регистрираните корисници, може да се разликуваат кога се логирани."
"Possible discount %1 %2","Можен попуст %1 %2"
"Earn %1 %2","Заработе %1 %2"
Grid,Мрежа
List,Листа
All,Сите
"Referral %1","Референца %1"
"Something went wrong while saving your subscription.","Нешто тргна наопаку при зачувувањето на претплатата."
"We removed your subscription on expiring points notification.","Ние ја отстранивме вашата претплата на известување за истекување поени."
"Cannot apply points.","Не може да се применат поени."
"You've earned %1 for Facebook Like!","Заработивте %1 за Facebook Like!"
"You've earned %1 for Facebook Share!","Заработе %1 за Фејсбук Сподели!"
"Facebook Like Points has been canceled","Фејсбук како поени е откажан"
"You've earned %1 for Google+!","Заработе %1 за Google+!"
"G+1 Points has been canceled","G + 1 Поени е откажано"
"You've earned %1 for Pin!","Заработе %1 за Пин!"
"Invalid form key. Try again","Невалиден клуч за форма. Обиди се повторно"
"Customer with email %1 has been already invited to our store","Клиентот со е-пошта %1 е веќе поканет во нашата продавница"
"Your invitations were sent. Thanks!","Вашите покани беа испратени. Благодарам!"
"You've earned %1 for Tweet!","Заработе %1 за Чуру!"
"You received %1 for signing up","Добивте %1 за пријавувањето"
"You received %1 for sending this product","Добивте %1 за испраќање на овој производ"
"You received %1 for sign up for newsletter","Добивте %1 за пријавување за билтенот"
"You received %1 for sign up for push notifications","Добивте %1 за регистрирање за известувања за притискање"
"You will receive %1 after approving of this tag","Ќе добиете %1 по одобрување на оваа ознака"
"You will receive %1 after approving of this review","Ќе добиете %1 откако ќе го одобрите овој преглед"
"You received %1 for sign up of referral customer.","Добивте %1 за регистрирање на клиент за упатување."
"You received %1 for order of referral customer.","Добивте %1 за нарачка на клиент за упатување."
"Happy birthday! You received %1.","Среќен роденден! Добивте %1."
"You received %1 for joining the affiliate program.","Добивте %1 за да се приклучите на affiliate програмата."
"%1 were applied.","%1 беше применет."
"Minimum number is %1.","Минимален број е %1."
"Maximum number is %1.","Максималниот број е %1."
"%1 was canceled.","%1 беше откажано."
"Cannot apply %1.","Не може да се примени %1."
"You can use the following variables:","Можете да ги користите следните променливи:"
Pattern,Модел
"Attribute Value","Вредност на атрибутот"
Default,Стандардно
Integer,"Цел број"
Price,Цена
