"My Reward Points","Mijn beloningspunten"
"Checkout now and earn <b>%1</b> for this order.","Check nu af en verdien <b>%1</b> voor deze bestelling."
"Applies only to registered customers, may vary when logged in.","Alleen van toepassing op geregistreerde klanten, kan variëren wanneer u bent aangemeld."
"Possible discount %1 %2","Mogelijke korting %1 %2"
"Earn %1 %2","Verdien %1 %2"
Grid,Rooster
List,Lijst
All,Alle
"Referral %1","Verwijzing %1"
"Something went wrong while saving your subscription.","Er is iets misgegaan tijdens het opslaan van uw abonnement."
"We removed your subscription on expiring points notification.","We hebben uw abonnement op de kennisgeving van de verlooppunten verwijderd."
"Cannot apply points.","Kan geen punten toepassen."
"You've earned %1 for Facebook Like!","Je hebt %1 verdiend voor Facebook Like!"
"You've earned %1 for Facebook Share!","Je hebt %1 verdiend voor Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points is geannuleerd"
"You've earned %1 for Google+!","Je hebt %1 verdiend voor Google+!"
"G+1 Points has been canceled","G + 1 punten zijn geannuleerd"
"You've earned %1 for Pin!","Je hebt %1 verdiend voor Pin!"
"Invalid form key. Try again","Ongeldige formulesleutel. Probeer het nog eens"
"Customer with email %1 has been already invited to our store","Klant met e-mailadres %1 is al uitgenodigd voor onze winkel"
"Your invitations were sent. Thanks!","Je uitnodigingen zijn verzonden. Bedankt!"
"You've earned %1 for Tweet!","Je hebt %1 verdiend voor Tweet!"
"You received %1 for signing up","U heeft %1 ontvangen voor uw aanmelding"
"You received %1 for sending this product","U heeft %1 ontvangen voor het verzenden van dit product"
"You received %1 for sign up for newsletter","U heeft %1 ontvangen voor aanmelding voor de nieuwsbrief"
"You received %1 for sign up for push notifications","U heeft %1 ontvangen om u aan te melden voor pushmeldingen"
"You will receive %1 after approving of this tag","U ontvangt %1 na goedkeuring van deze tag"
"You will receive %1 after approving of this review","U ontvangt %1 na goedkeuring van deze beoordeling"
"You received %1 for sign up of referral customer.","U heeft %1 ontvangen voor registratie van verwijzingsklant."
"You received %1 for order of referral customer.","U heeft %1 ontvangen voor de volgorde van de verwijzingsklant."
"Happy birthday! You received %1.","Fijne verjaardag! U heeft %1 ontvangen."
"You received %1 for joining the affiliate program.","U heeft %1 ontvangen voor deelname aan het partnerprogramma."
"%1 were applied.","%1 is toegepast."
"Minimum number is %1.","Het minimumaantal is %1."
"Maximum number is %1.","Het maximale aantal is %1."
"%1 was canceled.","%1 is geannuleerd."
"Cannot apply %1.","Kan %1 niet toepassen."
"You can use the following variables:","U kunt de volgende variabelen gebruiken:"
Pattern,Patroon
"Attribute Value",Attribuutwaarde
Default,Standaard
Integer,"Geheel getal"
Price,Prijs
"Strip Tags","Strip Tags"
"Primary Attributes","Primaire attributen"
"Stock Attributes","Voorraad attributen"
"Prices & Taxes","Prijzen en belastingen"
Images,Afbeeldingen
"Custom Attributes","Aangepaste kenmerken"
Mapping,"In kaart brengen"
Category,Categorie
"Amasty Meta Tags","Amasty Meta-tags"
"Others Attributes","Anderen Attributen"
Flexible,Flexibele
Fixed,Vast
"Customer signs up in store","Klant meldt zich aan in de winkel"
"Customer places order","Klant plaatst bestelling"
"Customer refer a friend","Klant verwijst een vriend"
"Customer adds tag to a product","Klant voegt tag aan een product toe"
"Customer writes a product review","Klant schrijft een productbeoordeling"
"Customer has a birthday","Klant heeft een verjaardag"
"Customer is inactive for long time","Klant is lang inactief"
"Newsletter sign up","Nieuwsbrief aanmelden"
"Facebook Share","Facebook delen"
"Facebook Like","Facebook leuk"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ vind ik leuk"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Klant neemt deel aan het partnerprogramma"
"Push Notifications sign up","Pushmeldingen aanmelden"
"Referred customer signs up in store","Doorverwezen klant meldt zich aan in de winkel"
"Order from referred customer","Bestelling van doorverwezen klant"
"Points to Currency","Punten naar valuta"
"Currency to Points","Valuta naar punten"
"Customer Account > My Reward Points","Klantaccount&gt; Mijn beloningspunten"
"Customer Account > My Referrals","Klantenaccount&gt; Mijn verwijzingen"
"Cart Page",Winkelwagenpagina
"Message Sent","Bericht verzonden"
"Signed Up",Ingeschreven
"Made Order","Made Order"
