"My Reward Points","Moje punkty nagrody"
"Checkout now and earn <b>%1</b> for this order.","Zamów teraz i zarób <b>%1</b> za to zamówienie."
"Applies only to registered customers, may vary when logged in.","Obowiązuje tylko dla zarejestrowanych klientów, może się różnić w zależności od zalogowania."
"Possible discount %1 %2","Możliwa zniżka %1 %2"
"Earn %1 %2","Zarób %1 %2"
Grid,Krata
List,Lista
All,Wszystko
"Referral %1","Polecenie %1"
"Something went wrong while saving your subscription.","Coś poszło nie tak podczas zapisywania subskrypcji."
"We removed your subscription on expiring points notification.","Usunęliśmy Twoją subskrypcję po powiadomieniu o wygasaniu punktów."
"Cannot apply points.","Nie można zastosować punktów."
"You've earned %1 for Facebook Like!","Zarobiłeś %1 na Facebooku Like!"
"You've earned %1 for Facebook Share!","Zarobiłeś %1 na Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points został anulowany"
"You've earned %1 for Google+!","Zarobiłeś %1 dla Google+!"
"G+1 Points has been canceled","Punkty G + 1 zostały anulowane"
"You've earned %1 for Pin!","Zapłaciłeś %1 za Pin!"
"Invalid form key. Try again","Nieprawidłowy klucz formularza. Spróbuj ponownie"
"Customer with email %1 has been already invited to our store","Klient z e-mailem %1 został już zaproszony do naszego sklepu"
"Your invitations were sent. Thanks!","Twoje zaproszenia zostały wysłane. Dzięki!"
"You've earned %1 for Tweet!","Zarobiłeś %1 za tweeta!"
"You received %1 for signing up","Otrzymałeś %1 za rejestrację"
"You received %1 for sending this product","Otrzymałeś %1 za wysłanie tego produktu"
"You received %1 for sign up for newsletter","Otrzymałeś %1 za zapisanie się do newslettera"
"You received %1 for sign up for push notifications","Otrzymałeś %1 za rejestrację powiadomień push"
"You will receive %1 after approving of this tag","Po zatwierdzeniu tego tagu otrzymasz %1"
"You will receive %1 after approving of this review","Po zatwierdzeniu tej opinii otrzymasz %1"
"You received %1 for sign up of referral customer.","Otrzymałeś %1 za zarejestrowanie klienta polecającego."
"You received %1 for order of referral customer.","Otrzymałeś %1 na zamówienie klienta polecającego."
"Happy birthday! You received %1.","Wszystkiego najlepszego! Otrzymałeś %1."
"You received %1 for joining the affiliate program.","Otrzymałeś %1 za dołączenie do programu partnerskiego."
"%1 were applied.","Zastosowano %1."
"Minimum number is %1.","Minimalna liczba to %1."
"Maximum number is %1.","Maksymalna liczba to %1."
"%1 was canceled.","%1 zostało anulowane."
"Cannot apply %1.","Nie można zastosować %1."
"You can use the following variables:","Możesz użyć następujących zmiennych:"
Pattern,Wzór
"Attribute Value","Wartość atrybutu"
Default,Domyślna
Integer,"Liczba całkowita"
Price,"Cena £"
"Strip Tags","Strip Tags"
"Primary Attributes","Główne atrybuty"
"Stock Attributes","Atrybuty fotografii"
"Prices & Taxes","Ceny i podatki"
Images,Obrazy
"Custom Attributes","Niestandardowe atrybuty"
Mapping,Mapowanie
Category,Kategoria
"Amasty Meta Tags","Amasty Meta Tags"
"Others Attributes","Inne atrybuty"
Flexible,Elastyczne
Fixed,Naprawiony
"Customer signs up in store","Klient rejestruje się w sklepie"
"Customer places order","Klient składa zamówienie"
"Customer refer a friend","Klient poleca znajomemu"
"Customer adds tag to a product","Klient dodaje tag do produktu"
"Customer writes a product review","Klient pisze recenzję produktu"
"Customer has a birthday","Klient ma urodziny"
"Customer is inactive for long time","Klient jest nieaktywny przez długi czas"
"Newsletter sign up","Zapisz się do newslettera"
"Facebook Share","Udostępnienie na Facebook"
"Facebook Like","Facebook Like"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ Like"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Klient dołącza do programu partnerskiego"
"Push Notifications sign up","Zapisz powiadomienie push"
"Referred customer signs up in store","Polecony klient zarejestruje się w sklepie"
"Order from referred customer","Zamówienie od poleconego klienta"
"Points to Currency","Punkty na walutę"
"Currency to Points","Waluta do punktów"
"Customer Account > My Reward Points","Konto klienta&gt; Moje punkty nagrody"
"Customer Account > My Referrals","Konto klienta&gt; Moje polecone"
"Cart Page","Strona koszyka"
"Message Sent","Wiadomość wysłana"
"Signed Up",Zapisany
"Made Order","Wykonane zamówienie"
"Visited by Referral Link","Odwiedzone przez Link polecający"
"Subtotal + Tax","Podsuma + podatek"
"Subtotal + Tax + Shipping","Suma częściowa + Podatek + Wysyłka"
"Product Rule","Reguła produktu"
"Cart Rule","Reguła koszyka"
"Behavior Rule","Reguła zachowania"
"Transaction #%1 is expired","Transakcja #%1 wygasła"
"Update the Product","Zaktualizuj produkt"
"Is Rewards Points used","Użyto punktów nagród"
"Coupon Used","Kupon używany"
"Coupon Code","Kod kuponu"
No,Nie
Yes,Tak
"Conditions Combination","Warunki Połączenie"
"Product attribute combination","Kombinacja atrybutów produktu"
"Products subselection","Podselekcja produktów"
"Conditions combination","Połączenie warunków"
"Cart Attribute","Atrybut koszyka"
Customer,Klient
"Last 7-days Clicks","Ostatnie 7-dniowe kliknięcia"
"Last 7-days Orders","Ostatnie 7-dniowe zamówienia"
"Last 7-days Revenue","Ostatnie 7-dniowe przychody"
"Is Referee","Jest sędzią"
"Is Referral","Jest skierowaniem"
Email,E-mail
Group,Grupa
"Lifetime Sales","Dożywotnia sprzedaż"
"Lifetime Spent Points","Dożywotnie wydane punkty"
"Number of Orders","Ilość zamówień"
"Is subscriber of newsletter","Subskrybuje newsletter"
"Number of reviews","Liczba opinii"
"Number of referred friends signups","Liczba poleconych zapisów znajomych"
"Number of referred friends orders","Liczba poleconych znajomych"
"Sum of referred friends orders","Suma poleconych znajomych"
"Number of referrals who ordered at least once","Liczba poleconych, którzy zamówili co najmniej raz"
"Not registered","Nie zarejestrowany"
"Attribute Set","Zestaw atrybutów"
Quantity,Ilość
"Product Type","Rodzaj produktu"
"Base Image","Podstawowy obraz"
Thumbnail,Miniaturka
"Small Image","Mały obraz"
"Base Image Size (bytes)","Podstawowy rozmiar obrazu (bajty)"
"Thumbnail Size (bytes)","Rozmiar miniatury (bajty)"
"Small Image Size (bytes)","Mały rozmiar obrazu (bajty)"
"PHP Condition","PHP Warunek"
"Base Price","Cena podstawowa"
"Final Price","Cena ostateczna"
"Special Price","Cena promocyjna"
"Open Chooser","Otwórz Chooser"
"Referred: Group","Polecono: Grupa"
"Referred: Lifetime Sales","Referred: Lifetime Sales"
"Referred: Number of Orders","Polecono: Liczba zamówień"
"Referred: Is subscriber of newsletter","Polecono: Subskrybuje newsletter"
"Referred: Number of reviews","Polecono: Liczba recenzji"
"Please specify a website.","Proszę podać stronę internetową."
"Please specify a customer email.","Podaj adres e-mail klienta."
"We found an invalid value in a website column.","Znaleźliśmy nieprawidłową wartość w kolumnie witryny."
"Please enter a valid email.","Proszę podać poprawny adres e-mail."
"Please make sure attribute ""%1"" is not empty.","Upewnij się, że atrybut &quot;%1&quot; nie jest pusty."
"We can't find a customer who matches this email and website code.","Nie możemy znaleźć klienta, który pasuje do tego adresu e-mail i kodu witryny."
"-- Please Select --","-- Proszę wybrać --"
"Discount Used","Zniżka używana"
"Custom Product Attributes","Niestandardowe atrybuty produktu"
"- Disable these emails -","- Wyłącz te e-maile -"
"Give X points to customer","Przekaż X punkty klientowi"
"Give X points for every spent Y","Podaj X punktów za każde wydane Y"
"Give X points for every Z quantity","Podaj X punktów za każdą ilość Z."
"For every Y, give X points","Za każde Y, podaj X punktów"
Pending,"W oczekiwaniu"
Approved,Zatwierdzony
Discarded,Odrzucona
"You do not have permissions to create transactions. Please contact your site administrator.","Nie masz uprawnień do tworzenia transakcji. Skontaktuj się z administratorem witryny."
"%1 has been added.","Dodano %1."
"%1 has been deducted.","%1 zostało odjęte."
"You earned %1 and spent %2 for this order.","Zarobiłeś %1 i wydałeś %2 na to zamówienie."
"You spent %1 for this order.","Wydałeś %1 na to zamówienie."
"You earned %1 for this order.","Zarobiłeś %1 za to zamówienie."
"Earned points will be enrolled to your account after we finish processing your order.","Zdobyte punkty będą rejestrowane na Twoim koncie po zakończeniu przetwarzania zamówienia."
"Rewards error occurred on the server. Please try to place the order again.","Wystąpił błąd nagród na serwerze. Spróbuj ponownie złożyć zamówienie."
"Earn at least %1 %2","Zarób co najmniej %1 %2"
"Reward Points","Punkty Nagród"
Edit,Edytować
Back,Plecy
Delete,Kasować
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
Reset,Nastawić
"Save and Continue Edit","Zapisz i kontynuuj edycję"
Save,Zapisać
"Delete the record with ID ""${ $.$data.transaction_id }""","Usuń rekord z identyfikatorem &quot;$ {$. $ Data.transaction_id}&quot;"
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Czy na pewno nie chcesz usunąć rekordu o identyfikatorze &quot;$ {$. $ Data.transaction_id}&quot;?"
"Points Summary","Podsumowanie punktów"
"To unsubscribe from points expiring notification click %1","Aby anulować subskrypcję punktów wygasających powiadomienia, kliknij %1"
"You have <b>%1</b> in your account.","Masz <b>%1</b> na swoim koncie."
"Transactions History","Historia transakcji"
ID,ID
Comment,Komentarz
Points,Zwrotnica
Created,Stworzony
Expires,Wygasa
"There are no Transactions.","Brak transakcji."
"Pending Transactions","Oczekujące transakcje"
Order,Zamówienie
Status,Status
"Your points balance will expire in %1 days.","Twoje saldo punktów wygaśnie za %1 dni."
"Visit My Reward Points Section","Odwiedź sekcję My Reward Points"
"Login to earn %1 for sharing!","Zaloguj się, aby zarobić %1 za udostępnienie!"
"Earn %1 for sharing!","Zarób %1 za udostępnienie!"
"Like this page and earn %1","Podoba Ci się ta strona i zarób %1"
Share,Dzielić
"Share this page and earn %1","Udostępnij tę stronę i zarób %1"
"Plus this page and earn %1","Plus tę stronę i zarób %1"
"Pin this page and earn %1","Przypnij tę stronę i zarób %1"
"Refer Friends","Poleć znajomych"
"Refer friend and earn %1. More friends more points!","Poleć znajomemu i zarób %1. Więcej znajomych więcej punktów!"
Tweet,Ćwierkać
"Tweet this page and earn %1","Tweetuj tę stronę i zarabiaj %1"
"Check this out!","Sprawdź to!"
"You have <b>%1</b> available.","Masz dostępne <b>%1</b> ."
"Enter amount of points to spend:","Wprowadź ilość wydanych punktów:"
"Use maximum %1","Użyj maksimum %1"
"Apply Points","Zastosuj punkty"
Apply,Zastosować
"Cancel Points","Anuluj punkty"
Cancel,Anuluj
"Use %1","Użyj 1__"
"You Earn",Zarobiłeś
"You Spend",Wydałeś
"Discount amount","Kwota rabatu"
"Use Reward Points","Użyj punktów nagrody"
"This is a required field","To pole jest wymagane"
"Subscription to Points Expiration Notification","Subskrypcja powiadomień o wygasaniu punktów"
"Earning %1","Zarabianie %1"
"Buy to earn %1","Kup, aby zarobić %1"
"You'll earn %1 for this item","Otrzymasz %1 za ten przedmiot"
"Share with Friends","Podzielić się z przyjaciółmi"
