"My Reward Points","Punctele mele de recompensă"
"Checkout now and earn <b>%1</b> for this order.","Verificați acum și câștigați <b>%1</b> pentru această comandă."
"Applies only to registered customers, may vary when logged in.","Se aplică doar clienților înregistrați, poate să varieze la conectare."
"Possible discount %1 %2","Posibilă reducere %1 %2"
"Earn %1 %2","Câștigă %1 %2"
Grid,Grilă
List,Listă
All,Toate
"Referral %1","Referința %1"
"Something went wrong while saving your subscription.","Sa întâmplat ceva în timp ce salvați abonamentul."
"We removed your subscription on expiring points notification.","Am eliminat abonamentul la notificarea cu puncte de expirare."
"Cannot apply points.","Nu pot aplica puncte."
"You've earned %1 for Facebook Like!","Ați câștigat %1 pentru Facebook!"
"You've earned %1 for Facebook Share!","Ați câștigat %1 pentru Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points a fost anulat"
"You've earned %1 for Google+!","Ați câștigat %1 pentru Google+!"
"G+1 Points has been canceled","Punctele G + 1 au fost anulate"
"You've earned %1 for Pin!","Ai câștigat %1 pentru Pin!"
"Invalid form key. Try again","Tasta de formă nevalidă. Încearcă din nou"
"Customer with email %1 has been already invited to our store","Clientul cu e-mail %1 a fost deja invitat la magazinul nostru"
"Your invitations were sent. Thanks!","Invitațiile dvs. au fost trimise. Mulțumiri!"
"You've earned %1 for Tweet!","Ați câștigat %1 pentru Tweet!"
"You received %1 for signing up","Ați primit %1 pentru înscriere"
"You received %1 for sending this product","Ați primit %1 pentru trimiterea acestui produs"
"You received %1 for sign up for newsletter","Ați primit %1 pentru înscrierea la newsletter"
"You received %1 for sign up for push notifications","Ați primit %1 pentru a vă înscrie pentru notificări push"
"You will receive %1 after approving of this tag","Veți primi %1 după aprobarea acestei etichete"
"You will receive %1 after approving of this review","Veți primi %1 după aprobarea acestei revizuiri"
"You received %1 for sign up of referral customer.","Ați primit %1 pentru înscrierea clientului de recomandare."
"You received %1 for order of referral customer.","Ați primit %1 pentru comanda clientului de recomandare."
"Happy birthday! You received %1.","La multi ani! Ați primit %1."
"You received %1 for joining the affiliate program.","Ați primit %1 pentru a vă alătura programului de afiliere."
"%1 were applied.","%1 a fost aplicat."
"Minimum number is %1.","Numărul minim este %1."
"Maximum number is %1.","Numărul maxim este %1."
"%1 was canceled.","%1 a fost anulat."
"Cannot apply %1.","Nu se poate aplica %1."
"You can use the following variables:","Puteți utiliza următoarele variabile:"
Pattern,Model
"Attribute Value","Valoarea atributului"
Default,"Mod implicit"
Integer,Întreg
Price,Preț
"Strip Tags","Strip Etichete"
"Primary Attributes","Atributele primare"
"Stock Attributes","Acțiuni stoc"
"Prices & Taxes","Prețuri și taxe"
Images,Imagini
"Custom Attributes","Atribute personalizate"
Mapping,Cartografierea
Category,Categorie
"Amasty Meta Tags","Amestecurile Meta Tag-uri"
"Others Attributes","Altele Atribute"
Flexible,Flexibil
Fixed,Fix
"Customer signs up in store","Clientul se înscrie în magazin"
"Customer places order","Clientul comandă locații"
"Customer refer a friend","Clientul trimite un prieten"
"Customer adds tag to a product","Clientul adaugă o etichetă unui produs"
"Customer writes a product review","Clientul scrie o recenzie a produsului"
"Customer has a birthday","Clientul are o zi de naștere"
"Customer is inactive for long time","Clientul este inactiv pentru o perioadă lungă de timp"
"Newsletter sign up","Abonează-te la știri"
"Facebook Share","Facebook Share"
"Facebook Like","Facebook ca"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ Îmi place"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Clientul se alătură programului de afiliere"
"Push Notifications sign up","Apăsați butonul Notificare"
"Referred customer signs up in store","Se semnalează semnele clienților în magazin"
"Order from referred customer","Comandă de la clientul menționat"
"Points to Currency","Puncte către valută"
"Currency to Points","Valuta pentru puncte"
"Customer Account > My Reward Points","Contul clienților&gt; Punctele mele de recompensă"
"Customer Account > My Referrals","Cont client&gt; Referințele mele"
"Cart Page",Cart
"Message Sent","Mesaj trimis"
"Signed Up",Inscris
"Made Order","Ordinul făcut"
"Visited by Referral Link","Vizitat de link-ul de recomandare"
"Subtotal + Tax","Subtotal + Impozit"
"Subtotal + Tax + Shipping","Subtotal + Tax + Transport maritim"
"Product Rule","Regulă de produs"
"Cart Rule","Regula de coș"
"Behavior Rule","Regulă de comportament"
"Transaction #%1 is expired","Tranzacția #%1 a expirat"
"Update the Product","Actualizați Produsul"
"Is Rewards Points used","Se utilizează punctele de recompense"
"Coupon Used","Cupon folosit"
"Coupon Code","Codul de cupon"
No,Nu
Yes,Da
"Conditions Combination","Condiții de combinare"
"Product attribute combination","Combinație atribut de produs"
"Products subselection","Subselecția produselor"
"Conditions combination","Combinație de condiții"
"Cart Attribute","Cart Atribute"
Customer,Client
"Last 7-days Clicks","Ultimele clicuri de 7 zile"
"Last 7-days Orders","Ultimele comenzi de 7 zile"
"Last 7-days Revenue","Ultimele venituri pe 7 zile"
"Is Referee","Este arbitrul"
"Is Referral","Este recomandarea"
Email,E-mail
Group,Grup
"Lifetime Sales","Vânzări pe durata de viață"
"Lifetime Spent Points","Puncte petrecute pe durata vieții"
"Number of Orders","Număr de ordine"
"Is subscriber of newsletter","Este abonat la newsletter"
"Number of reviews","Numărul de comentarii"
"Number of referred friends signups","Numărul de înscrieri ale prietenilor menționați"
"Number of referred friends orders","Numărul de comenzi de prieteni raportate"
"Sum of referred friends orders","Suma comenzilor de prieteni menționate"
"Number of referrals who ordered at least once","Numărul de recomandări care au ordonat cel puțin o dată"
"Not registered",Neînregistrat
"Attribute Set","Setul de atribute"
Quantity,Cantitate
"Product Type","Tip produs"
"Base Image","Imaginea de bază"
Thumbnail,Miniatură
"Small Image","Imagine mică"
"Base Image Size (bytes)","Dimensiunea imaginii de bază (octeți)"
"Thumbnail Size (bytes)","Dimensiune miniatură (octeți)"
"Small Image Size (bytes)","Dimensiune mică a imaginii (octeți)"
"PHP Condition","Starea PHP"
"Base Price","Pret de baza"
"Final Price","Pret final"
"Special Price","Pret special"
"Open Chooser","Deschide selectorul"
"Referred: Group","Referință: Grup"
"Referred: Lifetime Sales","Recomandat: Vânzări pe întreaga durată de viață"
