"My Reward Points","Moje odmenové body"
"Checkout now and earn <b>%1</b> for this order.","<b>Objednať</b> teraz a zarobiť <b>%1</b> pre túto objednávku."
"Applies only to registered customers, may vary when logged in.","Platí iba pre registrovaných zákazníkov, môže sa líšiť pri prihlásení."
"Possible discount %1 %2","Možná zľava %1 %2"
"Earn %1 %2","Zarobte %1 %2"
Grid,Mriežka
List,Zoznam
All,Všetko
"Referral %1","Odporúčanie %1"
"Something went wrong while saving your subscription.","Počas ukladania predplatného sa vyskytla chyba."
"We removed your subscription on expiring points notification.","Váš odber sme odstránili pri upozornení na uplynutie platnosti."
"Cannot apply points.","Nie je možné použiť body."
"You've earned %1 for Facebook Like!","Získali ste %1 pre Facebook!"
"You've earned %1 for Facebook Share!","Získali ste %1 pre zdieľanie Facebooku!"
"Facebook Like Points has been canceled","Facebook Like Points bol zrušený"
"You've earned %1 for Google+!","Za službu Google+ ste zarobili %1!"
"G+1 Points has been canceled","Body G + 1 boli zrušené"
"You've earned %1 for Pin!","Získali ste %1 pre Pin!"
"Invalid form key. Try again","Neplatný kľúč formulára. Skúste to znova"
"Customer with email %1 has been already invited to our store","Zákazník s e-mailom %1 bol už pozvaný do nášho obchodu"
"Your invitations were sent. Thanks!","Vaše pozvánky boli odoslané. Vďaka!"
"You've earned %1 for Tweet!","Získali ste %1 pre stránku Tweet!"
"You received %1 for signing up","Pri registrácii ste dostali %1"
"You received %1 for sending this product","Pri odosielaní tohto produktu ste dostali %1"
"You received %1 for sign up for newsletter","Dostali ste %1 na registráciu do bulletinu"
"You received %1 for sign up for push notifications","Dostali ste %1 na registráciu pre upozornenia push"
"You will receive %1 after approving of this tag","Po schválení tejto značky dostanete %1"
"You will receive %1 after approving of this review","Po schválení tejto kontroly dostanete %1"
"You received %1 for sign up of referral customer.","Dostali ste %1 na registráciu referenčného zákazníka."
"You received %1 for order of referral customer.","Dostali ste %1 pre objednávku odberateľa."
"Happy birthday! You received %1.","Šťastné narodeniny! Dostali ste %1."
"You received %1 for joining the affiliate program.","Dostali ste %1 pre vstup do affiliate programu."
"%1 were applied.",%1.
"Minimum number is %1.","Minimálny počet je %1."
"Maximum number is %1.","Maximálny počet je %1."
"%1 was canceled.","%1 bol zrušený."
"Cannot apply %1.","Nemožno použiť %1."
"You can use the following variables:","Môžete použiť nasledujúce premenné:"
Pattern,Vzor
"Attribute Value","Hodnota atribútu"
Default,Štandardné
Integer,"Celé číslo"
Price,Cena
"Strip Tags","Strip značky"
"Primary Attributes","Primárne atribúty"
"Stock Attributes","Atribúty zásob"
"Prices & Taxes","Ceny a dane"
Images,Snímky
"Custom Attributes","Vlastné atribúty"
Mapping,Mapovanie
Category,Kategórie
"Amasty Meta Tags","Amasty Meta Tagy"
"Others Attributes","Ostatné atribúty"
Flexible,Pružný
Fixed,Fixné
"Customer signs up in store","Zákazník sa prihlási do obchodu"
"Customer places order","Objednávka zákazníka"
"Customer refer a friend","Zákazník odkázať priateľa"
"Customer adds tag to a product","Zákazník pridáva značku do produktu"
"Customer writes a product review","Zákazník napíše recenziu produktu"
"Customer has a birthday","Zákazník má narodeniny"
"Customer is inactive for long time","Zákazník je dlhodobo neaktívny"
"Newsletter sign up","Prihlásenie k odberu"
"Facebook Share","Zdieľať Facebook"
"Facebook Like","Facebook ako"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Služba Google+ sa páči"
"Pinterest Pin","Pintrest Pin"
"Customer joins the affiliate program","Zákazník sa pripojí k pridruženému programu"
"Push Notifications sign up","Push Notifications sign up"
"Referred customer signs up in store","Zmienené zákaznícke známky sa ukladajú do predaja"
"Order from referred customer","Objednávka od odkázaného zákazníka"
"Points to Currency","Ukazuje na menu"
"Currency to Points","Mena na body"
"Customer Account > My Reward Points","Zákaznícky účet&gt; Moje odmenové body"
"Customer Account > My Referrals","Zákaznícky účet&gt; Moje odporúčania"
"Cart Page",Košík
"Message Sent","Správa poslaná"
"Signed Up",Prihlásený
"Made Order","Vyrobená objednávka"
"Visited by Referral Link","Navštívil odkaz odkazu"
"Subtotal + Tax","Medzisúčet + daň"
"Subtotal + Tax + Shipping","Medzisúčet + DPH + doprava"
"Product Rule","Pravidlo produktu"
"Cart Rule","Pravidlo košíka"
"Behavior Rule","Pravidlo správania"
"Transaction #%1 is expired","Transakcia #%1 vypršala"
"Update the Product","Aktualizujte produkt"
"Is Rewards Points used","Používajú sa Body odmeňovania"
"Coupon Used","Použitý kupón"
"Coupon Code","Kód kupónu"
No,Žiadny
Yes,Áno
"Conditions Combination","Kombinácia podmienok"
"Product attribute combination","Kombinácia atribútu produktu"
"Products subselection","Podskupina produktov"
"Conditions combination","Kombinácia podmienok"
"Cart Attribute","Atribút košíka"
Customer,Zákazník
"Last 7-days Clicks","Posledné 7-dňové kliknutia"
"Last 7-days Orders","Posledné 7-dňové objednávky"
"Last 7-days Revenue","Posledné 7-dňové príjmy"
"Is Referee","Je rozhodca"
"Is Referral","Je odporúčanie"
Email,E-mail
Group,Skupina
"Lifetime Sales","Celoživotný predaj"
