"My Reward Points","Mina belöningspoäng"
"Checkout now and earn <b>%1</b> for this order.","Kassa nu och tjäna <b>%1</b> för denna beställning."
"Applies only to registered customers, may vary when logged in.","Gäller endast för registrerade kunder, kan variera vid inloggning."
"Possible discount %1 %2","Möjlig rabatt %1 %2"
"Earn %1 %2","Tjäna %1 %2"
Grid,Rutnät
List,Lista
All,Allt
"Referral %1","Hänvisning %1"
"Something went wrong while saving your subscription.","Något gick fel när du sparade din prenumeration."
"We removed your subscription on expiring points notification.","Vi tog bort din prenumeration på meddelandet om utgående poäng."
"Cannot apply points.","Kan inte tillämpa poäng."
"You've earned %1 for Facebook Like!","Du har tjänat %1 för Facebook som!"
"You've earned %1 for Facebook Share!","Du har tjänat %1 för Facebook Dela!"
"Facebook Like Points has been canceled","Facebook Like Points har blivit avbrutna"
"You've earned %1 for Google+!","Du har tjänat %1 för Google+!"
"G+1 Points has been canceled","G + 1 poäng har blivit avbrutna"
"You've earned %1 for Pin!","Du har tjänat %1 för Pin!"
"Invalid form key. Try again","Ogiltig formulärnyckel. Försök igen"
"Customer with email %1 has been already invited to our store","Kund med e-post %1 har redan blivit inbjuden till vår butik"
"Your invitations were sent. Thanks!","Dina inbjudningar skickades. Tack!"
"You've earned %1 for Tweet!","Du har tjänat %1 för Tweet!"
"You received %1 for signing up","Du fick %1 för att anmäla dig"
"You received %1 for sending this product","Du fick %1 för att skicka den här produkten"
"You received %1 for sign up for newsletter","Du fick %1 för anmälan till nyhetsbrev"
"You received %1 for sign up for push notifications","Du fick %1 för anmälan till push-meddelanden"
"You will receive %1 after approving of this tag","Du kommer att få %1 efter godkännande av den här taggen"
"You will receive %1 after approving of this review","Du kommer att få %1 efter godkännande av denna recension"
"You received %1 for sign up of referral customer.","Du fick %1 för registrering av referenskund."
"You received %1 for order of referral customer.","Du fick %1 för beställning av hänvisningskund."
"Happy birthday! You received %1.","Grattis på födelsedagen! Du fick %1."
"You received %1 for joining the affiliate program.","Du fick %1 för att ansluta till affiliate-programmet."
"%1 were applied.","%1 applicerades."
"Minimum number is %1.","Minsta antal är %1."
"Maximum number is %1.","Maximalt tal är %1."
"%1 was canceled.","%1 avbröts."
"Cannot apply %1.","Kan inte gälla %1."
"You can use the following variables:","Du kan använda följande variabler:"
Pattern,Mönster
"Attribute Value","Attribut Värde"
Default,Standard
Integer,Heltal
Price,Pris
"Strip Tags","Strip Taggar"
"Primary Attributes","Primär Egenskaper"
"Stock Attributes","Lager attribut"
"Prices & Taxes","Priser och skatter"
Images,Bilder
"Custom Attributes","Anpassade attribut"
Mapping,Kartläggning
Category,Kategori
"Amasty Meta Tags","Amasty Meta Tags"
"Others Attributes","Andra attribut"
Flexible,Flexibel
Fixed,Fast
"Customer signs up in store","Kundskyltar finns i butik"
"Customer places order","Kunden placerar order"
"Customer refer a friend","Kunden hänvisar till en vän"
"Customer adds tag to a product","Kund lägger till tagg till en produkt"
"Customer writes a product review","Kunden skriver en produktrecension"
"Customer has a birthday","Kunden har en födelsedag"
"Customer is inactive for long time","Kunden är inaktiv under lång tid"
"Newsletter sign up","Nyhetsbrev anmäl dig"
"Facebook Share","Facebook delning"
"Facebook Like","Facebook gillar"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ Gilla"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Kunden ansluter sig till affiliateprogrammet"
"Push Notifications sign up","Push Notifications registrera dig"
"Referred customer signs up in store","Hänvisade kundskyltar i butik"
"Order from referred customer","Beställning från refererad kund"
"Points to Currency","Pekar på Valuta"
"Currency to Points","Valuta till poäng"
"Customer Account > My Reward Points","Kundkonto&gt; Mina belöningspoäng"
"Customer Account > My Referrals","Kundkonto&gt; Mina hänvisningar"
"Cart Page",Varukorg
"Message Sent","Meddelande skickat"
"Signed Up","Anmält sig"
"Made Order","Gjord beställning"
"Visited by Referral Link","Besökts av Referral Link"
"Subtotal + Tax","Subtotal + Skatt"
"Subtotal + Tax + Shipping","Subtotal + Skatt + Frakt"
"Product Rule",Produktregel
"Cart Rule",Varukorg
"Behavior Rule",Beteenderegel
"Transaction #%1 is expired","Transaktion #%1 är utgått"
"Update the Product","Uppdatera produkten"
"Is Rewards Points used","Används belöningspoäng"
"Coupon Used","Kupong används"
"Coupon Code",Kupongskod
No,Nej
Yes,Ja
"Conditions Combination","Villkor Kombination"
"Product attribute combination","Produkt attribut kombination"
"Products subselection","Produkter subselection"
"Conditions combination","Villkor kombination"
"Cart Attribute",Varukorg
Customer,Kund
"Last 7-days Clicks","Senaste 7-dagars klick"
"Last 7-days Orders","Senaste 7-dagars order"
"Last 7-days Revenue","Senaste 7-dagars intäkter"
"Is Referee","Är domare"
"Is Referral","Är hänvisning"
Email,E-post
Group,Grupp
"Lifetime Sales",Livstidsförsäljning
"Lifetime Spent Points","Livstidsutnyttjad poäng"
"Number of Orders","Antal order"
"Is subscriber of newsletter","Är abonnent på nyhetsbrev"
"Number of reviews","Antal recensioner"
"Number of referred friends signups","Antal hänvisade vänner anmälningar"
"Number of referred friends orders","Antal hänvisade vänner order"
"Sum of referred friends orders","Summan av hänvisade vänner order"
"Number of referrals who ordered at least once","Antal hänvisningar som beställde minst en gång"
"Not registered","Inte registrerad"
"Attribute Set",Attributuppsättning
Quantity,Kvantitet
"Product Type",Produkttyp
"Base Image",Basbild
Thumbnail,Miniatyr
"Small Image","Liten bild"
"Base Image Size (bytes)","Basbildstorlek (byte)"
"Thumbnail Size (bytes)","Miniatyrstorlek (byte)"
"Small Image Size (bytes)","Små bildstorlek (byte)"
"PHP Condition","PHP villkor"
"Base Price",Grundpris
"Final Price","Slutgiltigt pris"
"Special Price",Specialpris
"Open Chooser","Öppna väljaren"
"Referred: Group","Hänvisat: Grupp"
"Referred: Lifetime Sales","Hänvisat: Lifetime Sales"
"Referred: Number of Orders","Hänvisat: Antal order"
"Referred: Is subscriber of newsletter","Hänvisat: Är abonnent på nyhetsbrev"
"Referred: Number of reviews","Hänvisat: Antal recensioner"
"Please specify a website.","Ange en hemsida."
"Please specify a customer email.","Ange en kundens e-postadress."
"We found an invalid value in a website column.","Vi hittade ett ogiltigt värde i en webbplatskolumn."
"Please enter a valid email.","Ange ett giltigt e-postmeddelande."
"Please make sure attribute ""%1"" is not empty.","Se till att attributet &quot;%1&quot; inte är tomt."
"We can't find a customer who matches this email and website code.","Vi kan inte hitta en kund som matchar den här e-postadressen och hemsidan."
"-- Please Select --","-- Vänligen välj --"
"Discount Used","Rabatt används"
"Custom Product Attributes","Anpassade produktegenskaper"
"- Disable these emails -","- Inaktivera dessa e-postmeddelanden -"
"Give X points to customer","Ge X-poäng till kunden"
"Give X points for every spent Y","Ge X poäng för varje förbrukad Y"
"Give X points for every Z quantity","Ge X poäng för varje Z kvantitet"
"For every Y, give X points","För varje Y, ge X poäng"
Pending,Avvaktan
Approved,Godkänd
Discarded,Kasserad
"You do not have permissions to create transactions. Please contact your site administrator.","Du har inte behörigheter att skapa transaktioner. Kontakta din webbplatsadministratör."
"%1 has been added.","%1 har lagts till"
"%1 has been deducted.","%1 har dras av."
"You earned %1 and spent %2 for this order.","Du tjänade %1 och tillbringade %2 för denna beställning."
"You spent %1 for this order.","Du spenderade %1 för denna beställning."
"You earned %1 for this order.","Du har tjänat %1 för denna beställning."
"Earned points will be enrolled to your account after we finish processing your order.","Intunna poäng kommer att vara inskrivna på ditt konto efter att vi har avslutat behandlingen av din beställning."
"Rewards error occurred on the server. Please try to place the order again.","Belöningsfel inträffade på servern. Försök att placera ordern igen."
"Earn at least %1 %2","Tjäna minst %1 %2"
"Reward Points",Belöningspoäng
Edit,Redigera
Back,Tillbaka
Delete,Radera
"Are you sure you want to do this?","Är du säker på att du vill göra det här?"
