"My Reward Points",คะแนนสะสมของฉัน
"Checkout now and earn <b>%1</b> for this order.","ชำระเงินทันทีและได้รับ <b>%1</b> สำหรับคำสั่งซื้อนี้"
"Applies only to registered customers, may vary when logged in.",ใช้กับลูกค้าที่ลงทะเบียนเท่านั้นอาจแตกต่างกันไปเมื่อลงชื่อเข้าใช้
"Possible discount %1 %2","ส่วนลดที่เป็นไปได้ %1______"
"Earn %1 %2","ได้รับ %1______"
Grid,ตะแกรง
List,รายการ
All,ทั้งหมด
"Referral %1","การแนะนำ %1"
"Something went wrong while saving your subscription.",เกิดข้อผิดพลาดขณะบันทึกการสมัครรับข้อมูลของคุณ
"We removed your subscription on expiring points notification.",เรานำการสมัครรับข้อมูลของคุณออกเมื่อหมดอายุการแจ้งเตือน
"Cannot apply points.",ไม่สามารถใช้คะแนนได้
"You've earned %1 for Facebook Like!","คุณได้รับ %1 สำหรับ Facebook Like!"
"You've earned %1 for Facebook Share!","คุณได้รับ %1 สำหรับ Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points ถูกยกเลิกแล้ว"
"You've earned %1 for Google+!","คุณได้รับ %1 สำหรับ Google+!"
"G+1 Points has been canceled","ยกเลิกคะแนน G + 1 แล้ว"
"You've earned %1 for Pin!","คุณได้รับ PIN %1!"
"Invalid form key. Try again","คีย์ฟอร์มไม่ถูกต้อง ลองอีกครั้ง"
"Customer with email %1 has been already invited to our store","ลูกค้าที่มีอีเมล %1 ได้รับเชิญไปที่ร้านของเราแล้ว"
"Your invitations were sent. Thanks!","ส่งคำเชิญของคุณแล้ว ขอบคุณ!"
"You've earned %1 for Tweet!","คุณได้รับ %1 สำหรับทวีตแล้ว!"
"You received %1 for signing up","คุณได้รับ %1 เพื่อลงทะเบียน"
"You received %1 for sending this product","คุณได้รับ %1 สำหรับการส่งผลิตภัณฑ์นี้"
"You received %1 for sign up for newsletter","คุณได้รับ %1 เพื่อลงทะเบียนจดหมายข่าว"
"You received %1 for sign up for push notifications","คุณได้รับ %1 เพื่อลงชื่อสมัครใช้การแจ้งเตือนแบบพุช"
"You will receive %1 after approving of this tag","คุณจะได้รับ %1 หลังจากอนุมัติแท็กนี้"
"You will receive %1 after approving of this review","คุณจะได้รับ %1 หลังจากได้รับการอนุมัติจากรีวิวนี้แล้ว"
"You received %1 for sign up of referral customer.","คุณได้รับ %1 เพื่อลงทะเบียนลูกค้าแนะนำ"
"You received %1 for order of referral customer.","คุณได้รับ %1 สำหรับคำสั่งของลูกค้าที่แนะนำ"
"Happy birthday! You received %1.","สุขสันต์วันเกิด! คุณได้รับ %1"
"You received %1 for joining the affiliate program.","คุณได้รับ %1 สำหรับการเข้าร่วมโปรแกรมพันธมิตร"
"%1 were applied.","ใช้ %1"
"Minimum number is %1.","จำนวนขั้นต่ำคือ %1"
"Maximum number is %1.","จำนวนสูงสุดคือ %1"
"%1 was canceled.","%1 ถูกยกเลิกแล้ว"
