"My Reward Points","Ödül Puanlarım"
"Checkout now and earn <b>%1</b> for this order.","Şimdi çıkış yapın ve bu sipariş için <b>%1</b> kazanın."
"Applies only to registered customers, may vary when logged in.","Sadece kayıtlı müşterilere uygulanır, giriş yaptığınızda değişiklik gösterebilir."
"Possible discount %1 %2","Muhtemel indirim %1 %2"
"Earn %1 %2","Earn %1 %2"
Grid,Kafes
List,Liste
All,Herşey
"Referral %1","Yönlendirme %1"
"Something went wrong while saving your subscription.","Aboneliğinizi kaydederken bir şeyler ters gitti."
"We removed your subscription on expiring points notification.","Aboneliğinizi süresi dolma bildirimlerinde kaldırdık."
"Cannot apply points.","Puan uygulanmaz."
"You've earned %1 for Facebook Like!","Facebook Like için %1 kazandınız!"
"You've earned %1 for Facebook Share!","Facebook Paylaşımı için %1 kazandınız!"
"Facebook Like Points has been canceled","Facebook Beğen Puanları iptal edildi"
"You've earned %1 for Google+!","Google + &#39;da %1 kazandı!"
"G+1 Points has been canceled","G + 1 Puan iptal edildi"
"You've earned %1 for Pin!","Pin için %1 kazandınız!"
"Invalid form key. Try again","Geçersiz form anahtarı. Tekrar deneyin"
"Customer with email %1 has been already invited to our store","%1 e-posta adresine sahip olan müşteri mağazamıza zaten davet edildi"
"Your invitations were sent. Thanks!","Davetiyeleriniz gönderildi. Teşekkürler!"
"You've earned %1 for Tweet!","Tweet için %1 kazandınız!"
"You received %1 for signing up","Kaydolmak için %1"
"You received %1 for sending this product","Bu ürünü göndermek için %1 aldı"
"You received %1 for sign up for newsletter","Bülten için kaydolduğunuzda %1"
"You received %1 for sign up for push notifications","Push bildirimleri için kaydolduğunuzda %1"
"You will receive %1 after approving of this tag","Bu etiketi onayladıktan sonra %1 alacaksınız"
"You will receive %1 after approving of this review","Bu incelemeyi onayladıktan sonra %1"
"You received %1 for sign up of referral customer.","Tavsiye müşterisinin kaydı için %1 aldı."
"You received %1 for order of referral customer.","Referans müşteri siparişi için %1 aldı."
"Happy birthday! You received %1.","Doğum günün kutlu olsun! %1"
"You received %1 for joining the affiliate program.","Ortaklık programına katıldığınız için %1 aldı."
"%1 were applied.","%1 uygulandı."
"Minimum number is %1.","Minimum sayı, %1."
"Maximum number is %1.","Maksimum sayı %1."
"%1 was canceled.","%1 iptal edildi."
"Cannot apply %1.","%1 uygulanamaz."
"You can use the following variables:","Aşağıdaki değişkenleri kullanabilirsiniz:"
Pattern,Desen
"Attribute Value","Özellik Değeri"
Default,Varsayılan
Integer,Tamsayı
Price,Fiyat
"Strip Tags","Şerit Etiketleri"
"Primary Attributes","Birincil Özellikler"
"Stock Attributes","Stok Özellikleri"
"Prices & Taxes","Fiyatlar ve Vergiler"
Images,Görüntüler
"Custom Attributes","Özel Öznitelikler"
Mapping,Haritalama
Category,Kategori
"Amasty Meta Tags","Amasty Meta Etiketleri"
"Others Attributes","Diğerleri Öznitelikleri"
Flexible,Esnek
Fixed,Sabit
"Customer signs up in store","Müşteri mağazaya kaydolur"
"Customer places order","Müşteri sipariş verir"
"Customer refer a friend","Müşteri bir arkadaşa yönlendir"
"Customer adds tag to a product","Müşteri bir ürüne etiket ekler"
"Customer writes a product review","Müşteri bir ürün incelemesi yazar"
"Customer has a birthday","Müşterinin doğum günü var"
"Customer is inactive for long time","Müşteri uzun süre aktif değil"
"Newsletter sign up","Bültene üye ol"
"Facebook Share","Facebook paylaşımı"
"Facebook Like","Facebook gibi"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ gibi"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Müşteri bağlı kuruluş programına katılıyor"
"Push Notifications sign up","Push Bildirimleri kaydol"
"Referred customer signs up in store","Bir müşteri mağazada kayıt olur"
"Order from referred customer","Sipariş edilen müşteriden sipariş"
"Points to Currency","Para Birimi"
"Currency to Points","Para Birimi"
"Customer Account > My Reward Points","Müşteri Hesabı&gt; Ödül Puanlarım"
"Customer Account > My Referrals","Müşteri Hesabı&gt; Yönlendirmelerim"
"Cart Page","Sepet Sayfası"
"Message Sent","Mesajı gönderildi"
"Signed Up",İmzalı
"Made Order","Sipariş Verildi"
"Visited by Referral Link","Tavsiye Bağlantısı tarafından ziyaret edildi"
"Subtotal + Tax","Ara toplam + Vergi"
"Subtotal + Tax + Shipping","Subtotal + Vergi + Nakliye"
"Product Rule","Ürün kuralı"
"Cart Rule","Sepet Kuralı"
"Behavior Rule","Davranış Kuralı"
"Transaction #%1 is expired","İşlem # %1&#39;nin süresi doldu"
"Update the Product","Ürünü Güncelle"
"Is Rewards Points used","Ödül Puanları kullanılıyor mu?"
"Coupon Used","Kupon Kullanılmış"
"Coupon Code","Kupon Kodu"
No,"Yok hayır"
Yes,Evet
"Conditions Combination","Koşullar Kombinasyonu"
"Product attribute combination","Ürün özellik kombinasyonu"
"Products subselection","Ürünler alt seçimi"
"Conditions combination","Koşullar kombinasyonu"
"Cart Attribute","Sepet Özniteliği"
Customer,Müşteri
"Last 7-days Clicks","Son 7 Günlük Tıklamalar"
"Last 7-days Orders","Son 7 Günlük Siparişler"
"Last 7-days Revenue","Son 7 Gün Geliri"
"Is Referee","Hakem mi"
"Is Referral",Yönlendirme
Email,E-posta
Group,Grup
"Lifetime Sales","Ömür Boyu Satış"
"Lifetime Spent Points","Ömür Boyu Harcanan Puanlar"
"Number of Orders","Sipariş sayısı"
"Is subscriber of newsletter","Bülten abonesi mi"
"Number of reviews","İnceleme sayısı"
"Number of referred friends signups","Yönlendirilen arkadaşların sayısı"
"Number of referred friends orders","Başvurulan siparişlerin sayısı"
"Sum of referred friends orders","Bahsedilen arkadaş siparişlerinin toplamı"
"Number of referrals who ordered at least once","En az bir kez sipariş verilen sevk sayısı"
"Not registered","Kayıtlı değil"
"Attribute Set","Özellik Kümesi"
Quantity,Miktar
"Product Type","Ürün tipi"
"Base Image","Temel Görüntü"
Thumbnail,"Başparmak tırnağı"
"Small Image","Küçük resim"
"Base Image Size (bytes)","Temel Görüntü Boyutu (bayt)"
"Thumbnail Size (bytes)","Küçük Resim Boyutu (bayt)"
"Small Image Size (bytes)","Küçük Resim Boyutu (bayt)"
"PHP Condition","PHP Durumu"
"Base Price","Taban fiyat"
"Final Price","Son fiyat"
"Special Price","Özel fiyat"
"Open Chooser","Seçici&#39;yi Aç"
"Referred: Group","Referans: Grup"
"Referred: Lifetime Sales","Referans: Ömür Boyu Satış"
"Referred: Number of Orders","Referans: Sipariş Sayısı"
"Referred: Is subscriber of newsletter","Referans: Bülten abonesi mi"
"Referred: Number of reviews","Referans: İnceleme sayısı"
"Please specify a website.","Lütfen bir web sitesi belirtin."
"Please specify a customer email.","Lütfen bir müşteri e-postası belirtin."
"We found an invalid value in a website column.","Bir web sitesi sütununda geçersiz bir değer bulduk."
"Please enter a valid email.","Lütfen geçerli eposta adresini giriniz."
"Please make sure attribute ""%1"" is not empty.","Lütfen &quot;%1&quot; özelliğinin boş olmadığından emin olun."
"We can't find a customer who matches this email and website code.","Bu e-posta ve web sitesi koduna uyan bir müşteri bulamıyoruz."
"-- Please Select --","-- Lütfen seçin --"
"Discount Used","Kullanılan İndirim"
"Custom Product Attributes","Özel Ürün Özellikleri"
"- Disable these emails -","- Bu e-postaları devre dışı bırak -"
"Give X points to customer","Müşteriye X puan verin"
"Give X points for every spent Y","Her harcanan Y için X puan verin"
"Give X points for every Z quantity","Her Z miktarı için X puan verin"
"For every Y, give X points","Her Y için X puan verin"
Pending,Kadar
Approved,Onaylı
Discarded,Atılan
"You do not have permissions to create transactions. Please contact your site administrator.","İşlemler oluşturmak için izinleriniz yok. Lütfen site yöneticinize başvurun."
"%1 has been added.","%1 eklendi."
"%1 has been deducted.","%1 indirildi."
"You earned %1 and spent %2 for this order.","Bu sipariş için %1 kazandınız ve %2 harcadınız."
"You spent %1 for this order.","Bu sipariş için %1 harcadınız."
"You earned %1 for this order.","Bu sipariş için %1 kazandınız."
"Earned points will be enrolled to your account after we finish processing your order.","Kazanılan puanlar, siparişinizi işleme koyulduktan sonra hesabınıza kaydedilir."
"Rewards error occurred on the server. Please try to place the order again.","Sunucuda ödül hatası oluştu. Lütfen siparişi tekrar vermeye çalışın."
"Earn at least %1 %2","En azında kazanın %1 %2"
