"My Reward Points","Мої призові пункти"
"Checkout now and earn <b>%1</b> for this order.","Оформити замовлення зараз і заробити <b>%1</b> для цього замовлення."
"Applies only to registered customers, may vary when logged in.","Застосовується тільки для зареєстрованих клієнтів, може змінюватися при вході в систему."
"Possible discount %1 %2","Можлива знижка %1 %2"
"Earn %1 %2","Заробити %1 %2"
Grid,Сітки
List,Перелік
All,Все
"Referral %1","Реферал %1"
"Something went wrong while saving your subscription.","Під час збереження підписки не вдалося щось зробити."
"We removed your subscription on expiring points notification.","Ми видалили вашу підписку на повідомлення про закінчення терміну дії пунктів."
"Cannot apply points.","Неможливо застосувати бали."
"You've earned %1 for Facebook Like!","Ви заробили %1 для Facebook Like!"
"You've earned %1 for Facebook Share!","Ви заробили %1 для Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points було скасовано"
"You've earned %1 for Google+!","Ви заробили %1 для Google+!"
"G+1 Points has been canceled","Очки G + 1 були скасовані"
"You've earned %1 for Pin!","Ви заробили %1 за Pin!"
"Invalid form key. Try again","Неправильний ключ форми. Спробуйте ще раз"
"Customer with email %1 has been already invited to our store","Замовник з електронною поштою %1 вже запрошений до нашого магазину"
"Your invitations were sent. Thanks!","Ваші запрошення були відправлені. Дякую!"
"You've earned %1 for Tweet!","Ви заробили %1 за твіт!"
"You received %1 for signing up","Ви отримали %1 для реєстрації"
"You received %1 for sending this product","Ви отримали %1 для надсилання цього продукту"
"You received %1 for sign up for newsletter","Ви отримали %1 для реєстрації на інформаційний бюлетень"
"You received %1 for sign up for push notifications","Ви отримали %1 для реєстрації для push-повідомлень"
"You will receive %1 after approving of this tag","Ви отримаєте %1 після схвалення цього тегу"
"You will receive %1 after approving of this review","Ви отримаєте %1 після схвалення цього огляду"
"You received %1 for sign up of referral customer.","Ви отримали %1 для реєстрації клієнта-рефералу."
"You received %1 for order of referral customer.","Ви отримали %1 для замовлення клієнта-рефералу."
"Happy birthday! You received %1.","З Днем народження! Ви отримали %1."
"You received %1 for joining the affiliate program.","Ви отримали %1 для приєднання до партнерської програми."
"%1 was applied.","%1 було застосовано."
"Minimum number is %1.","Мінімальна кількість %1."
"Maximum number is %1.","Максимальне число %1."
"%1 was canceled.","%1 було скасовано."
"Cannot apply %1.","Неможливо застосувати %1."
"You can use the following variables:","Ви можете використовувати наступні змінні:"
Pattern,Візерунок
"Attribute Value","Значення атрибута"
Default,"За замовчуванням"
Integer,"Ціле число"
Price,Ціна
"Strip Tags","Теги для смуги"
"Primary Attributes","Основні атрибути"
"Stock Attributes","Атрибути акцій"
"Prices & Taxes","Ціни та податки"
Images,Зображення
"Custom Attributes","Спеціальні атрибути"
Mapping,Картографування
Category,Категорія
"Amasty Meta Tags","Амасти метатегів"
"Others Attributes","Інші атрибути"
Flexible,Гнучкий
Fixed,Виправлено
"Customer signs up in store","Клієнт підписує в магазині"
"Customer places order","Клієнт розміщує замовлення"
"Customer refer a friend","Клієнт направляє друга"
"Customer adds tag to a product","Клієнт додає тег до продукту"
"Customer writes a product review","Клієнт пише огляд продукту"
"Customer has a birthday","Клієнт має день народження"
"Customer is inactive for long time","Клієнт неактивний протягом тривалого часу"
