"My Reward Points","Điểm thưởng của tôi"
"Checkout now and earn <b>%1</b> for this order.","Thanh toán ngay bây giờ và kiếm được <b>%1</b> cho đơn đặt hàng này."
"Applies only to registered customers, may vary when logged in.","Chỉ áp dụng cho khách hàng đã đăng ký, có thể thay đổi khi đăng nhập."
"Possible discount %1 %2","Có thể giảm giá %1 %2"
"Earn %1 %2","Kiếm %1 %2"
Grid,Lưới
List,"Danh sách"
All,"Tất cả các"
"Referral %1","Giới thiệu %1"
"Something went wrong while saving your subscription.","Đã xảy ra lỗi khi lưu đăng ký của bạn."
"We removed your subscription on expiring points notification.","Chúng tôi đã xóa đăng ký của bạn khi hết hạn thông báo điểm."
"Cannot apply points.","Không thể áp dụng điểm."
"You've earned %1 for Facebook Like!","Bạn đã kiếm được %1 cho Facebook Like!"
"You've earned %1 for Facebook Share!","Bạn đã kiếm được %1 cho Chia sẻ trên Facebook!"
"Facebook Like Points has been canceled","Facebook Like Points đã bị hủy"
"You've earned %1 for Google+!","Bạn đã kiếm được %1 cho Google+!"
"G+1 Points has been canceled","Điểm G + 1 đã bị hủy"
"You've earned %1 for Pin!","Bạn đã kiếm được %1 cho Pin!"
"Invalid form key. Try again","Khóa biểu mẫu không hợp lệ. Thử lại"
"Customer with email %1 has been already invited to our store","Khách hàng có email %1 đã được mời đến cửa hàng của chúng tôi"
"Your invitations were sent. Thanks!","Lời mời của bạn đã được gửi. Cảm ơn!"
"You've earned %1 for Tweet!","Bạn đã kiếm được %1 cho Tweet!"
"You received %1 for signing up","Bạn đã nhận được %1 để đăng ký"
"You received %1 for sending this product","Bạn đã nhận được %1 để gửi sản phẩm này"
"You received %1 for sign up for newsletter","Bạn đã nhận được %1 để đăng ký nhận bản tin"
"You received %1 for sign up for push notifications","Bạn đã nhận được %1 để đăng ký thông báo đẩy"
"You will receive %1 after approving of this tag","Bạn sẽ nhận được %1 sau khi phê duyệt thẻ này"
"You will receive %1 after approving of this review","Bạn sẽ nhận được %1 sau khi phê duyệt bài đánh giá này"
"You received %1 for sign up of referral customer.","Bạn đã nhận được %1 để đăng ký khách hàng giới thiệu."
"You received %1 for order of referral customer.","Bạn đã nhận được %1 cho đơn đặt hàng của khách hàng giới thiệu."
"Happy birthday! You received %1.","Chúc mừng sinh nhật! Bạn đã nhận được %1."
"You received %1 for joining the affiliate program.","Bạn đã nhận được %1 để tham gia chương trình liên kết."
"%1 was applied.","%1 đã được áp dụng."
"Minimum number is %1.","Số tối thiểu là %1."
"Maximum number is %1.","Số tối đa là %1."
"%1 was canceled.","%1 đã bị hủy."
"Cannot apply %1.","Không thể áp dụng %1."
"You can use the following variables:","Bạn có thể sử dụng các biến sau:"
Pattern,Mẫu
"Attribute Value","Giá trị thuộc tính"
Default,"Mặc định"
Integer,"Số nguyên"
Price,"Giá bán"
"Strip Tags","Thẻ dải"
"Primary Attributes","Thuộc tính chính"
"Stock Attributes","Thuộc tính chứng khoán"
"Prices & Taxes","Giá &amp; Thuế"
Images,"Hình ảnh"
"Custom Attributes","Thuộc tính tùy chỉnh"
Mapping,"Ánh xạ"
Category,"Thể loại"
"Amasty Meta Tags","Thẻ Meta Amasty"
"Others Attributes","Thuộc tính khác"
Flexible,"Linh hoạt"
Fixed,"Đã sửa"
"Customer signs up in store","Khách hàng đăng ký tại cửa hàng"
"Customer places order","Đặt hàng của khách hàng"
"Customer refer a friend","Khách hàng giới thiệu một người bạn"
"Customer adds tag to a product","Khách hàng thêm thẻ vào sản phẩm"
"Customer writes a product review","Khách hàng viết đánh giá sản phẩm"
"Customer has a birthday","Khách hàng có sinh nhật"
"Customer is inactive for long time","Khách hàng không hoạt động trong thời gian dài"
"Newsletter sign up","Đăng ký bản tin"
"Facebook Share","Chia sẻ trên Facebook"
"Facebook Like","Lượt thích Facebook"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ Thích"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","Khách hàng tham gia chương trình liên kết"
"Push Notifications sign up","Đẩy thông báo đăng ký"
"Referred customer signs up in store","Dấu hiệu khách hàng được giới thiệu trong cửa hàng"
"Order from referred customer","Đặt hàng từ khách hàng được giới thiệu"
"Points to Currency","Điểm đến tiền tệ"
"Currency to Points","Tiền tệ cho các điểm"
"Customer Account > My Reward Points","Tài khoản khách hàng&gt; Điểm thưởng của tôi"
"Customer Account > My Referrals","Tài khoản khách hàng&gt; Giới thiệu của tôi"
"Cart Page","Trang giỏ hàng"
"Message Sent","Đã gửi tin nhắn"
"Signed Up","Đăng kí"
"Made Order","Made Order"
"Visited by Referral Link","Được truy cập bởi Liên kết giới thiệu"
"Subtotal + Tax","Tổng cộng + Thuế"
"Subtotal + Tax + Shipping","Tổng cộng + Thuế + Giao hàng"
"Product Rule","Quy tắc nhân"
"Cart Rule","Quy tắc giỏ hàng"
"Behavior Rule","Quy tắc hành vi"
"Transaction #%1 is expired","Giao dịch #%1 đã hết hạn"
"Update the Product","Cập nhật sản phẩm"
"Is Rewards Points used","Điểm thưởng được sử dụng"
"Coupon Used","Đã sử dụng phiếu giảm giá"
"Coupon Code","Mã giảm giá"
No,Không
Yes,Vâng
"Conditions Combination","Điều kiện kết hợp"
"Product attribute combination","Kết hợp thuộc tính sản phẩm"
"Products subselection","Lựa chọn sản phẩm"
"Conditions combination","Điều kiện kết hợp"
"Cart Attribute","Thuộc tính giỏ hàng"
Customer,"Khách hàng"
"Last 7-days Clicks","Nhấp chuột 7 ngày qua"
"Last 7-days Orders","Đơn đặt hàng 7 ngày qua"
"Last 7-days Revenue","Doanh thu 7 ngày qua"
"Is Referee","Là trọng tài"
"Is Referral","Giới thiệu"
Email,E-mail
Group,Nhóm
"Lifetime Sales","Bán hàng trọn đời"
