"My Reward Points",我的獎勵點
"Checkout now and earn <b>%1</b> for this order.","現在結賬並為此訂單賺取<b>%1</b> 。"
"Applies only to registered customers, may vary when logged in.",僅適用於註冊用戶，登錄後可能會有所不同。
"Possible discount %1 %2","可能的折扣%1 %2"
"Earn %1 %2","賺取%1 %2"
Grid,格
List,名單
All,所有
"Referral %1",推薦%1
"Something went wrong while saving your subscription.",保存訂閱時出現問題。
"We removed your subscription on expiring points notification.",我們在到期點通知中刪除了您的訂閱。
"Cannot apply points.",不能申請積分。
"You've earned %1 for Facebook Like!",你已經為Facebook贊賺了%1！
"You've earned %1 for Facebook Share!",你已經為Facebook分享賺了%1！
"Facebook Like Points has been canceled","Facebook Like Points已被取消"
"You've earned %1 for Google+!",您已獲得Google+的%1使用權！
"G+1 Points has been canceled","G + 1點已被取消"
"You've earned %1 for Pin!",Pin已獲得%1！
"Invalid form key. Try again",無效的表單密鑰。再試一次
"Customer with email %1 has been already invited to our store",帶有電子郵件%1的客戶已被邀請加入我們的商店
"Your invitations were sent. Thanks!",您的邀請已發送。謝謝！
"You've earned %1 for Tweet!",你已經獲得了%1的推文！
"You received %1 for signing up",您收到%1註冊
"You received %1 for sending this product",您收到%1發送此產品
"You received %1 for sign up for newsletter",您收到%1註冊簡報
"You received %1 for sign up for push notifications",您收到%1註冊推送通知
"You will receive %1 after approving of this tag",您將在批准此標籤後收到%1
"You will receive %1 after approving of this review",您將在批准此評論後收到%1
"You received %1 for sign up of referral customer.",您收到%1的推薦客戶註冊。
"You received %1 for order of referral customer.",您收到推薦客戶的訂單%1。
"Happy birthday! You received %1.",生日快樂！您收到%1。
"You received %1 for joining the affiliate program.",您收到%1加入聯盟計劃。
"%1 were applied.",%1被應用。
"Minimum number is %1.",最小數量是%1。
"Maximum number is %1.",最大數量是%1。
"%1 was canceled.",%1被取消。
"Cannot apply %1.",無法應用%1。
"You can use the following variables:",您可以使用以下變量：
Pattern,模式
"Attribute Value",屬性值
Default,默認
Integer,整數
Price,價錢
"Strip Tags",帶標籤
"Primary Attributes",主要屬性
"Stock Attributes",股票屬性
"Prices & Taxes",價格和稅收
Images,圖片
"Custom Attributes",自定義屬性
Mapping,製圖
Category,類別
"Amasty Meta Tags","Amasty Meta標籤"
